Datum Zeit,Zittau-Ost SO2
,µg/m³
01-01-08 00:00,2.6
31-12-07 23:00,1.4
31-12-07 22:00,1.4
31-12-07 21:00,2.2
31-12-07 20:00,3.1
31-12-07 19:00,3.8
31-12-07 18:00,2.7
31-12-07 17:00,2.8
31-12-07 16:00,2.5
31-12-07 15:00,1.7
31-12-07 14:00,1.8
31-12-07 13:00,2.2
31-12-07 12:00,3.0
31-12-07 11:00,4.1
31-12-07 10:00,4.2
31-12-07 09:00,3.5
31-12-07 08:00,3.0
31-12-07 07:00,1.6
31-12-07 06:00,1.5
31-12-07 05:00,1.4
31-12-07 04:00,2.3
31-12-07 03:00,6.0
31-12-07 02:00,7.5
31-12-07 01:00,7.0
31-12-07 00:00,8.8
30-12-07 23:00,8.2
30-12-07 22:00,8.5
30-12-07 21:00,8.7
30-12-07 20:00,8.4
30-12-07 19:00,7.6
30-12-07 18:00,8.3
30-12-07 17:00,8.5
30-12-07 16:00,9.0
30-12-07 15:00,8.5
30-12-07 14:00,8.5
30-12-07 13:00,8.2
30-12-07 12:00,7.8
30-12-07 11:00,9.5
30-12-07 10:00,8.1
30-12-07 09:00,8.1
30-12-07 08:00,7.0
30-12-07 07:00,7.6
30-12-07 06:00,7.3
30-12-07 05:00,8.1
30-12-07 04:00,8.0
30-12-07 03:00,8.2
30-12-07 02:00,8.3
30-12-07 01:00,8.4
30-12-07 00:00,8.8
29-12-07 23:00,10.7
29-12-07 22:00,12.0
29-12-07 21:00,10.9
29-12-07 20:00,10.2
29-12-07 19:00,9.3
29-12-07 18:00,8.1
29-12-07 17:00,7.2
29-12-07 16:00,6.3
29-12-07 15:00,6.4
29-12-07 14:00,6.3
29-12-07 13:00,7.1
29-12-07 12:00,6.4
29-12-07 11:00,4.4
29-12-07 10:00,4.4
29-12-07 09:00,4.3
29-12-07 08:00,4.2
29-12-07 07:00,4.4
29-12-07 06:00,5.7
29-12-07 05:00,5.4
29-12-07 04:00,9.7
29-12-07 03:00,14.3
29-12-07 02:00,13.3
29-12-07 01:00,11.0
29-12-07 00:00,11.7
28-12-07 23:00,11.7
28-12-07 22:00,6.8
28-12-07 21:00,6.7
28-12-07 20:00,6.0
28-12-07 19:00,3.1
28-12-07 18:00,4.8
28-12-07 17:00,4.0
28-12-07 16:00,
28-12-07 15:00,
28-12-07 14:00,
28-12-07 13:00,
28-12-07 12:00,
28-12-07 11:00,5.1
28-12-07 10:00,5.3
28-12-07 09:00,5.2
28-12-07 08:00,4.9
28-12-07 07:00,4.9
28-12-07 06:00,4.5
28-12-07 05:00,5.1
28-12-07 04:00,5.6
28-12-07 03:00,6.2
28-12-07 02:00,8.5
28-12-07 01:00,9.0
28-12-07 00:00,9.5
27-12-07 23:00,8.7
27-12-07 22:00,9.5
27-12-07 21:00,9.5
27-12-07 20:00,9.6
27-12-07 19:00,10.8
27-12-07 18:00,8.9
27-12-07 17:00,10.8
27-12-07 16:00,12.8
27-12-07 15:00,14.4
