Datum Zeit,Radebeul-Wahnsdorf NO
,µg/m³
20-01-01 23:00,1
20-01-01 22:00,1
20-01-01 21:00,1
20-01-01 20:00,1
20-01-01 19:00,1
20-01-01 18:00,1
20-01-01 17:00,1
20-01-01 16:00,2
20-01-01 15:00,2
20-01-01 14:00,2
20-01-01 13:00,2
20-01-01 12:00,2
20-01-01 11:00,3
20-01-01 10:00,2
20-01-01 09:00,1
20-01-01 08:00,1
20-01-01 07:00,1
20-01-01 06:00,1
20-01-01 05:00,1
20-01-01 04:00,1
20-01-01 03:00,
20-01-01 02:00,1
20-01-01 01:00,1
20-01-01 00:00,1
19-01-01 23:00,1
19-01-01 22:00,1
19-01-01 21:00,2
19-01-01 20:00,2
19-01-01 19:00,2
19-01-01 18:00,2
19-01-01 17:00,2
19-01-01 16:00,4
19-01-01 15:00,8
19-01-01 14:00,25
19-01-01 13:00,34
19-01-01 12:00,47
19-01-01 11:00,51
19-01-01 10:00,46
19-01-01 09:00,49
19-01-01 08:00,14
19-01-01 07:00,2
19-01-01 06:00,2
19-01-01 05:00,2
19-01-01 04:00,1
19-01-01 03:00,
19-01-01 02:00,1
19-01-01 01:00,1
19-01-01 00:00,1
18-01-01 23:00,1
18-01-01 22:00,1
18-01-01 21:00,1
18-01-01 20:00,1
18-01-01 19:00,1
18-01-01 18:00,1
18-01-01 17:00,2
18-01-01 16:00,2
18-01-01 15:00,3
18-01-01 14:00,6
18-01-01 13:00,7
18-01-01 12:00,8
18-01-01 11:00,6
18-01-01 10:00,6
18-01-01 09:00,3
18-01-01 08:00,2
18-01-01 07:00,1
18-01-01 06:00,1
18-01-01 05:00,1
18-01-01 04:00,
18-01-01 03:00,1
18-01-01 02:00,1
18-01-01 01:00,1
18-01-01 00:00,1
17-01-01 23:00,1
17-01-01 22:00,1
17-01-01 21:00,1
17-01-01 20:00,1
17-01-01 19:00,1
17-01-01 18:00,1
17-01-01 17:00,2
17-01-01 16:00,4
17-01-01 15:00,6
17-01-01 14:00,7
17-01-01 13:00,7
17-01-01 12:00,6
17-01-01 11:00,5
17-01-01 10:00,4
17-01-01 09:00,2
17-01-01 08:00,1
17-01-01 07:00,1
17-01-01 06:00,1
17-01-01 05:00,1
17-01-01 04:00,
17-01-01 03:00,1
17-01-01 02:00,1
17-01-01 01:00,1
17-01-01 00:00,1
16-01-01 23:00,1
16-01-01 22:00,1
16-01-01 21:00,1
16-01-01 20:00,1
16-01-01 19:00,3
16-01-01 18:00,2
16-01-01 17:00,1
16-01-01 16:00,2
16-01-01 15:00,4
16-01-01 14:00,6
16-01-01 13:00,7
16-01-01 12:00,6
16-01-01 11:00,4
16-01-01 10:00,3
16-01-01 09:00,2
16-01-01 08:00,1
16-01-01 07:00,1
16-01-01 06:00,1
16-01-01 05:00,
16-01-01 04:00,1
16-01-01 03:00,1
16-01-01 02:00,1
16-01-01 01:00,1
16-01-01 00:00,1
15-01-01 23:00,1
15-01-01 22:00,1
15-01-01 21:00,1
15-01-01 20:00,1
15-01-01 19:00,2
15-01-01 18:00,1
15-01-01 17:00,1
15-01-01 16:00,1
15-01-01 15:00,3
15-01-01 14:00,4
15-01-01 13:00,4
15-01-01 12:00,7
15-01-01 11:00,7
15-01-01 10:00,5
15-01-01 09:00,1
15-01-01 08:00,3
15-01-01 07:00,2
15-01-01 06:00,1
15-01-01 05:00,
15-01-01 04:00,1
15-01-01 03:00,1
15-01-01 02:00,1
15-01-01 01:00,1
15-01-01 00:00,1
14-01-01 23:00,1
14-01-01 22:00,1
14-01-01 21:00,2
14-01-01 20:00,1
14-01-01 19:00,1
14-01-01 18:00,1
14-01-01 17:00,1
14-01-01 16:00,1
14-01-01 15:00,2
14-01-01 14:00,4
14-01-01 13:00,4
14-01-01 12:00,4
14-01-01 11:00,3
14-01-01 10:00,3
14-01-01 09:00,2
14-01-01 08:00,1
14-01-01 07:00,1
14-01-01 06:00,
14-01-01 05:00,1
14-01-01 04:00,1
14-01-01 03:00,1
14-01-01 02:00,1
14-01-01 01:00,1
14-01-01 00:00,1
13-01-01 23:00,1
13-01-01 22:00,1
13-01-01 21:00,1
13-01-01 20:00,1
13-01-01 19:00,1
13-01-01 18:00,1
13-01-01 17:00,1
13-01-01 16:00,1
13-01-01 15:00,1
13-01-01 14:00,2
13-01-01 13:00,2
13-01-01 12:00,4
13-01-01 11:00,4
13-01-01 10:00,4
13-01-01 09:00,2
13-01-01 08:00,1
13-01-01 07:00,1
13-01-01 06:00,
13-01-01 05:00,1
13-01-01 04:00,1
13-01-01 03:00,1
13-01-01 02:00,1
13-01-01 01:00,1
13-01-01 00:00,1
12-01-01 23:00,1
12-01-01 22:00,1
12-01-01 21:00,1
12-01-01 20:00,1
12-01-01 19:00,1
12-01-01 18:00,1
12-01-01 17:00,1
12-01-01 16:00,1
12-01-01 15:00,5
12-01-01 14:00,3
12-01-01 13:00,4
12-01-01 12:00,7
12-01-01 11:00,9
12-01-01 10:00,11
12-01-01 09:00,5
12-01-01 08:00,1
12-01-01 07:00,
12-01-01 06:00,1
12-01-01 05:00,1
12-01-01 04:00,1
12-01-01 03:00,1
12-01-01 02:00,1
12-01-01 01:00,1
12-01-01 00:00,1
11-01-01 23:00,1
11-01-01 22:00,2
11-01-01 21:00,1
11-01-01 20:00,2
11-01-01 19:00,1
11-01-01 18:00,2
11-01-01 17:00,3
11-01-01 16:00,4
11-01-01 15:00,3
11-01-01 14:00,3
11-01-01 13:00,5
11-01-01 12:00,8
11-01-01 11:00,9
11-01-01 10:00,8
11-01-01 09:00,14
11-01-01 08:00,4
11-01-01 07:00,
11-01-01 06:00,2
11-01-01 05:00,2
11-01-01 04:00,3
11-01-01 03:00,5
11-01-01 02:00,7
11-01-01 01:00,3
11-01-01 00:00,14
10-01-01 23:00,12
10-01-01 22:00,7
10-01-01 21:00,5
10-01-01 20:00,12
10-01-01 19:00,13
10-01-01 18:00,15
10-01-01 17:00,27
10-01-01 16:00,29
10-01-01 15:00,22
10-01-01 14:00,15
10-01-01 13:00,21
10-01-01 12:00,33
10-01-01 11:00,47
10-01-01 10:00,66
10-01-01 09:00,20
10-01-01 08:00,
10-01-01 07:00,2
10-01-01 06:00,1
10-01-01 05:00,1
10-01-01 04:00,1
10-01-01 03:00,1
10-01-01 02:00,1
10-01-01 01:00,1
10-01-01 00:00,1
09-01-01 23:00,1
09-01-01 22:00,1
09-01-01 21:00,1
09-01-01 20:00,1
09-01-01 19:00,1
09-01-01 18:00,1
09-01-01 17:00,1
09-01-01 16:00,2
09-01-01 15:00,2
09-01-01 14:00,3
09-01-01 13:00,2
09-01-01 12:00,4
09-01-01 11:00,3
09-01-01 10:00,2
09-01-01 09:00,2
09-01-01 08:00,
09-01-01 07:00,1
09-01-01 06:00,1
09-01-01 05:00,1
09-01-01 04:00,1
09-01-01 03:00,1
09-01-01 02:00,1
09-01-01 01:00,1
09-01-01 00:00,1
08-01-01 23:00,1
08-01-01 22:00,2
08-01-01 21:00,3
08-01-01 20:00,3
08-01-01 19:00,2
08-01-01 18:00,2
08-01-01 17:00,1
08-01-01 16:00,1
08-01-01 15:00,2
08-01-01 14:00,5
08-01-01 13:00,9
08-01-01 12:00,17
08-01-01 11:00,22
08-01-01 10:00,17
08-01-01 09:00,
08-01-01 08:00,
08-01-01 07:00,2
08-01-01 06:00,1
08-01-01 05:00,1
08-01-01 04:00,1
08-01-01 03:00,1
08-01-01 02:00,1
08-01-01 01:00,1
08-01-01 00:00,1
07-01-01 23:00,1
07-01-01 22:00,4
07-01-01 21:00,3
07-01-01 20:00,4
07-01-01 19:00,5
07-01-01 18:00,5
07-01-01 17:00,6
07-01-01 16:00,5
07-01-01 15:00,2
07-01-01 14:00,1
07-01-01 13:00,2
07-01-01 12:00,2
07-01-01 11:00,1
07-01-01 10:00,1
07-01-01 09:00,1
07-01-01 08:00,
07-01-01 07:00,1
07-01-01 06:00,1
07-01-01 05:00,1
07-01-01 04:00,1
07-01-01 03:00,1
07-01-01 02:00,1
07-01-01 01:00,1
07-01-01 00:00,1
06-01-01 23:00,1
06-01-01 22:00,1
06-01-01 21:00,1
06-01-01 20:00,1
06-01-01 19:00,1
06-01-01 18:00,1
06-01-01 17:00,1
06-01-01 16:00,1
06-01-01 15:00,1
06-01-01 14:00,1
06-01-01 13:00,1
06-01-01 12:00,1
06-01-01 11:00,1
06-01-01 10:00,1
06-01-01 09:00,
06-01-01 08:00,1
06-01-01 07:00,1
06-01-01 06:00,1
06-01-01 05:00,1
06-01-01 04:00,1
06-01-01 03:00,1
06-01-01 02:00,1
06-01-01 01:00,1
06-01-01 00:00,1
05-01-01 23:00,1
05-01-01 22:00,1
05-01-01 21:00,1
05-01-01 20:00,1
05-01-01 19:00,1
05-01-01 18:00,1
05-01-01 17:00,1
05-01-01 16:00,2
05-01-01 15:00,2
05-01-01 14:00,3
05-01-01 13:00,5
05-01-01 12:00,8
05-01-01 11:00,11
05-01-01 10:00,13
05-01-01 09:00,
05-01-01 08:00,10
05-01-01 07:00,6
05-01-01 06:00,6
05-01-01 05:00,1
05-01-01 04:00,1
05-01-01 03:00,1
05-01-01 02:00,1
05-01-01 01:00,1
05-01-01 00:00,1
04-01-01 23:00,1
04-01-01 22:00,1
04-01-01 21:00,1
04-01-01 20:00,1
04-01-01 19:00,1
04-01-01 18:00,1
04-01-01 17:00,1
04-01-01 16:00,1
04-01-01 15:00,3
04-01-01 14:00,5
04-01-01 13:00,7
04-01-01 12:00,7
04-01-01 11:00,8
04-01-01 10:00,8
04-01-01 09:00,
04-01-01 08:00,10
04-01-01 07:00,9
04-01-01 06:00,8
04-01-01 05:00,4
04-01-01 04:00,5
04-01-01 03:00,2
04-01-01 02:00,1
04-01-01 01:00,1
04-01-01 00:00,1
03-01-01 23:00,1
03-01-01 22:00,1
03-01-01 21:00,1
03-01-01 20:00,1
03-01-01 19:00,1
03-01-01 18:00,1
03-01-01 17:00,1
03-01-01 16:00,
03-01-01 15:00,
03-01-01 14:00,
03-01-01 13:00,
03-01-01 12:00,
03-01-01 11:00,14
03-01-01 10:00,15
03-01-01 09:00,10
03-01-01 08:00,4
03-01-01 07:00,2
03-01-01 06:00,1
03-01-01 05:00,1
03-01-01 04:00,1
03-01-01 03:00,1
03-01-01 02:00,1
03-01-01 01:00,1
03-01-01 00:00,1
02-01-01 23:00,1
02-01-01 22:00,1
02-01-01 21:00,
02-01-01 20:00,1
02-01-01 19:00,1
02-01-01 18:00,1
02-01-01 17:00,1
02-01-01 16:00,2
02-01-01 15:00,3
02-01-01 14:00,3
02-01-01 13:00,3
02-01-01 12:00,3
02-01-01 11:00,3
02-01-01 10:00,2
02-01-01 09:00,1
02-01-01 08:00,1
02-01-01 07:00,1
02-01-01 06:00,1
02-01-01 05:00,1
02-01-01 04:00,1
02-01-01 03:00,1
02-01-01 02:00,1
02-01-01 01:00,1
02-01-01 00:00,1
01-01-01 23:00,1
01-01-01 22:00,1
01-01-01 21:00,
01-01-01 20:00,1
01-01-01 19:00,1
01-01-01 18:00,1
01-01-01 17:00,1
01-01-01 16:00,1
01-01-01 15:00,1
01-01-01 14:00,2
01-01-01 13:00,2
01-01-01 12:00,2
01-01-01 11:00,2
01-01-01 10:00,3
01-01-01 09:00,2
01-01-01 08:00,1
01-01-01 07:00,2
01-01-01 06:00,2
01-01-01 05:00,1
01-01-01 04:00,1
01-01-01 03:00,1
01-01-01 02:00,4
01-01-01 01:00,5

