Datum Zeit,Glauchau O3
,µg/m³
01-02-01 00:00,2
31-01-01 23:00,2
31-01-01 22:00,10
31-01-01 21:00,14
31-01-01 20:00,16
31-01-01 19:00,10
31-01-01 18:00,22
31-01-01 17:00,34
31-01-01 16:00,28
31-01-01 15:00,30
31-01-01 14:00,42
31-01-01 13:00,39
31-01-01 12:00,22
31-01-01 11:00,12
31-01-01 10:00,
31-01-01 09:00,
31-01-01 08:00,1
31-01-01 07:00,1
31-01-01 06:00,1
31-01-01 05:00,1
31-01-01 04:00,1
31-01-01 03:00,1
31-01-01 02:00,1
31-01-01 01:00,1
31-01-01 00:00,2
30-01-01 23:00,2
30-01-01 22:00,3
30-01-01 21:00,1
30-01-01 20:00,2
30-01-01 19:00,3
30-01-01 18:00,4
30-01-01 17:00,14
30-01-01 16:00,19
30-01-01 15:00,
30-01-01 14:00,
30-01-01 13:00,
30-01-01 12:00,6
30-01-01 11:00,3
30-01-01 10:00,2
30-01-01 09:00,1
30-01-01 08:00,2
30-01-01 07:00,
30-01-01 06:00,1
30-01-01 05:00,1
30-01-01 04:00,1
30-01-01 03:00,1
30-01-01 02:00,1
30-01-01 01:00,1
30-01-01 00:00,1
29-01-01 23:00,1
29-01-01 22:00,1
29-01-01 21:00,4
29-01-01 20:00,13
29-01-01 19:00,10
29-01-01 18:00,11
29-01-01 17:00,14
29-01-01 16:00,17
29-01-01 15:00,22
29-01-01 14:00,22
29-01-01 13:00,18
29-01-01 12:00,14
29-01-01 11:00,7
29-01-01 10:00,4
29-01-01 09:00,3
29-01-01 08:00,
29-01-01 07:00,10
29-01-01 06:00,19
29-01-01 05:00,26
29-01-01 04:00,30
29-01-01 03:00,31
29-01-01 02:00,32
29-01-01 01:00,41
29-01-01 00:00,44
28-01-01 23:00,46
28-01-01 22:00,44
28-01-01 21:00,40
28-01-01 20:00,44
28-01-01 19:00,48
28-01-01 18:00,46
28-01-01 17:00,56
28-01-01 16:00,69
28-01-01 15:00,73
28-01-01 14:00,71
28-01-01 13:00,70
28-01-01 12:00,69
28-01-01 11:00,67
28-01-01 10:00,65
28-01-01 09:00,62
28-01-01 08:00,
28-01-01 07:00,68
28-01-01 06:00,68
28-01-01 05:00,68
28-01-01 04:00,67
28-01-01 03:00,67
28-01-01 02:00,67
28-01-01 01:00,66
28-01-01 00:00,67
27-01-01 23:00,66
27-01-01 22:00,64
27-01-01 21:00,68
27-01-01 20:00,69
27-01-01 19:00,64
27-01-01 18:00,60
27-01-01 17:00,60
27-01-01 16:00,59
27-01-01 15:00,55
27-01-01 14:00,53
27-01-01 13:00,52
27-01-01 12:00,38
27-01-01 11:00,34
27-01-01 10:00,36
27-01-01 09:00,
27-01-01 08:00,22
27-01-01 07:00,4
27-01-01 06:00,7
27-01-01 05:00,7
27-01-01 04:00,9
27-01-01 03:00,6
27-01-01 02:00,12
27-01-01 01:00,31
27-01-01 00:00,32
26-01-01 23:00,4
26-01-01 22:00,6
26-01-01 21:00,21
26-01-01 20:00,34
26-01-01 19:00,26
26-01-01 18:00,28
26-01-01 17:00,36
26-01-01 16:00,45
26-01-01 15:00,49
26-01-01 14:00,50
26-01-01 13:00,47
26-01-01 12:00,48
26-01-01 11:00,34
26-01-01 10:00,18
26-01-01 09:00,
26-01-01 08:00,7
26-01-01 07:00,9
26-01-01 06:00,11
26-01-01 05:00,18
26-01-01 04:00,24
26-01-01 03:00,16
26-01-01 02:00,18
26-01-01 01:00,10
26-01-01 00:00,4
25-01-01 23:00,10
25-01-01 22:00,3
25-01-01 21:00,17
25-01-01 20:00,18
25-01-01 19:00,36
25-01-01 18:00,33
25-01-01 17:00,15
25-01-01 16:00,40
25-01-01 15:00,51
25-01-01 14:00,47
25-01-01 13:00,45
25-01-01 12:00,37
25-01-01 11:00,35
25-01-01 10:00,28
25-01-01 09:00,
25-01-01 08:00,4
25-01-01 07:00,5
25-01-01 06:00,22
25-01-01 05:00,37
25-01-01 04:00,33
25-01-01 03:00,33
25-01-01 02:00,33
25-01-01 01:00,31
25-01-01 00:00,23
24-01-01 23:00,17
24-01-01 22:00,22
24-01-01 21:00,24
24-01-01 20:00,27
24-01-01 19:00,26
24-01-01 18:00,30
24-01-01 17:00,31
24-01-01 16:00,32
24-01-01 15:00,35
24-01-01 14:00,
24-01-01 13:00,37
24-01-01 12:00,45
24-01-01 11:00,45
24-01-01 10:00,47
24-01-01 09:00,32
24-01-01 08:00,38
24-01-01 07:00,47
24-01-01 06:00,57
24-01-01 05:00,60
24-01-01 04:00,54
24-01-01 03:00,50
24-01-01 02:00,49
24-01-01 01:00,48
24-01-01 00:00,44
23-01-01 23:00,31
23-01-01 22:00,25
23-01-01 21:00,26
23-01-01 20:00,20
23-01-01 19:00,7
23-01-01 18:00,23
23-01-01 17:00,24
23-01-01 16:00,29
23-01-01 15:00,
23-01-01 14:00,26
23-01-01 13:00,37
23-01-01 12:00,31
23-01-01 11:00,22
23-01-01 10:00,17
23-01-01 09:00,21
23-01-01 08:00,20
23-01-01 07:00,29
23-01-01 06:00,37
23-01-01 05:00,46
23-01-01 04:00,49
23-01-01 03:00,50
23-01-01 02:00,44
23-01-01 01:00,43
23-01-01 00:00,31
22-01-01 23:00,25
22-01-01 22:00,18
22-01-01 21:00,8
22-01-01 20:00,9
22-01-01 19:00,18
22-01-01 18:00,19
22-01-01 17:00,15
22-01-01 16:00,15
22-01-01 15:00,
22-01-01 14:00,13
22-01-01 13:00,21
22-01-01 12:00,19
22-01-01 11:00,25
22-01-01 10:00,25
22-01-01 09:00,25
22-01-01 08:00,24
22-01-01 07:00,6
22-01-01 06:00,23
22-01-01 05:00,14
22-01-01 04:00,2
22-01-01 03:00,1
22-01-01 02:00,1
22-01-01 01:00,1
22-01-01 00:00,2
21-01-01 23:00,1
21-01-01 22:00,2
21-01-01 21:00,3
21-01-01 20:00,5
21-01-01 19:00,3
21-01-01 18:00,3
21-01-01 17:00,4
21-01-01 16:00,
21-01-01 15:00,6
21-01-01 14:00,6
21-01-01 13:00,9
21-01-01 12:00,13
21-01-01 11:00,10
21-01-01 10:00,3
21-01-01 09:00,2
21-01-01 08:00,1
21-01-01 07:00,1
21-01-01 06:00,1
21-01-01 05:00,1
21-01-01 04:00,1
21-01-01 03:00,2
21-01-01 02:00,1
21-01-01 01:00,2
21-01-01 00:00,2
20-01-01 23:00,3
20-01-01 22:00,4
20-01-01 21:00,2
20-01-01 20:00,2
20-01-01 19:00,6
20-01-01 18:00,5
20-01-01 17:00,14
20-01-01 16:00,
20-01-01 15:00,30
20-01-01 14:00,19
20-01-01 13:00,11
20-01-01 12:00,9
20-01-01 11:00,6
20-01-01 10:00,3
20-01-01 09:00,2
20-01-01 08:00,2
20-01-01 07:00,1
20-01-01 06:00,1
20-01-01 05:00,1
20-01-01 04:00,1
20-01-01 03:00,1
20-01-01 02:00,1
20-01-01 01:00,1
20-01-01 00:00,3
19-01-01 23:00,2
19-01-01 22:00,3
19-01-01 21:00,5
19-01-01 20:00,4
19-01-01 19:00,7
19-01-01 18:00,4
19-01-01 17:00,
19-01-01 16:00,10
19-01-01 15:00,14
19-01-01 14:00,17
19-01-01 13:00,14
19-01-01 12:00,9
19-01-01 11:00,5
19-01-01 10:00,4
19-01-01 09:00,5
19-01-01 08:00,3
19-01-01 07:00,4
19-01-01 06:00,2
19-01-01 05:00,1
19-01-01 04:00,1
19-01-01 03:00,2
19-01-01 02:00,2
19-01-01 01:00,2
19-01-01 00:00,2
18-01-01 23:00,3
18-01-01 22:00,2
18-01-01 21:00,2
18-01-01 20:00,2
18-01-01 19:00,3
18-01-01 18:00,2
18-01-01 17:00,
18-01-01 16:00,13
18-01-01 15:00,13
18-01-01 14:00,12
18-01-01 13:00,14
18-01-01 12:00,15
18-01-01 11:00,11
18-01-01 10:00,5
18-01-01 09:00,3
18-01-01 08:00,3
18-01-01 07:00,2
18-01-01 06:00,2
18-01-01 05:00,1
18-01-01 04:00,1
18-01-01 03:00,1
18-01-01 02:00,2
18-01-01 01:00,2
18-01-01 00:00,3
17-01-01 23:00,4
17-01-01 22:00,3
17-01-01 21:00,3
17-01-01 20:00,4
17-01-01 19:00,7
17-01-01 18:00,
17-01-01 17:00,8
17-01-01 16:00,8
17-01-01 15:00,13
17-01-01 14:00,15
17-01-01 13:00,13
17-01-01 12:00,8
17-01-01 11:00,6
17-01-01 10:00,5
17-01-01 09:00,4
17-01-01 08:00,2
17-01-01 07:00,3
17-01-01 06:00,15
17-01-01 05:00,18
17-01-01 04:00,9
17-01-01 03:00,24
17-01-01 02:00,32
17-01-01 01:00,26
17-01-01 00:00,13
16-01-01 23:00,14
16-01-01 22:00,23
