Datum Zeit,Leipzig-West SO2
,µg/m³
01-02-01 00:00,
31-01-01 23:00,1.3
31-01-01 22:00,1.1
31-01-01 21:00,1.6
31-01-01 20:00,2.9
31-01-01 19:00,6.2
31-01-01 18:00,2.3
31-01-01 17:00,1.6
31-01-01 16:00,1.5
31-01-01 15:00,2.6
31-01-01 14:00,2.7
31-01-01 13:00,2.5
31-01-01 12:00,2.7
31-01-01 11:00,2.8
31-01-01 10:00,2.6
31-01-01 09:00,3.0
31-01-01 08:00,2.1
31-01-01 07:00,2.4
31-01-01 06:00,
31-01-01 05:00,3.4
31-01-01 04:00,4.9
31-01-01 03:00,4.4
31-01-01 02:00,3.7
31-01-01 01:00,3.9
31-01-01 00:00,
30-01-01 23:00,5.8
30-01-01 22:00,3.5
30-01-01 21:00,4.1
30-01-01 20:00,4.5
30-01-01 19:00,7.2
30-01-01 18:00,11.2
30-01-01 17:00,12.9
30-01-01 16:00,28.2
30-01-01 15:00,19.3
30-01-01 14:00,11.0
30-01-01 13:00,13.3
30-01-01 12:00,10.0
30-01-01 11:00,6.3
30-01-01 10:00,4.7
30-01-01 09:00,5.3
30-01-01 08:00,4.3
30-01-01 07:00,4.0
30-01-01 06:00,
30-01-01 05:00,3.6
30-01-01 04:00,4.4
30-01-01 03:00,4.3
30-01-01 02:00,4.6
30-01-01 01:00,5.6
30-01-01 00:00,
29-01-01 23:00,4.1
29-01-01 22:00,3.5
29-01-01 21:00,2.6
29-01-01 20:00,2.3
29-01-01 19:00,2.6
29-01-01 18:00,3.8
29-01-01 17:00,4.7
29-01-01 16:00,7.3
29-01-01 15:00,17.6
29-01-01 14:00,17.4
29-01-01 13:00,8.3
29-01-01 12:00,6.0
29-01-01 11:00,5.9
29-01-01 10:00,5.4
29-01-01 09:00,3.1
29-01-01 08:00,2.6
29-01-01 07:00,
29-01-01 06:00,3.0
29-01-01 05:00,2.9
29-01-01 04:00,2.2
29-01-01 03:00,1.6
29-01-01 02:00,1.8
29-01-01 01:00,1.8
29-01-01 00:00,
28-01-01 23:00,2.2
28-01-01 22:00,2.1
28-01-01 21:00,1.8
28-01-01 20:00,1.8
28-01-01 19:00,1.7
28-01-01 18:00,1.5
28-01-01 17:00,1.8
28-01-01 16:00,1.8
28-01-01 15:00,1.4
28-01-01 14:00,1.3
28-01-01 13:00,1.6
28-01-01 12:00,1.6
28-01-01 11:00,1.9
28-01-01 10:00,4.1
28-01-01 09:00,4.0
28-01-01 08:00,3.3
28-01-01 07:00,
28-01-01 06:00,1.9
28-01-01 05:00,1.0
28-01-01 04:00,1.1
28-01-01 03:00,1.3
28-01-01 02:00,1.4
28-01-01 01:00,1.2
28-01-01 00:00,1.2
27-01-01 23:00,1.3
27-01-01 22:00,1.3
27-01-01 21:00,1.6
27-01-01 20:00,1.5
27-01-01 19:00,1.8
27-01-01 18:00,2.2
27-01-01 17:00,2.8
27-01-01 16:00,3.0
27-01-01 15:00,4.3
27-01-01 14:00,4.7
27-01-01 13:00,8.9
27-01-01 12:00,13.4
27-01-01 11:00,10.3
27-01-01 10:00,5.3
27-01-01 09:00,1.6
27-01-01 08:00,
27-01-01 07:00,2.4
27-01-01 06:00,2.7
27-01-01 05:00,1.3
27-01-01 04:00,1.4
27-01-01 03:00,2.0
27-01-01 02:00,1.9
27-01-01 01:00,2.4
27-01-01 00:00,
26-01-01 23:00,5.7
26-01-01 22:00,5.5
26-01-01 21:00,6.1
26-01-01 20:00,5.9
26-01-01 19:00,4.3
26-01-01 18:00,4.4
26-01-01 17:00,4.1
26-01-01 16:00,4.2
26-01-01 15:00,4.5
26-01-01 14:00,4.4
26-01-01 13:00,4.8
