Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-13,9.48
30-05-13,9.62
29-05-13,8.67
28-05-13,12.75
27-05-13,5.91
26-05-13,2.51
25-05-13,10.93
24-05-13,11.58
23-05-13,7.24
22-05-13,4.86
21-05-13,4.89
20-05-13,3.51
19-05-13,12.33
18-05-13,9.34
17-05-13,10.49
16-05-13,13.43
15-05-13,13.60
14-05-13,8.61
13-05-13,7.79
12-05-13,7.00
11-05-13,12.72
10-05-13,11.80
09-05-13,12.27
08-05-13,13.95
07-05-13,22.29
06-05-13,23.98
05-05-13,27.88
04-05-13,28.50
03-05-13,20.26
02-05-13,31.39
01-05-13,27.69

