Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-13,4.42
30-05-13,3.20
29-05-13,4.77
28-05-13,5.50
27-05-13,2.23
26-05-13,0.63
25-05-13,7.29
24-05-13,5.89
23-05-13,4.83
22-05-13,3.08
21-05-13,2.92
20-05-13,3.26
19-05-13,9.93
18-05-13,6.09
17-05-13,9.55
16-05-13,
15-05-13,9.07
14-05-13,5.13
13-05-13,4.70
12-05-13,4.62
11-05-13,8.90
10-05-13,7.55
09-05-13,7.39
08-05-13,9.92
07-05-13,16.58
06-05-13,22.43
05-05-13,21.50
04-05-13,14.07
03-05-13,12.24
02-05-13,23.07
01-05-13,24.64

