Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-05-13,7.91
30-05-13,10.75
29-05-13,5.57
28-05-13,8.57
27-05-13,3.62
26-05-13,1.74
25-05-13,7.61
24-05-13,4.84
23-05-13,5.23
22-05-13,3.90
21-05-13,2.98
20-05-13,2.97
19-05-13,9.95
18-05-13,7.86
17-05-13,9.58
16-05-13,8.91
15-05-13,9.83
14-05-13,6.63
13-05-13,5.23
12-05-13,4.73
11-05-13,11.23
10-05-13,7.52
09-05-13,9.49
08-05-13,13.09
07-05-13,21.04
06-05-13,27.38
05-05-13,23.09
04-05-13,23.28
03-05-13,14.19
02-05-13,23.25
01-05-13,16.66

