Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-13,10.70
30-05-13,14.94
29-05-13,10.30
28-05-13,13.94
27-05-13,6.45
26-05-13,
25-05-13,11.20
24-05-13,10.12
23-05-13,8.90
22-05-13,6.60
21-05-13,9.12
20-05-13,5.10
19-05-13,13.88
18-05-13,12.48
17-05-13,12.78
16-05-13,12.59
15-05-13,16.73
14-05-13,11.45
13-05-13,9.12
12-05-13,7.64
11-05-13,15.97
10-05-13,11.70
09-05-13,11.46
08-05-13,18.78
07-05-13,23.24
06-05-13,26.49
05-05-13,24.55
04-05-13,27.76
03-05-13,17.65
02-05-13,26.63
01-05-13,19.77

