Datum Zeit,Brockau PM10
,µg/m³
31-05-13,7
30-05-13,5
29-05-13,8
28-05-13,9
27-05-13,3
26-05-13,2
25-05-13,12
24-05-13,8
23-05-13,10
22-05-13,6
21-05-13,4
20-05-13,3
19-05-13,11
18-05-13,6
17-05-13,16
16-05-13,15
15-05-13,13
14-05-13,8
13-05-13,7
12-05-13,6
11-05-13,13
10-05-13,9
09-05-13,10
08-05-13,14
07-05-13,26
06-05-13,25
05-05-13,25
04-05-13,28
03-05-13,29
02-05-13,26
01-05-13,135

