Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-13,7.24
30-05-13,6.41
29-05-13,7.05
28-05-13,9.38
27-05-13,5.26
26-05-13,2.92
25-05-13,10.96
24-05-13,9.80
23-05-13,6.79
22-05-13,4.42
21-05-13,4.47
20-05-13,4.80
19-05-13,12.98
18-05-13,7.60
17-05-13,12.65
16-05-13,15.93
15-05-13,12.67
14-05-13,6.59
13-05-13,5.61
12-05-13,6.57
11-05-13,12.83
10-05-13,8.46
09-05-13,12.91
08-05-13,13.38
07-05-13,20.80
06-05-13,24.05
05-05-13,25.19
04-05-13,25.04
03-05-13,18.93
02-05-13,30.68
01-05-13,28.15

