Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-13,11.95
30-05-13,9.90
29-05-13,11.35
28-05-13,15.75
27-05-13,6.84
26-05-13,2.91
25-05-13,12.93
24-05-13,12.48
23-05-13,9.75
22-05-13,7.03
21-05-13,6.31
20-05-13,4.51
19-05-13,12.87
18-05-13,10.18
17-05-13,11.34
16-05-13,15.88
15-05-13,17.00
14-05-13,13.38
13-05-13,11.97
12-05-13,10.84
11-05-13,16.79
10-05-13,13.05
09-05-13,13.74
08-05-13,17.01
07-05-13,25.73
06-05-13,26.84
05-05-13,26.82
04-05-13,26.68
03-05-13,24.34
02-05-13,37.02
01-05-13,29.09

