Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-05-13,7.83
30-05-13,2.59
29-05-13,7.50
28-05-13,7.67
27-05-13,2.67
26-05-13,1.90
25-05-13,12.02
24-05-13,8.15
23-05-13,5.21
22-05-13,3.44
21-05-13,2.86
20-05-13,1.95
19-05-13,
18-05-13,7.99
17-05-13,8.53
16-05-13,13.33
15-05-13,10.21
14-05-13,6.22
13-05-13,6.74
12-05-13,3.66
11-05-13,8.41
10-05-13,6.21
09-05-13,11.51
08-05-13,12.12
07-05-13,19.98
06-05-13,16.92
05-05-13,17.88
04-05-13,20.22
03-05-13,20.31
02-05-13,24.67
01-05-13,25.95

