Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-08-09,
30-08-09,8.33
29-08-09,11.21
28-08-09,15.04
27-08-09,11.61
26-08-09,24.53
25-08-09,19.76
24-08-09,10.55
23-08-09,11.98
22-08-09,15.72
21-08-09,20.45
20-08-09,20.88
19-08-09,18.44
18-08-09,13.99
17-08-09,15.99
16-08-09,14.83
15-08-09,20.22
14-08-09,16.47
13-08-09,12.94
12-08-09,15.99
11-08-09,25.88
10-08-09,22.36
09-08-09,19.02
08-08-09,20.10
07-08-09,21.08
06-08-09,19.08
05-08-09,16.99
04-08-09,13.03
03-08-09,14.92
02-08-09,20.12
01-08-09,19.42

