Datum Zeit,Bautzen PM10
,µg/m³
31-08-09,
30-08-09,
29-08-09,
28-08-09,
27-08-09,
26-08-09,
25-08-09,22
24-08-09,18
23-08-09,17
22-08-09,31
21-08-09,31
20-08-09,28
19-08-09,25
18-08-09,20
17-08-09,27
16-08-09,21
15-08-09,23
14-08-09,19
13-08-09,18
12-08-09,22
11-08-09,29
10-08-09,23
09-08-09,30
08-08-09,30
07-08-09,34
06-08-09,27
05-08-09,24
04-08-09,20
03-08-09,18
02-08-09,29
01-08-09,27

