Datum Zeit,Schwartenberg PM10
,µg/m³
31-08-09,16
30-08-09,6
29-08-09,12
28-08-09,14
27-08-09,14
26-08-09,17
25-08-09,20
24-08-09,14
23-08-09,12
22-08-09,13
21-08-09,18
20-08-09,24
19-08-09,17
18-08-09,12
17-08-09,16
16-08-09,11
15-08-09,15
14-08-09,16
13-08-09,8
12-08-09,10
11-08-09,19
10-08-09,19
09-08-09,16
08-08-09,18
07-08-09,16
06-08-09,10
05-08-09,15
04-08-09,9
03-08-09,9
02-08-09,16
01-08-09,17

