Datum Zeit,Leipzig-West PM10
,µg/m³
31-08-09,20
30-08-09,14
29-08-09,16
28-08-09,25
27-08-09,23
26-08-09,32
25-08-09,27
24-08-09,18
23-08-09,22
22-08-09,24
21-08-09,26
20-08-09,31
19-08-09,28
18-08-09,21
17-08-09,27
16-08-09,24
15-08-09,23
14-08-09,17
13-08-09,17
12-08-09,20
11-08-09,30
10-08-09,27
09-08-09,23
08-08-09,26
07-08-09,25
06-08-09,22
05-08-09,23
04-08-09,22
03-08-09,20
02-08-09,24
01-08-09,26

