Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-08-09,8.62
30-08-09,5.17
29-08-09,5.35
28-08-09,10.08
27-08-09,8.46
26-08-09,17.60
25-08-09,13.28
24-08-09,6.60
23-08-09,7.73
22-08-09,11.09
21-08-09,11.90
20-08-09,14.41
19-08-09,12.62
18-08-09,8.87
17-08-09,11.82
16-08-09,10.83
15-08-09,13.37
14-08-09,8.70
13-08-09,7.20
12-08-09,8.56
11-08-09,16.11
10-08-09,12.07
09-08-09,11.77
08-08-09,13.33
07-08-09,13.74
06-08-09,11.13
05-08-09,8.99
04-08-09,
03-08-09,6.20
02-08-09,11.71
01-08-09,12.18

