Datum Zeit,Leipzig-Luetzner Straße PM10_HVS
,µg/m³
31-12-18,
30-12-18,
29-12-18,
28-12-18,
27-12-18,
26-12-18,
25-12-18,
24-12-18,
23-12-18,
22-12-18,
21-12-18,
20-12-18,
19-12-18,
18-12-18,
17-12-18,20.02
16-12-18,25.61
15-12-18,35.41
14-12-18,37.70
13-12-18,34.03
12-12-18,13.38
11-12-18,11.01
10-12-18,10.07
09-12-18,3.47
08-12-18,6.67
07-12-18,9.07
06-12-18,15.48
05-12-18,21.94
04-12-18,16.52
03-12-18,8.63
02-12-18,9.04
01-12-18,20.63

