Datum Zeit,Dresden-Winckelmannstr. WINDRI
,GRAD
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,
30-12-18 04:00,
30-12-18 03:00,
30-12-18 02:00,
30-12-18 01:00,
30-12-18 00:00,
29-12-18 23:00,
29-12-18 22:00,
29-12-18 21:00,
29-12-18 20:00,
29-12-18 19:00,
29-12-18 18:00,
29-12-18 17:00,233
29-12-18 16:00,359
29-12-18 15:00,228
29-12-18 14:00,238
29-12-18 13:00,258
29-12-18 12:00,250
29-12-18 11:00,241
29-12-18 10:00,242
29-12-18 09:00,274
29-12-18 08:00,240
29-12-18 07:00,240
29-12-18 06:00,256
29-12-18 05:00,257
29-12-18 04:00,272
29-12-18 03:00,256
29-12-18 02:00,311
29-12-18 01:00,288
29-12-18 00:00,282
28-12-18 23:00,313
28-12-18 22:00,307
28-12-18 21:00,279
28-12-18 20:00,286
28-12-18 19:00,286
28-12-18 18:00,278
28-12-18 17:00,306
28-12-18 16:00,295
28-12-18 15:00,235
28-12-18 14:00,262
28-12-18 13:00,242
28-12-18 12:00,238
28-12-18 11:00,242
28-12-18 10:00,243
28-12-18 09:00,273
28-12-18 08:00,302
28-12-18 07:00,330
28-12-18 06:00,255
28-12-18 05:00,287
28-12-18 04:00,283
28-12-18 03:00,273
28-12-18 02:00,281
28-12-18 01:00,282
28-12-18 00:00,307
27-12-18 23:00,334
27-12-18 22:00,265
27-12-18 21:00,244
27-12-18 20:00,283
27-12-18 19:00,335
27-12-18 18:00,334
27-12-18 17:00,307
27-12-18 16:00,315
27-12-18 15:00,279
27-12-18 14:00,269
27-12-18 13:00,285
27-12-18 12:00,284
27-12-18 11:00,303
27-12-18 10:00,63
27-12-18 09:00,58
27-12-18 08:00,45
27-12-18 07:00,351
27-12-18 06:00,13
27-12-18 05:00,254
27-12-18 04:00,301
27-12-18 03:00,272
27-12-18 02:00,245
27-12-18 01:00,244
27-12-18 00:00,281
26-12-18 23:00,271
26-12-18 22:00,259
26-12-18 21:00,272
26-12-18 20:00,234
26-12-18 19:00,260
26-12-18 18:00,264
26-12-18 17:00,255
26-12-18 16:00,312
26-12-18 15:00,300
26-12-18 14:00,247
26-12-18 13:00,270
26-12-18 12:00,290
26-12-18 11:00,328
26-12-18 10:00,313
26-12-18 09:00,271
26-12-18 08:00,236
26-12-18 07:00,244
26-12-18 06:00,242
26-12-18 05:00,246
26-12-18 04:00,240
26-12-18 03:00,240
26-12-18 02:00,236
26-12-18 01:00,235
26-12-18 00:00,230
25-12-18 23:00,233
25-12-18 22:00,238
25-12-18 21:00,239
25-12-18 20:00,243
25-12-18 19:00,244
25-12-18 18:00,240
25-12-18 17:00,264
25-12-18 16:00,272
25-12-18 15:00,273
25-12-18 14:00,273
25-12-18 13:00,274
25-12-18 12:00,262
25-12-18 11:00,261
25-12-18 10:00,237
25-12-18 09:00,258
25-12-18 08:00,276
25-12-18 07:00,294
25-12-18 06:00,312
25-12-18 05:00,303
25-12-18 04:00,287
25-12-18 03:00,292
25-12-18 02:00,279
25-12-18 01:00,280
25-12-18 00:00,281
24-12-18 23:00,277
24-12-18 22:00,251
24-12-18 21:00,243
24-12-18 20:00,288
24-12-18 19:00,306
24-12-18 18:00,311
24-12-18 17:00,322
24-12-18 16:00,312
24-12-18 15:00,340
24-12-18 14:00,342
24-12-18 13:00,333
24-12-18 12:00,334
24-12-18 11:00,329
24-12-18 10:00,342
24-12-18 09:00,342
24-12-18 08:00,351
