Datum Zeit,Bautzen WINDRI
,GRAD
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,
30-12-18 04:00,
30-12-18 03:00,
30-12-18 02:00,
30-12-18 01:00,
30-12-18 00:00,
29-12-18 23:00,
29-12-18 22:00,
29-12-18 21:00,
29-12-18 20:00,
29-12-18 19:00,
29-12-18 18:00,
29-12-18 17:00,238
29-12-18 16:00,239
29-12-18 15:00,244
29-12-18 14:00,245
29-12-18 13:00,248
29-12-18 12:00,250
29-12-18 11:00,252
29-12-18 10:00,251
29-12-18 09:00,251
29-12-18 08:00,251
29-12-18 07:00,252
29-12-18 06:00,259
29-12-18 05:00,250
29-12-18 04:00,252
29-12-18 03:00,255
29-12-18 02:00,262
29-12-18 01:00,258
29-12-18 00:00,254
28-12-18 23:00,266
28-12-18 22:00,268
28-12-18 21:00,266
28-12-18 20:00,261
28-12-18 19:00,263
28-12-18 18:00,262
28-12-18 17:00,266
28-12-18 16:00,263
28-12-18 15:00,264
28-12-18 14:00,260
28-12-18 13:00,253
28-12-18 12:00,254
28-12-18 11:00,251
28-12-18 10:00,248
28-12-18 09:00,245
28-12-18 08:00,246
28-12-18 07:00,245
28-12-18 06:00,250
28-12-18 05:00,263
28-12-18 04:00,264
28-12-18 03:00,252
28-12-18 02:00,245
28-12-18 01:00,257
28-12-18 00:00,254
27-12-18 23:00,250
27-12-18 22:00,242
27-12-18 21:00,244
27-12-18 20:00,246
27-12-18 19:00,236
27-12-18 18:00,238
27-12-18 17:00,250
27-12-18 16:00,253
27-12-18 15:00,269
27-12-18 14:00,269
27-12-18 13:00,261
27-12-18 12:00,261
27-12-18 11:00,247
27-12-18 10:00,246
27-12-18 09:00,249
27-12-18 08:00,245
27-12-18 07:00,255
27-12-18 06:00,249
27-12-18 05:00,245
27-12-18 04:00,245
27-12-18 03:00,248
27-12-18 02:00,253
27-12-18 01:00,258
27-12-18 00:00,249
26-12-18 23:00,248
26-12-18 22:00,261
26-12-18 21:00,264
26-12-18 20:00,259
26-12-18 19:00,259
26-12-18 18:00,253
26-12-18 17:00,250
26-12-18 16:00,249
26-12-18 15:00,251
26-12-18 14:00,248
26-12-18 13:00,247
26-12-18 12:00,250
26-12-18 11:00,250
26-12-18 10:00,252
26-12-18 09:00,256
26-12-18 08:00,255
26-12-18 07:00,257
26-12-18 06:00,261
26-12-18 05:00,257
26-12-18 04:00,257
26-12-18 03:00,254
26-12-18 02:00,254
26-12-18 01:00,254
26-12-18 00:00,254
25-12-18 23:00,254
25-12-18 22:00,257
25-12-18 21:00,257
25-12-18 20:00,258
25-12-18 19:00,258
25-12-18 18:00,259
25-12-18 17:00,265
25-12-18 16:00,262
25-12-18 15:00,267
25-12-18 14:00,266
25-12-18 13:00,266
25-12-18 12:00,263
25-12-18 11:00,266
25-12-18 10:00,263
25-12-18 09:00,265
25-12-18 08:00,267
25-12-18 07:00,269
25-12-18 06:00,264
25-12-18 05:00,260
25-12-18 04:00,260
25-12-18 03:00,261
25-12-18 02:00,263
25-12-18 01:00,263
25-12-18 00:00,255
24-12-18 23:00,257
24-12-18 22:00,257
24-12-18 21:00,263
24-12-18 20:00,271
24-12-18 19:00,274
24-12-18 18:00,276
24-12-18 17:00,270
24-12-18 16:00,276
24-12-18 15:00,275
24-12-18 14:00,280
24-12-18 13:00,280
24-12-18 12:00,321
24-12-18 11:00,299
24-12-18 10:00,314
24-12-18 09:00,7
24-12-18 08:00,358
