Datum Zeit,Brockau PM10_HVS
,µg/m³
31-12-18,
30-12-18,
29-12-18,
28-12-18,
27-12-18,
26-12-18,
25-12-18,
24-12-18,
23-12-18,
22-12-18,
21-12-18,
20-12-18,
19-12-18,
18-12-18,8.42
17-12-18,9.60
16-12-18,16.83
15-12-18,22.46
14-12-18,18.30
13-12-18,14.42
12-12-18,6.61
11-12-18,5.72
10-12-18,4.92
09-12-18,1.88
08-12-18,2.46
07-12-18,2.00
06-12-18,7.30
05-12-18,9.82
04-12-18,5.46
03-12-18,1.81
02-12-18,4.95
01-12-18,10.57

