Datum Zeit,Dresden-Nord DRUCK
19-12-18 01:00,1022
19-12-18 00:00,1023
18-12-18 23:00,1023
18-12-18 22:00,1024
18-12-18 21:00,1025
18-12-18 20:00,1025
18-12-18 19:00,1026
18-12-18 18:00,1025
18-12-18 17:00,1025
18-12-18 16:00,1025
18-12-18 15:00,1026
18-12-18 14:00,1026
18-12-18 13:00,1027
18-12-18 12:00,1027
18-12-18 11:00,1027
18-12-18 10:00,1027
18-12-18 09:00,1027
18-12-18 08:00,1027
18-12-18 07:00,1026
18-12-18 06:00,1026
18-12-18 05:00,1026
18-12-18 04:00,1026
18-12-18 03:00,1026
18-12-18 02:00,1026
18-12-18 01:00,1026
18-12-18 00:00,1026
17-12-18 23:00,1025
17-12-18 22:00,1025
17-12-18 21:00,1025
17-12-18 20:00,1024
17-12-18 19:00,1023
17-12-18 18:00,1023
17-12-18 17:00,1023
17-12-18 16:00,1022
17-12-18 15:00,1021
17-12-18 14:00,1021
17-12-18 13:00,1021
17-12-18 12:00,1021
17-12-18 11:00,1021
17-12-18 10:00,1020
17-12-18 09:00,1020
17-12-18 08:00,1019
17-12-18 07:00,1018
17-12-18 06:00,1018
17-12-18 05:00,1017
17-12-18 04:00,1017
17-12-18 03:00,1017
17-12-18 02:00,1016
17-12-18 01:00,1016
17-12-18 00:00,1016
16-12-18 23:00,1016
16-12-18 22:00,1015
16-12-18 21:00,1015
16-12-18 20:00,1015
16-12-18 19:00,1015
16-12-18 18:00,1014
16-12-18 17:00,1014
16-12-18 16:00,1014
16-12-18 15:00,1014
16-12-18 14:00,1014
16-12-18 13:00,1015
16-12-18 12:00,1016
16-12-18 11:00,1016
16-12-18 10:00,1017
16-12-18 09:00,1017
16-12-18 08:00,1017
16-12-18 07:00,1018
16-12-18 06:00,1018
16-12-18 05:00,1019
16-12-18 04:00,1020
16-12-18 03:00,1020
16-12-18 02:00,1021
16-12-18 01:00,1022
16-12-18 00:00,1023
15-12-18 23:00,1023
15-12-18 22:00,1024
15-12-18 21:00,1025
15-12-18 20:00,1025
15-12-18 19:00,1026
15-12-18 18:00,1026
15-12-18 17:00,1026
15-12-18 16:00,1027
15-12-18 15:00,1027
15-12-18 14:00,1027
15-12-18 13:00,1027
15-12-18 12:00,1028
15-12-18 11:00,1028
15-12-18 10:00,1028
15-12-18 09:00,1028
15-12-18 08:00,1028
15-12-18 07:00,1027
15-12-18 06:00,1027
15-12-18 05:00,1027
15-12-18 04:00,1027
15-12-18 03:00,1027
15-12-18 02:00,1027
15-12-18 01:00,1027
15-12-18 00:00,1027
14-12-18 23:00,1027
14-12-18 22:00,1027
14-12-18 21:00,1026
14-12-18 20:00,1026
14-12-18 19:00,1025
14-12-18 18:00,1025
14-12-18 17:00,1025
14-12-18 16:00,1025
14-12-18 15:00,1024
14-12-18 14:00,1024
14-12-18 13:00,1024
14-12-18 12:00,1024
14-12-18 11:00,1024
14-12-18 10:00,1024
14-12-18 09:00,1023
14-12-18 08:00,1023
14-12-18 07:00,1023
14-12-18 06:00,1022
14-12-18 05:00,1022
14-12-18 04:00,1022
14-12-18 03:00,1023
14-12-18 02:00,1022
14-12-18 01:00,1022
14-12-18 00:00,1022
13-12-18 23:00,1022
13-12-18 22:00,1022
13-12-18 21:00,1022
13-12-18 20:00,1022
13-12-18 19:00,1022
13-12-18 18:00,1022
13-12-18 17:00,1022
13-12-18 16:00,1022
13-12-18 15:00,1022
13-12-18 14:00,1022
13-12-18 13:00,1022
13-12-18 12:00,1023
13-12-18 11:00,1023
13-12-18 10:00,1023
13-12-18 09:00,1023
13-12-18 08:00,1023
13-12-18 07:00,1024
13-12-18 06:00,1024
13-12-18 05:00,1024
13-12-18 04:00,1024
13-12-18 03:00,1024
13-12-18 02:00,1025
13-12-18 01:00,1025
13-12-18 00:00,1025
12-12-18 23:00,1025
12-12-18 22:00,1025
12-12-18 21:00,1025
12-12-18 20:00,1024
12-12-18 19:00,1024
12-12-18 18:00,1024
12-12-18 17:00,1024
12-12-18 16:00,1023
12-12-18 15:00,1023
12-12-18 14:00,1023
12-12-18 13:00,1023
12-12-18 12:00,1023
12-12-18 11:00,1023
12-12-18 10:00,1022
12-12-18 09:00,1021
12-12-18 08:00,1021
12-12-18 07:00,1021
12-12-18 06:00,1020
12-12-18 05:00,1020
12-12-18 04:00,1020
12-12-18 03:00,1019
12-12-18 02:00,1019
12-12-18 01:00,1019
12-12-18 00:00,1018
11-12-18 23:00,1018
11-12-18 22:00,1017
11-12-18 21:00,1017
11-12-18 20:00,1017
11-12-18 19:00,1017
11-12-18 18:00,1016
11-12-18 17:00,1016
11-12-18 16:00,1016
11-12-18 15:00,1015
11-12-18 14:00,1014
11-12-18 13:00,1014
11-12-18 12:00,1014
11-12-18 11:00,1013
11-12-18 10:00,1013
11-12-18 09:00,1012
11-12-18 08:00,1012
11-12-18 07:00,1012
11-12-18 06:00,1012
11-12-18 05:00,1012
11-12-18 04:00,1012
11-12-18 03:00,1012
11-12-18 02:00,1012
11-12-18 01:00,1012
11-12-18 00:00,1012
10-12-18 23:00,1012
10-12-18 22:00,1013
10-12-18 21:00,1013
10-12-18 20:00,1013
10-12-18 19:00,1013
10-12-18 18:00,1013
10-12-18 17:00,1013
10-12-18 16:00,1013
10-12-18 15:00,1013
10-12-18 14:00,1012
10-12-18 13:00,1013
10-12-18 12:00,1013
10-12-18 11:00,1013
10-12-18 10:00,1012
10-12-18 09:00,1011
10-12-18 08:00,1011
10-12-18 07:00,1010
10-12-18 06:00,1009
10-12-18 05:00,1008
10-12-18 04:00,1007
10-12-18 03:00,1007
10-12-18 02:00,1006
10-12-18 01:00,1005
10-12-18 00:00,1004
09-12-18 23:00,1003
09-12-18 22:00,1002
09-12-18 21:00,1001
09-12-18 20:00,1000
09-12-18 19:00,999
09-12-18 18:00,998
09-12-18 17:00,998
09-12-18 16:00,997
09-12-18 15:00,996
09-12-18 14:00,995
09-12-18 13:00,995
09-12-18 12:00,995
09-12-18 11:00,995
09-12-18 10:00,995
09-12-18 09:00,994
09-12-18 08:00,993
09-12-18 07:00,993
09-12-18 06:00,992
09-12-18 05:00,993
09-12-18 04:00,993
09-12-18 03:00,994
09-12-18 02:00,996
09-12-18 01:00,998
09-12-18 00:00,1000
08-12-18 23:00,1000
08-12-18 22:00,1001
08-12-18 21:00,1002
08-12-18 20:00,1003
08-12-18 19:00,1003
08-12-18 18:00,1003
08-12-18 17:00,1003
08-12-18 16:00,1003
08-12-18 15:00,1003
08-12-18 14:00,1004
08-12-18 13:00,1004
08-12-18 12:00,1005
08-12-18 11:00,1006
08-12-18 10:00,1007
08-12-18 09:00,1007
08-12-18 08:00,1007
08-12-18 07:00,1007
08-12-18 06:00,1007
08-12-18 05:00,1005
08-12-18 04:00,1004
08-12-18 03:00,1003
08-12-18 02:00,1001
08-12-18 01:00,1000
08-12-18 00:00,1000
07-12-18 23:00,1000
07-12-18 22:00,1001
07-12-18 21:00,1002
07-12-18 20:00,1002
07-12-18 19:00,1002
07-12-18 18:00,1003
07-12-18 17:00,1005
07-12-18 16:00,1006
07-12-18 15:00,1007
07-12-18 14:00,1008
07-12-18 13:00,1009
07-12-18 12:00,1010
07-12-18 11:00,1011
07-12-18 10:00,1011
07-12-18 09:00,1012
07-12-18 08:00,1012
07-12-18 07:00,1012
07-12-18 06:00,1013
07-12-18 05:00,1014
07-12-18 04:00,1014
07-12-18 03:00,1015
07-12-18 02:00,1015
07-12-18 01:00,1016
07-12-18 00:00,1017
06-12-18 23:00,1017
06-12-18 22:00,1017
06-12-18 21:00,1018
06-12-18 20:00,1018
06-12-18 19:00,1018
06-12-18 18:00,1018
06-12-18 17:00,1018
06-12-18 16:00,1018
06-12-18 15:00,1017
06-12-18 14:00,1018
06-12-18 13:00,1018
06-12-18 12:00,1018
06-12-18 11:00,1019
06-12-18 10:00,1019
06-12-18 09:00,1018
06-12-18 08:00,1018
06-12-18 07:00,1018
06-12-18 06:00,1019
06-12-18 05:00,1020
06-12-18 04:00,1021
06-12-18 03:00,1021
06-12-18 02:00,1021
06-12-18 01:00,1022
06-12-18 00:00,1023
05-12-18 23:00,1024
05-12-18 22:00,1025
05-12-18 21:00,1025
05-12-18 20:00,1026
05-12-18 19:00,1026
05-12-18 18:00,1026
05-12-18 17:00,1027
05-12-18 16:00,1027
05-12-18 15:00,1028
05-12-18 14:00,1028
05-12-18 13:00,1029
05-12-18 12:00,1029
05-12-18 11:00,1030
05-12-18 10:00,1030
05-12-18 09:00,1029
05-12-18 08:00,1029
05-12-18 07:00,1029
05-12-18 06:00,1028
05-12-18 05:00,1028
05-12-18 04:00,1028
05-12-18 03:00,1028
05-12-18 02:00,1027
05-12-18 01:00,1027
05-12-18 00:00,1027
04-12-18 23:00,1026
04-12-18 22:00,1025
04-12-18 21:00,1024
04-12-18 20:00,1024
04-12-18 19:00,1023
04-12-18 18:00,1021
04-12-18 17:00,1020
04-12-18 16:00,1019
04-12-18 15:00,1018
04-12-18 14:00,1017
04-12-18 13:00,1016
04-12-18 12:00,1015
04-12-18 11:00,1014
04-12-18 10:00,1013
04-12-18 09:00,1011
04-12-18 08:00,1009
04-12-18 07:00,1007
04-12-18 06:00,1005
04-12-18 05:00,1004
04-12-18 04:00,1004
04-12-18 03:00,1003
04-12-18 02:00,1003
04-12-18 01:00,1003
04-12-18 00:00,1002
03-12-18 23:00,1002
03-12-18 22:00,1002
03-12-18 21:00,1002
03-12-18 20:00,1002
03-12-18 19:00,1002
03-12-18 18:00,1002
03-12-18 17:00,1002
03-12-18 16:00,1002
03-12-18 15:00,1002
03-12-18 14:00,1002
03-12-18 13:00,1002
03-12-18 12:00,1002
03-12-18 11:00,1003
03-12-18 10:00,1003
03-12-18 09:00,1003
03-12-18 08:00,1002
03-12-18 07:00,1002
03-12-18 06:00,1002
03-12-18 05:00,1003
03-12-18 04:00,1003
03-12-18 03:00,1003
03-12-18 02:00,1003
03-12-18 01:00,1003
03-12-18 00:00,1003
02-12-18 23:00,1003
02-12-18 22:00,1003
02-12-18 21:00,1003
02-12-18 20:00,1003
02-12-18 19:00,1002
02-12-18 18:00,1002
02-12-18 17:00,1002
02-12-18 16:00,1003
02-12-18 15:00,1003
02-12-18 14:00,1004
02-12-18 13:00,1005
02-12-18 12:00,1005
02-12-18 11:00,1006
02-12-18 10:00,1007
02-12-18 09:00,1008
02-12-18 08:00,1008
02-12-18 07:00,1009
02-12-18 06:00,1009
02-12-18 05:00,1010
02-12-18 04:00,1011
02-12-18 03:00,1012
02-12-18 02:00,1013
02-12-18 01:00,1013
02-12-18 00:00,1014
01-12-18 23:00,1015
01-12-18 22:00,1015
01-12-18 21:00,1015
01-12-18 20:00,1016
01-12-18 19:00,1017
01-12-18 18:00,1017
01-12-18 17:00,1017
01-12-18 16:00,1017
01-12-18 15:00,1016
01-12-18 14:00,1016
01-12-18 13:00,1016
01-12-18 12:00,1017
01-12-18 11:00,1017
01-12-18 10:00,1017
01-12-18 09:00,1017
01-12-18 08:00,1016
01-12-18 07:00,1016
01-12-18 06:00,1016
01-12-18 05:00,1016
01-12-18 04:00,1015
01-12-18 03:00,1016
01-12-18 02:00,1016
01-12-18 01:00,1016

