Datum Zeit,Dresden-Nord DRUCK
,hPa
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,
30-12-18 04:00,
30-12-18 03:00,
30-12-18 02:00,
30-12-18 01:00,
30-12-18 00:00,
29-12-18 23:00,
29-12-18 22:00,
29-12-18 21:00,
29-12-18 20:00,
29-12-18 19:00,
29-12-18 18:00,
29-12-18 17:00,
29-12-18 16:00,
29-12-18 15:00,
29-12-18 14:00,
29-12-18 13:00,
29-12-18 12:00,
29-12-18 11:00,
29-12-18 10:00,
29-12-18 09:00,
29-12-18 08:00,
29-12-18 07:00,
29-12-18 06:00,
29-12-18 05:00,
29-12-18 04:00,
29-12-18 03:00,
29-12-18 02:00,
29-12-18 01:00,
29-12-18 00:00,
28-12-18 23:00,
28-12-18 22:00,
28-12-18 21:00,
28-12-18 20:00,
28-12-18 19:00,
28-12-18 18:00,
28-12-18 17:00,1027
28-12-18 16:00,1026
28-12-18 15:00,1026
28-12-18 14:00,1025
28-12-18 13:00,1025
28-12-18 12:00,1025
28-12-18 11:00,1026
28-12-18 10:00,1025
28-12-18 09:00,1025
28-12-18 08:00,1025
28-12-18 07:00,1024
28-12-18 06:00,1024
28-12-18 05:00,1024
28-12-18 04:00,1024
28-12-18 03:00,1024
28-12-18 02:00,1024
28-12-18 01:00,1024
28-12-18 00:00,1024
27-12-18 23:00,1024
27-12-18 22:00,1024
27-12-18 21:00,1024
27-12-18 20:00,1025
27-12-18 19:00,1025
27-12-18 18:00,1025
27-12-18 17:00,1024
27-12-18 16:00,1024
27-12-18 15:00,1025
27-12-18 14:00,1025
27-12-18 13:00,1025
27-12-18 12:00,1026
27-12-18 11:00,1026
27-12-18 10:00,1026
27-12-18 09:00,1026
27-12-18 08:00,1026
27-12-18 07:00,1026
27-12-18 06:00,1026
27-12-18 05:00,1027
27-12-18 04:00,1027
27-12-18 03:00,1028
27-12-18 02:00,1028
27-12-18 01:00,1028
27-12-18 00:00,1028
26-12-18 23:00,1028
26-12-18 22:00,1028
26-12-18 21:00,1028
26-12-18 20:00,1028
26-12-18 19:00,1028
26-12-18 18:00,1028
26-12-18 17:00,1028
26-12-18 16:00,1028
26-12-18 15:00,1028
26-12-18 14:00,1028
26-12-18 13:00,1028
26-12-18 12:00,1029
26-12-18 11:00,1029
26-12-18 10:00,1029
26-12-18 09:00,1029
26-12-18 08:00,1028
26-12-18 07:00,1029
26-12-18 06:00,1029
26-12-18 05:00,1029
26-12-18 04:00,1029
26-12-18 03:00,1029
26-12-18 02:00,1029
26-12-18 01:00,1029
26-12-18 00:00,1030
25-12-18 23:00,1030
25-12-18 22:00,1030
25-12-18 21:00,1030
25-12-18 20:00,1030
25-12-18 19:00,1030
25-12-18 18:00,1030
25-12-18 17:00,1030
25-12-18 16:00,1030
25-12-18 15:00,1029
25-12-18 14:00,1029
25-12-18 13:00,1029
25-12-18 12:00,1030
25-12-18 11:00,1030
25-12-18 10:00,1030
25-12-18 09:00,1030
25-12-18 08:00,1030
25-12-18 07:00,1030
25-12-18 06:00,1030
25-12-18 05:00,1030
25-12-18 04:00,1030
25-12-18 03:00,1030
25-12-18 02:00,1030
25-12-18 01:00,1030
25-12-18 00:00,1030
24-12-18 23:00,1031
24-12-18 22:00,1030
24-12-18 21:00,1030
24-12-18 20:00,1030
24-12-18 19:00,1030
24-12-18 18:00,1030
24-12-18 17:00,1029
24-12-18 16:00,1028
24-12-18 15:00,1027
24-12-18 14:00,1025
24-12-18 13:00,1024
24-12-18 12:00,1024
24-12-18 11:00,1023
24-12-18 10:00,1022
24-12-18 09:00,1020
24-12-18 08:00,1018
24-12-18 07:00,1015
24-12-18 06:00,1013
24-12-18 05:00,1012
24-12-18 04:00,1011
24-12-18 03:00,1011
24-12-18 02:00,1011
24-12-18 01:00,1011
24-12-18 00:00,1012
23-12-18 23:00,1012
23-12-18 22:00,1013
23-12-18 21:00,1013
23-12-18 20:00,1014
23-12-18 19:00,1015
23-12-18 18:00,1015
23-12-18 17:00,1016
23-12-18 16:00,1016
23-12-18 15:00,1017
23-12-18 14:00,1018
23-12-18 13:00,1018
23-12-18 12:00,1019
23-12-18 11:00,1019
23-12-18 10:00,1019
23-12-18 09:00,1019
23-12-18 08:00,1019
23-12-18 07:00,1019
23-12-18 06:00,1019
23-12-18 05:00,1019
23-12-18 04:00,1018
23-12-18 03:00,1018
23-12-18 02:00,1016
23-12-18 01:00,1016
23-12-18 00:00,1015
22-12-18 23:00,1015
22-12-18 22:00,1015
22-12-18 21:00,1014
22-12-18 20:00,1014
22-12-18 19:00,1014
22-12-18 18:00,1014
22-12-18 17:00,1013
22-12-18 16:00,1012
22-12-18 15:00,1010
22-12-18 14:00,1009
22-12-18 13:00,1007
22-12-18 12:00,1006
22-12-18 11:00,1006
22-12-18 10:00,1006
22-12-18 09:00,1006
22-12-18 08:00,1006
22-12-18 07:00,1006
22-12-18 06:00,1006
22-12-18 05:00,1005
22-12-18 04:00,1005
22-12-18 03:00,1005
22-12-18 02:00,1004
22-12-18 01:00,1004
22-12-18 00:00,1003
21-12-18 23:00,1003
21-12-18 22:00,1002
21-12-18 21:00,1002
21-12-18 20:00,1002
21-12-18 19:00,1002
21-12-18 18:00,1002
21-12-18 17:00,1003
21-12-18 16:00,1004
21-12-18 15:00,1005
21-12-18 14:00,1007
21-12-18 13:00,1008
21-12-18 12:00,1010
21-12-18 11:00,1011
21-12-18 10:00,1013
21-12-18 09:00,1013
21-12-18 08:00,1014
21-12-18 07:00,1014
21-12-18 06:00,1015
21-12-18 05:00,1015
21-12-18 04:00,1016
21-12-18 03:00,1016
21-12-18 02:00,1016
21-12-18 01:00,1016
21-12-18 00:00,1016
20-12-18 23:00,1016
20-12-18 22:00,1016
20-12-18 21:00,1016
20-12-18 20:00,1016
20-12-18 19:00,1016
20-12-18 18:00,1016
20-12-18 17:00,1016
20-12-18 16:00,1016
20-12-18 15:00,1015
20-12-18 14:00,1015
20-12-18 13:00,1016
20-12-18 12:00,1016
20-12-18 11:00,1016
20-12-18 10:00,1016
20-12-18 09:00,1016
20-12-18 08:00,1016
20-12-18 07:00,1016
20-12-18 06:00,1016
20-12-18 05:00,1016
20-12-18 04:00,1017
20-12-18 03:00,1017
20-12-18 02:00,1017
20-12-18 01:00,1017
20-12-18 00:00,1017
19-12-18 23:00,1017
19-12-18 22:00,1017
19-12-18 21:00,1017
19-12-18 20:00,1017
19-12-18 19:00,1017
19-12-18 18:00,1017
19-12-18 17:00,1018
19-12-18 16:00,1018
19-12-18 15:00,1018
19-12-18 14:00,1018
19-12-18 13:00,1018
19-12-18 12:00,1019
19-12-18 11:00,1019
19-12-18 10:00,1019
19-12-18 09:00,1018
19-12-18 08:00,1018
19-12-18 07:00,1019
19-12-18 06:00,1019
19-12-18 05:00,1020
19-12-18 04:00,1020
19-12-18 03:00,1020
19-12-18 02:00,1021
