Datum Zeit,Collmberg PM10_HVS
,µg/m³
31-12-18,
30-12-18,
29-12-18,
28-12-18,
27-12-18,
26-12-18,
25-12-18,
24-12-18,
23-12-18,
22-12-18,
21-12-18,
20-12-18,
19-12-18,
18-12-18,
17-12-18,11.94
16-12-18,20.32
15-12-18,23.04
14-12-18,23.01
13-12-18,15.16
12-12-18,5.89
11-12-18,5.73
10-12-18,5.83
09-12-18,2.75
08-12-18,2.99
07-12-18,2.00
06-12-18,
05-12-18,11.18
04-12-18,9.01
03-12-18,2.63
02-12-18,4.69
01-12-18,10.11

