Datum Zeit,Dresden-Bergstraße FEUCHT
,PROZ
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,96.4
30-12-18 04:00,93.0
30-12-18 03:00,89.6
30-12-18 02:00,90.2
30-12-18 01:00,85.2
30-12-18 00:00,86.2
29-12-18 23:00,85.2
29-12-18 22:00,81.8
29-12-18 21:00,80.1
29-12-18 20:00,80.8
29-12-18 19:00,82.9
29-12-18 18:00,85.9
29-12-18 17:00,87.7
29-12-18 16:00,88.6
29-12-18 15:00,92.0
29-12-18 14:00,93.1
29-12-18 13:00,94.0
29-12-18 12:00,92.0
29-12-18 11:00,93.2
29-12-18 10:00,93.8
29-12-18 09:00,95.3
29-12-18 08:00,94.8
29-12-18 07:00,91.8
29-12-18 06:00,92.3
29-12-18 05:00,91.7
29-12-18 04:00,94.0
29-12-18 03:00,95.1
29-12-18 02:00,93.2
29-12-18 01:00,93.0
29-12-18 00:00,94.2
28-12-18 23:00,95.6
28-12-18 22:00,93.3
28-12-18 21:00,91.4
28-12-18 20:00,90.7
28-12-18 19:00,90.4
28-12-18 18:00,91.8
28-12-18 17:00,91.3
28-12-18 16:00,91.0
28-12-18 15:00,90.9
28-12-18 14:00,91.3
28-12-18 13:00,89.9
28-12-18 12:00,90.3
28-12-18 11:00,92.2
28-12-18 10:00,86.5
28-12-18 09:00,76.0
28-12-18 08:00,78.2
28-12-18 07:00,79.9
28-12-18 06:00,73.9
28-12-18 05:00,70.6
28-12-18 04:00,74.0
28-12-18 03:00,72.2
28-12-18 02:00,75.8
28-12-18 01:00,77.2
28-12-18 00:00,78.4
27-12-18 23:00,79.6
27-12-18 22:00,74.2
27-12-18 21:00,71.3
27-12-18 20:00,71.4
27-12-18 19:00,76.8
27-12-18 18:00,77.4
27-12-18 17:00,76.3
27-12-18 16:00,76.1
27-12-18 15:00,72.8
27-12-18 14:00,73.3
27-12-18 13:00,75.4
27-12-18 12:00,80.2
27-12-18 11:00,83.8
27-12-18 10:00,89.3
27-12-18 09:00,91.1
27-12-18 08:00,88.3
27-12-18 07:00,90.1
27-12-18 06:00,91.4
27-12-18 05:00,95.4
27-12-18 04:00,93.9
27-12-18 03:00,94.8
27-12-18 02:00,97.0
27-12-18 01:00,96.2
27-12-18 00:00,95.4
26-12-18 23:00,95.4
26-12-18 22:00,95.7
26-12-18 21:00,95.6
