Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2015-02-01,,,,,,13,5.68,,
2015-02-01,01:00,,1,8,56,,,,
2015-02-01,02:00,,1,9,54,,,,
2015-02-01,03:00,,1,11,51,,,,
2015-02-01,04:00,,1,9,52,,,,
2015-02-01,05:00,,1,10,52,,,,
2015-02-01,06:00,,1,11,50,,,,
2015-02-01,07:00,,1,15,44,,,,
2015-02-01,08:00,,1,14,45,,,,
2015-02-01,09:00,,2,13,43,,,,
2015-02-01,10:00,,2,13,42,,,,
2015-02-01,11:00,,2,9,49,,,,
2015-02-01,12:00,,2,8,51,,,,
2015-02-01,13:00,,2,7,57,,,,
2015-02-01,14:00,,2,8,61,,,,
2015-02-01,15:00,,2,7,65,,,,
2015-02-01,16:00,,2,9,59,,,,
2015-02-01,17:00,,2,13,53,,,,
2015-02-01,18:00,,2,13,50,,,,
2015-02-01,19:00,,1,13,47,,,,
2015-02-01,20:00,,1,16,42,,,,
2015-02-01,21:00,,1,16,39,,,,
2015-02-01,22:00,,1,16,35,,,,
2015-02-01,23:00,,2,17,33,,,,
2015-02-02,,,,,,14,,,
2015-02-02,00:00,,1,14,40,,,,
2015-02-02,01:00,,1,11,51,,,,
2015-02-02,02:00,,2,8,57,,,,
2015-02-02,03:00,,1,8,55,,,,
2015-02-02,04:00,,1,9,48,,,,
2015-02-02,05:00,,1,13,40,,,,
2015-02-02,06:00,,1,12,39,,,,
2015-02-02,07:00,,1,13,38,,,,
2015-02-02,08:00,,1,16,34,,,,
2015-02-02,09:00,,3,17,33,,,,
2015-02-02,10:00,,4,14,38,,,,
2015-02-02,11:00,,4,12,46,,,,
2015-02-02,12:00,,3,11,54,,,,
2015-02-02,13:00,,3,8,64,,,,
2015-02-02,14:00,,3,10,61,,,,
2015-02-02,15:00,,3,8,66,,,,
2015-02-02,16:00,,3,11,62,,,,
2015-02-02,17:00,,2,13,59,,,,
2015-02-02,18:00,,2,15,57,,,,
2015-02-02,19:00,,2,13,57,,,,
2015-02-02,20:00,,2,21,46,,,,
2015-02-02,21:00,,1,20,45,,,,
2015-02-02,22:00,,2,12,56,,,,
2015-02-02,23:00,,1,10,59,,,,
2015-02-03,,,,,,12,,,
2015-02-03,00:00,,1,12,53,,,,
2015-02-03,01:00,,1,14,47,,,,
2015-02-03,02:00,,1,13,46,,,,
2015-02-03,03:00,,1,12,47,,,,
2015-02-03,04:00,,1,10,49,,,,
2015-02-03,05:00,,1,10,50,,,,
2015-02-03,06:00,,1,11,48,,,,
2015-02-03,07:00,,1,12,49,,,,
2015-02-03,08:00,,1,18,42,,,,
2015-02-03,09:00,,2,19,44,,,,
2015-02-03,10:00,,3,15,50,,,,
2015-02-03,11:00,,3,13,55,,,,
2015-02-03,12:00,,3,11,56,,,,
2015-02-03,13:00,,3,10,59,,,,
2015-02-03,14:00,,4,9,62,,,,
2015-02-03,15:00,,3,9,62,,,,
2015-02-03,16:00,,3,10,62,,,,
2015-02-03,17:00,,3,14,57,,,,
2015-02-03,18:00,,2,21,48,,,,
2015-02-03,19:00,,3,17,52,,,,
2015-02-03,20:00,,2,8,64,,,,
2015-02-03,21:00,,2,13,58,,,,
2015-02-03,22:00,,2,19,45,,,,
2015-02-03,23:00,,1,12,53,,,,
2015-02-04,,,,,,17,,,
2015-02-04,00:00,,2,9,58,,,,
2015-02-04,01:00,,3,13,48,,,,
2015-02-04,02:00,,4,10,49,,,,
2015-02-04,03:00,,3,6,47,,,,
2015-02-04,04:00,,2,5,44,,,,
2015-02-04,05:00,,5,10,39,,,,
2015-02-04,06:00,,2,6,41,,,,
2015-02-04,07:00,,2,9,39,,,,
2015-02-04,08:00,,3,15,29,,,,
2015-02-04,09:00,,4,17,25,,,,
2015-02-04,10:00,,4,16,25,,,,
2015-02-04,11:00,,7,17,24,,,,
2015-02-04,12:00,,8,15,26,,,,
2015-02-04,13:00,,5,13,31,,,,
2015-02-04,14:00,,5,14,32,,,,
2015-02-04,15:00,,5,19,29,,,,
2015-02-04,16:00,,6,23,23,,,,
2015-02-04,17:00,,9,27,18,,,,
2015-02-04,18:00,,2,29,15,,,,
2015-02-04,19:00,,4,29,15,,,,
2015-02-04,20:00,,15,29,12,,,,
2015-02-04,21:00,,2,30,13,,,,
2015-02-04,22:00,,2,33,11,,,,
2015-02-04,23:00,,5,41,4,,,,
2015-02-05,,,,,,27,,,
2015-02-05,00:00,,3,36,9,,,,
2015-02-05,01:00,,1,26,17,,,,
2015-02-05,02:00,,1,23,20,,,,
2015-02-05,03:00,,2,22,21,,,,
2015-02-05,04:00,,1,21,21,,,,
2015-02-05,05:00,,5,28,13,,,,
2015-02-05,06:00,,1,26,13,,,,
2015-02-05,07:00,,3,33,7,,,,
2015-02-05,08:00,,6,38,3,,,,
2015-02-05,09:00,,15,35,8,,,,
2015-02-05,10:00,,32,35,9,,,,
2015-02-05,11:00,,25,30,14,,,,
2015-02-05,12:00,,17,26,19,,,,
2015-02-05,13:00,,6,11,35,,,,
2015-02-05,14:00,,6,12,40,,,,
2015-02-05,15:00,,5,11,46,,,,
2015-02-05,16:00,,4,13,43,,,,
2015-02-05,17:00,,2,13,39,,,,
2015-02-05,18:00,,1,11,42,,,,
2015-02-05,19:00,,1,14,37,,,,
2015-02-05,20:00,,1,13,37,,,,
2015-02-05,21:00,,1,12,36,,,,
2015-02-05,22:00,,1,12,34,,,,
2015-02-05,23:00,,1,14,32,,,,
2015-02-06,,,,,,37,,,
2015-02-06,00:00,,1,16,32,,,,
2015-02-06,01:00,,1,19,31,,,,
2015-02-06,02:00,,1,13,37,,,,
2015-02-06,03:00,,1,15,35,,,,
2015-02-06,04:00,,1,16,35,,,,
2015-02-06,05:00,,1,15,38,,,,
2015-02-06,06:00,,1,14,41,,,,
2015-02-06,07:00,,1,15,45,,,,
2015-02-06,08:00,,1,18,48,,,,
2015-02-06,09:00,,1,14,55,,,,
2015-02-06,10:00,,1,16,55,,,,
2015-02-06,11:00,,1,17,56,,,,
2015-02-06,12:00,,1,8,63,,,,
2015-02-06,13:00,,1,9,62,,,,
2015-02-06,14:00,,1,9,60,,,,
2015-02-06,15:00,,1,9,58,,,,
2015-02-06,16:00,,1,13,56,,,,
2015-02-06,17:00,,1,10,59,,,,
2015-02-06,18:00,,1,14,56,,,,
2015-02-06,19:00,,1,14,55,,,,
2015-02-06,20:00,,1,12,55,,,,
2015-02-06,21:00,,1,9,58,,,,
2015-02-06,22:00,,1,16,53,,,,
2015-02-06,23:00,,1,17,51,,,,
2015-02-07,,,,,,29,,,
2015-02-07,00:00,,1,12,53,,,,
2015-02-07,01:00,,1,8,57,,,,
2015-02-07,02:00,,1,11,53,,,,
2015-02-07,03:00,,1,12,52,,,,
2015-02-07,04:00,,3,13,49,,,,
2015-02-07,05:00,,2,14,46,,,,
2015-02-07,06:00,,1,10,49,,,,
2015-02-07,07:00,,1,11,48,,,,
2015-02-07,08:00,,1,12,49,,,,
2015-02-07,09:00,,2,14,48,,,,
2015-02-07,10:00,,3,14,47,,,,
2015-02-07,11:00,,3,10,52,,,,
2015-02-07,12:00,,3,10,55,,,,
2015-02-07,13:00,,3,9,59,,,,
2015-02-07,14:00,,2,8,68,,,,
2015-02-07,15:00,,2,9,71,,,,
2015-02-07,16:00,,2,13,67,,,,
2015-02-07,17:00,,2,13,66,,,,
2015-02-07,18:00,,1,14,66,,,,
2015-02-07,19:00,,1,13,65,,,,
2015-02-07,20:00,,1,11,64,,,,
2015-02-07,21:00,,1,11,62,,,,
2015-02-07,22:00,,1,9,61,,,,
2015-02-07,23:00,,1,8,59,,,,
2015-02-08,,,,,,14,,,
2015-02-08,00:00,,1,8,61,,,,
2015-02-08,01:00,,1,7,64,,,,
2015-02-08,02:00,,1,7,65,,,,
2015-02-08,03:00,,2,6,69,,,,
2015-02-08,04:00,,3,6,72,,,,
2015-02-08,05:00,,2,5,73,,,,
2015-02-08,06:00,,2,4,77,,,,
2015-02-08,07:00,,3,6,73,,,,
2015-02-08,08:00,,2,3,76,,,,
2015-02-08,09:00,,2,3,77,,,,
2015-02-08,10:00,,2,3,78,,,,
2015-02-08,11:00,,2,3,80,,,,
2015-02-08,12:00,,3,3,80,,,,
2015-02-08,13:00,,3,3,81,,,,
2015-02-08,14:00,,3,3,82,,,,
2015-02-08,15:00,,2,2,83,,,,
2015-02-08,16:00,,3,2,84,,,,
2015-02-08,17:00,,2,3,82,,,,
2015-02-08,18:00,,2,3,80,,,,
2015-02-08,19:00,,2,2,79,,,,
2015-02-08,20:00,,2,3,77,,,,
2015-02-08,21:00,,3,7,71,,,,
2015-02-08,22:00,,2,4,73,,,,
2015-02-08,23:00,,1,5,71,,,,
2015-02-09,,,,,,6,,,
2015-02-09,00:00,,1,7,65,,,,
2015-02-09,01:00,,1,7,65,,,,
2015-02-09,02:00,,1,7,64,,,,
2015-02-09,03:00,,1,6,65,,,,
2015-02-09,04:00,,1,5,65,,,,
2015-02-09,05:00,,1,5,64,,,,
2015-02-09,06:00,,1,6,62,,,,
2015-02-09,07:00,,1,6,58,,,,
2015-02-09,08:00,,1,8,55,,,,
2015-02-09,09:00,,1,9,54,,,,
2015-02-09,10:00,,1,9,54,,,,
2015-02-09,11:00,,1,10,54,,,,
2015-02-09,12:00,,1,11,55,,,,
2015-02-09,13:00,,2,12,54,,,,
2015-02-09,14:00,,2,11,61,,,,
2015-02-09,15:00,,2,10,65,,,,
2015-02-09,16:00,,3,12,62,,,,
2015-02-09,17:00,,1,8,67,,,,
2015-02-09,18:00,,4,13,61,,,,
2015-02-09,19:00,,2,9,65,,,,
2015-02-09,20:00,,2,9,63,,,,
2015-02-09,21:00,,1,8,65,,,,
2015-02-09,22:00,,1,5,69,,,,
2015-02-09,23:00,,1,5,70,,,,
2015-02-10,,,,,,6,,,
2015-02-10,00:00,,1,5,68,,,,
2015-02-10,01:00,,1,5,69,,,,
2015-02-10,02:00,,1,4,72,,,,
2015-02-10,03:00,,1,5,68,,,,
2015-02-10,04:00,,1,6,62,,,,
2015-02-10,05:00,,1,5,65,,,,
2015-02-10,06:00,,1,5,65,,,,
2015-02-10,07:00,,2,6,64,,,,
2015-02-10,08:00,,1,8,59,,,,
2015-02-10,09:00,,2,8,60,,,,
2015-02-10,10:00,,2,8,60,,,,
2015-02-10,11:00,,2,8,62,,,,
2015-02-10,12:00,,3,10,61,,,,
2015-02-10,13:00,,2,11,62,,,,
2015-02-10,14:00,,3,10,63,,,,
2015-02-10,15:00,,2,11,64,,,,
2015-02-10,16:00,,2,10,65,,,,
2015-02-10,17:00,,2,11,63,,,,
2015-02-10,18:00,,2,11,61,,,,
2015-02-10,19:00,,3,12,61,,,,
2015-02-10,20:00,,2,11,59,,,,
2015-02-10,21:00,,2,9,63,,,,
2015-02-10,22:00,,2,8,62,,,,
2015-02-10,23:00,,2,10,58,,,,
2015-02-11,,,,,,17,,,
2015-02-11,00:00,,5,16,47,,,,
2015-02-11,01:00,,5,14,50,,,,
2015-02-11,02:00,,8,20,42,,,,
2015-02-11,03:00,,6,15,45,,,,
2015-02-11,04:00,,4,11,48,,,,
2015-02-11,05:00,,8,17,38,,,,
2015-02-11,06:00,,4,10,44,,,,
2015-02-11,07:00,,6,16,41,,,,
2015-02-11,08:00,,2,17,52,,,,
2015-02-11,09:00,,2,13,53,,,,
2015-02-11,10:00,,2,7,60,,,,
2015-02-11,11:00,,3,9,60,,,,
2015-02-11,12:00,,2,6,64,,,,
2015-02-11,13:00,,2,7,64,,,,
2015-02-11,14:00,,2,11,61,,,,
2015-02-11,15:00,,3,14,59,,,,
2015-02-11,16:00,,3,20,52,,,,
2015-02-11,17:00,,2,27,44,,,,
2015-02-11,18:00,,2,38,30,,,,
2015-02-11,19:00,,1,29,35,,,,
2015-02-11,20:00,,1,22,39,,,,
2015-02-11,21:00,,2,17,42,,,,
2015-02-11,22:00,,2,14,41,,,,
2015-02-11,23:00,,2,15,39,,,,
2015-02-12,,,,,,30,,,
2015-02-12,00:00,,2,21,32,,,,
2015-02-12,01:00,,6,26,23,,,,
2015-02-12,02:00,,18,44,1,,,,
2015-02-12,03:00,,5,36,7,,,,
2015-02-12,04:00,,2,24,17,,,,
2015-02-12,05:00,,4,31,11,,,,
2015-02-12,06:00,,2,26,17,,,,
2015-02-12,07:00,,2,27,19,,,,
2015-02-12,08:00,,8,39,7,,,,
2015-02-12,09:00,,15,35,12,,,,
2015-02-12,10:00,,23,34,16,,,,
2015-02-12,11:00,,26,34,22,,,,
2015-02-12,12:00,,7,15,39,,,,
2015-02-12,13:00,,6,15,42,,,,
2015-02-12,14:00,,6,15,43,,,,
2015-02-12,15:00,,6,17,43,,,,
2015-02-12,16:00,,6,20,39,,,,
2015-02-12,17:00,,4,25,33,,,,
2015-02-12,18:00,,2,32,24,,,,
2015-02-12,19:00,,2,32,23,,,,
2015-02-12,20:00,,2,30,25,,,,
2015-02-12,21:00,,2,27,27,,,,
2015-02-12,22:00,,1,22,30,,,,
2015-02-12,23:00,,1,18,34,,,,
2015-02-13,,,,,,28,,,
2015-02-13,00:00,,1,16,38,,,,
2015-02-13,01:00,,1,16,38,,,,
2015-02-13,02:00,,1,20,32,,,,
2015-02-13,03:00,,2,16,35,,,,
2015-02-13,04:00,,1,17,37,,,,
2015-02-13,05:00,,1,20,34,,,,
2015-02-13,06:00,,1,24,32,,,,
2015-02-13,07:00,,1,22,34,,,,
2015-02-13,08:00,,3,33,24,,,,
2015-02-13,09:00,,11,40,21,,,,
2015-02-13,10:00,,14,35,26,,,,
2015-02-13,11:00,,15,28,29,,,,
2015-02-13,12:00,,5,14,52,,,,
2015-02-13,13:00,,5,13,54,,,,
2015-02-13,14:00,,4,13,54,,,,
2015-02-13,15:00,,4,14,52,,,,
2015-02-13,16:00,,4,15,49,,,,
2015-02-13,17:00,,3,19,43,,,,
2015-02-13,18:00,,1,22,39,,,,
2015-02-13,19:00,,1,25,36,,,,
2015-02-13,20:00,,1,25,35,,,,
2015-02-13,21:00,,1,22,36,,,,
2015-02-13,22:00,,1,19,38,,,,
2015-02-13,23:00,,1,17,39,,,,
2015-02-14,,,,,,44,,,
2015-02-14,00:00,,1,16,40,,,,
2015-02-14,01:00,,1,16,41,,,,
2015-02-14,02:00,,1,15,43,,,,
2015-02-14,03:00,,1,14,47,,,,
2015-02-14,04:00,,1,12,54,,,,
2015-02-14,05:00,,1,15,53,,,,
2015-02-14,06:00,,1,13,58,,,,
2015-02-14,07:00,,1,15,59,,,,
2015-02-14,08:00,,1,15,58,,,,
2015-02-14,09:00,,2,15,58,,,,
2015-02-14,10:00,,3,13,60,,,,
2015-02-14,11:00,,3,12,66,,,,
2015-02-14,12:00,,4,13,65,,,,
2015-02-14,13:00,,4,13,64,,,,
2015-02-14,14:00,,4,15,60,,,,
2015-02-14,15:00,,4,15,60,,,,
2015-02-14,16:00,,3,16,59,,,,
2015-02-14,17:00,,2,19,55,,,,
2015-02-14,18:00,,1,20,55,,,,
2015-02-14,19:00,,1,21,54,,,,
2015-02-14,20:00,,1,23,51,,,,
2015-02-14,21:00,,1,21,56,,,,
2015-02-14,22:00,,1,20,58,,,,
2015-02-14,23:00,,1,15,63,,,,
2015-02-15,,,,,,35,,,
2015-02-15,00:00,,1,14,64,,,,
2015-02-15,01:00,,1,11,70,,,,
2015-02-15,02:00,,1,11,72,,,,
2015-02-15,03:00,,1,18,64,,,,
2015-02-15,04:00,,1,15,66,,,,
2015-02-15,05:00,,1,14,62,,,,
2015-02-15,06:00,,1,12,58,,,,
2015-02-15,07:00,,1,12,57,,,,
2015-02-15,08:00,,1,16,49,,,,
2015-02-15,09:00,,1,13,63,,,,
2015-02-15,10:00,,1,11,70,,,,
2015-02-15,11:00,,1,12,73,,,,
2015-02-15,12:00,,1,8,82,,,,
2015-02-15,13:00,,1,8,87,,,,
2015-02-15,14:00,,1,7,90,,,,
2015-02-15,15:00,,1,7,89,,,,
2015-02-15,16:00,,1,8,88,,,,
2015-02-15,17:00,,1,9,86,,,,
2015-02-15,18:00,,1,18,68,,,,
2015-02-15,19:00,,1,15,79,,,,
2015-02-15,20:00,,1,14,82,,,,
2015-02-15,21:00,,1,17,76,,,,
2015-02-15,22:00,,1,33,58,,,,
2015-02-15,23:00,,1,27,64,,,,
2015-02-16,,,,,,66,,,
2015-02-16,00:00,,1,23,64,,,,
