Datum Zeit,Niesky PM10
,µg/m³
31-03-16,10
30-03-16,4
29-03-16,4
28-03-16,11
27-03-16,15
26-03-16,13
25-03-16,22
24-03-16,14
23-03-16,12
22-03-16,8
21-03-16,8
20-03-16,9
19-03-16,15
18-03-16,25
17-03-16,27
16-03-16,22
15-03-16,14
14-03-16,19
13-03-16,19
12-03-16,13
11-03-16,21
10-03-16,29
09-03-16,21
08-03-16,21
07-03-16,8
06-03-16,14
05-03-16,24
04-03-16,12
03-03-16,8
02-03-16,19
01-03-16,21

