Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-16,7.32
30-03-16,3.42
29-03-16,2.86
28-03-16,4.04
27-03-16,9.70
26-03-16,12.24
25-03-16,19.61
24-03-16,17.45
23-03-16,12.92
22-03-16,9.21
21-03-16,5.95
20-03-16,6.15
19-03-16,12.68
18-03-16,30.74
17-03-16,27.52
16-03-16,16.80
15-03-16,13.25
14-03-16,16.83
13-03-16,14.36
12-03-16,15.24
11-03-16,27.49
10-03-16,41.80
09-03-16,25.94
08-03-16,37.43
07-03-16,18.96
06-03-16,15.29
05-03-16,11.99
04-03-16,11.14
03-03-16,9.62
02-03-16,8.18
01-03-16,20.58

