Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-03-16,9.05
30-03-16,4.07
29-03-16,2.92
28-03-16,5.33
27-03-16,12.67
26-03-16,17.29
25-03-16,22.77
24-03-16,19.98
23-03-16,13.08
22-03-16,9.06
21-03-16,7.16
20-03-16,8.84
19-03-16,16.97
18-03-16,26.90
17-03-16,27.28
16-03-16,21.48
15-03-16,14.24
14-03-16,19.48
13-03-16,18.44
12-03-16,12.63
11-03-16,22.74
10-03-16,38.52
09-03-16,24.76
08-03-16,28.98
07-03-16,11.37
06-03-16,11.52
05-03-16,24.91
04-03-16,10.93
03-03-16,9.03
02-03-16,15.23
01-03-16,24.45

