Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-16,6.80
30-03-16,3.03
29-03-16,2.30
28-03-16,3.10
27-03-16,9.50
26-03-16,9.92
25-03-16,19.89
24-03-16,16.63
23-03-16,9.02
22-03-16,7.97
21-03-16,5.05
20-03-16,5.02
19-03-16,5.77
18-03-16,29.45
17-03-16,27.07
16-03-16,18.81
15-03-16,9.28
14-03-16,15.85
13-03-16,14.69
12-03-16,9.07
11-03-16,23.58
10-03-16,35.59
09-03-16,25.48
08-03-16,26.62
07-03-16,13.66
06-03-16,10.59
05-03-16,19.73
04-03-16,9.68
03-03-16,6.97
02-03-16,8.06
01-03-16,18.31

