Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-03-16,9.14
30-03-16,5.54
29-03-16,4.54
28-03-16,6.93
27-03-16,14.78
26-03-16,18.00
25-03-16,22.82
24-03-16,19.98
23-03-16,13.83
22-03-16,10.12
21-03-16,8.30
20-03-16,8.67
19-03-16,17.82
18-03-16,26.85
17-03-16,27.28
16-03-16,21.07
15-03-16,13.45
14-03-16,19.16
13-03-16,17.29
12-03-16,11.93
11-03-16,20.85
10-03-16,35.98
09-03-16,23.82
08-03-16,29.68
07-03-16,11.57
06-03-16,13.07
05-03-16,23.68
04-03-16,11.93
03-03-16,11.65
02-03-16,16.29
01-03-16,23.63

