Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-03-16,9.04
30-03-16,6.31
29-03-16,5.22
28-03-16,5.79
27-03-16,12.08
26-03-16,14.20
25-03-16,21.30
24-03-16,21.10
23-03-16,16.15
22-03-16,11.52
21-03-16,8.28
20-03-16,7.73
19-03-16,15.46
18-03-16,33.52
17-03-16,34.15
16-03-16,19.07
15-03-16,15.07
14-03-16,20.48
13-03-16,15.42
12-03-16,16.13
11-03-16,30.76
10-03-16,40.51
09-03-16,30.47
08-03-16,40.50
07-03-16,23.49
06-03-16,17.13
05-03-16,17.83
04-03-16,14.43
03-03-16,13.82
02-03-16,11.52
01-03-16,22.83

