Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-03-16,11.46
30-03-16,6.33
29-03-16,5.26
28-03-16,6.18
27-03-16,12.92
26-03-16,18.66
25-03-16,21.99
24-03-16,21.29
23-03-16,14.59
22-03-16,11.62
21-03-16,8.70
20-03-16,9.89
19-03-16,17.40
18-03-16,28.84
17-03-16,30.09
16-03-16,23.10
15-03-16,15.59
14-03-16,21.48
13-03-16,17.12
12-03-16,12.81
11-03-16,24.64
10-03-16,39.01
09-03-16,24.39
08-03-16,29.23
07-03-16,13.43
06-03-16,12.19
05-03-16,25.30
04-03-16,13.89
03-03-16,11.15
02-03-16,16.32
01-03-16,23.36

