Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
31-12-08,50
30-12-08,32
29-12-08,38
28-12-08,32
27-12-08,23
26-12-08,17
25-12-08,9
24-12-08,9
23-12-08,22
22-12-08,9
21-12-08,14
20-12-08,9
19-12-08,12
18-12-08,20
17-12-08,24
16-12-08,35
15-12-08,23
14-12-08,12
13-12-08,31
12-12-08,22
11-12-08,28
10-12-08,30
09-12-08,24
08-12-08,19
07-12-08,18
06-12-08,7
05-12-08,9
04-12-08,12
03-12-08,10
02-12-08,14
01-12-08,21

