Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-12-08,96
30-12-08,100
29-12-08,70
28-12-08,37
27-12-08,25
26-12-08,26
25-12-08,14
24-12-08,20
23-12-08,37
22-12-08,16
21-12-08,21
20-12-08,20
19-12-08,23
18-12-08,32
17-12-08,73
16-12-08,77
15-12-08,54
14-12-08,35
13-12-08,44
12-12-08,38
11-12-08,30
10-12-08,47
09-12-08,32
08-12-08,37
07-12-08,26
06-12-08,16
05-12-08,18
04-12-08,23
03-12-08,16
02-12-08,31
01-12-08,38

