Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-07-04,19.94
30-07-04,14.71
29-07-04,12.18
28-07-04,12.81
27-07-04,11.53
26-07-04,12.06
25-07-04,15.86
24-07-04,15.69
23-07-04,12.85
22-07-04,14.63
21-07-04,15.99
20-07-04,17.63
19-07-04,16.46
18-07-04,14.50
17-07-04,14.14
16-07-04,15.17
15-07-04,15.94
14-07-04,13.86
13-07-04,9.19
12-07-04,10.85
11-07-04,9.13
10-07-04,8.54
09-07-04,11.93
08-07-04,18.86
07-07-04,11.96
06-07-04,12.83
05-07-04,12.04
04-07-04,9.57
03-07-04,8.74
02-07-04,14.89
01-07-04,18.50

