Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-07-04,14.42
30-07-04,11.13
29-07-04,10.56
28-07-04,7.76
27-07-04,6.36
26-07-04,
25-07-04,
24-07-04,
23-07-04,
22-07-04,
21-07-04,10.63
20-07-04,14.06
19-07-04,10.28
18-07-04,10.63
17-07-04,12.15
16-07-04,8.78
15-07-04,10.17
14-07-04,9.71
13-07-04,6.26
12-07-04,7.83
11-07-04,7.00
10-07-04,6.10
09-07-04,6.85
08-07-04,16.25
07-07-04,10.08
06-07-04,8.36
05-07-04,8.22
04-07-04,8.00
03-07-04,6.51
02-07-04,9.96
01-07-04,12.53

