Datum Zeit,Zittau-Ost SO2
,µg/m³
01-08-04 00:00,1.0
31-07-04 23:00,1.2
31-07-04 22:00,1.2
31-07-04 21:00,1.3
31-07-04 20:00,1.7
31-07-04 19:00,1.7
31-07-04 18:00,2.0
31-07-04 17:00,2.4
31-07-04 16:00,2.0
31-07-04 15:00,2.3
31-07-04 14:00,2.7
31-07-04 13:00,3.2
31-07-04 12:00,2.5
31-07-04 11:00,1.5
31-07-04 10:00,1.6
31-07-04 09:00,1.8
31-07-04 08:00,1.4
31-07-04 07:00,1.2
31-07-04 06:00,1.0
31-07-04 05:00,1.0
31-07-04 04:00,1.1
31-07-04 03:00,1.0
31-07-04 02:00,1.0
31-07-04 01:00,1.0
31-07-04 00:00,1.1
30-07-04 23:00,1.0
30-07-04 22:00,1.1
30-07-04 21:00,1.4
30-07-04 20:00,1.2
30-07-04 19:00,1.6
30-07-04 18:00,6.6
30-07-04 17:00,17.5
30-07-04 16:00,38.7
30-07-04 15:00,17.9
30-07-04 14:00,8.4
30-07-04 13:00,19.1
30-07-04 12:00,7.8
30-07-04 11:00,5.4
30-07-04 10:00,11.3
30-07-04 09:00,2.8
30-07-04 08:00,1.6
30-07-04 07:00,1.1
30-07-04 06:00,1.0
30-07-04 05:00,1.0
30-07-04 04:00,1.0
30-07-04 03:00,1.0
30-07-04 02:00,1.0
30-07-04 01:00,1.0
30-07-04 00:00,1.2
29-07-04 23:00,1.1
29-07-04 22:00,1.3
29-07-04 21:00,2.2
29-07-04 20:00,1.6
29-07-04 19:00,3.9
29-07-04 18:00,13.6
29-07-04 17:00,29.2
29-07-04 16:00,19.1
29-07-04 15:00,23.3
29-07-04 14:00,45.9
29-07-04 13:00,36.0
29-07-04 12:00,24.2
29-07-04 11:00,20.7
29-07-04 10:00,53.7
29-07-04 09:00,60.9
29-07-04 08:00,23.3
29-07-04 07:00,2.2
29-07-04 06:00,1.3
29-07-04 05:00,1.0
29-07-04 04:00,1.0
29-07-04 03:00,1.0
29-07-04 02:00,1.0
29-07-04 01:00,1.0
29-07-04 00:00,1.0
28-07-04 23:00,1.0
28-07-04 22:00,1.0
28-07-04 21:00,1.0
28-07-04 20:00,1.0
28-07-04 19:00,1.0
28-07-04 18:00,1.0
28-07-04 17:00,1.0
28-07-04 16:00,1.5
28-07-04 15:00,1.8
28-07-04 14:00,
28-07-04 13:00,
28-07-04 12:00,3.5
28-07-04 11:00,1.0
28-07-04 10:00,1.0
28-07-04 09:00,1.0
28-07-04 08:00,1.0
28-07-04 07:00,1.0
28-07-04 06:00,1.0
28-07-04 05:00,1.0
28-07-04 04:00,1.0
28-07-04 03:00,1.0
28-07-04 02:00,1.0
28-07-04 01:00,1.0
28-07-04 00:00,1.0
27-07-04 23:00,1.0
27-07-04 22:00,1.0
27-07-04 21:00,1.0
27-07-04 20:00,1.0
27-07-04 19:00,1.0
27-07-04 18:00,1.0
27-07-04 17:00,1.0
27-07-04 16:00,1.0
27-07-04 15:00,1.0
27-07-04 14:00,1.0
27-07-04 13:00,1.0
27-07-04 12:00,1.0
27-07-04 11:00,1.2
27-07-04 10:00,1.2
27-07-04 09:00,1.0
27-07-04 08:00,1.1
27-07-04 07:00,1.0
27-07-04 06:00,1.0
27-07-04 05:00,1.0
27-07-04 04:00,1.0
27-07-04 03:00,1.0
27-07-04 02:00,1.0
27-07-04 01:00,1.0
27-07-04 00:00,1.0
26-07-04 23:00,1.0
26-07-04 22:00,1.0
26-07-04 21:00,1.0
26-07-04 20:00,1.0
26-07-04 19:00,1.0
26-07-04 18:00,1.0
26-07-04 17:00,1.0
26-07-04 16:00,
26-07-04 15:00,1.0
26-07-04 14:00,1.0
26-07-04 13:00,1.0
26-07-04 12:00,1.7
26-07-04 11:00,1.0
26-07-04 10:00,1.0
26-07-04 09:00,1.2
26-07-04 08:00,1.0
26-07-04 07:00,1.0
26-07-04 06:00,1.0
26-07-04 05:00,1.0
26-07-04 04:00,1.0
26-07-04 03:00,1.0
26-07-04 02:00,1.0
26-07-04 01:00,1.0
26-07-04 00:00,1.0
25-07-04 23:00,1.1
25-07-04 22:00,1.0
25-07-04 21:00,1.0
25-07-04 20:00,1.0
25-07-04 19:00,1.0
25-07-04 18:00,1.0
25-07-04 17:00,1.3
25-07-04 16:00,1.0
25-07-04 15:00,1.0
25-07-04 14:00,1.0
25-07-04 13:00,1.0
25-07-04 12:00,1.2
25-07-04 11:00,1.4
25-07-04 10:00,1.3
25-07-04 09:00,1.6
25-07-04 08:00,2.6
25-07-04 07:00,1.1
25-07-04 06:00,1.0
25-07-04 05:00,1.0
25-07-04 04:00,1.0
25-07-04 03:00,1.0
25-07-04 02:00,1.0
25-07-04 01:00,1.0
25-07-04 00:00,1.8
24-07-04 23:00,2.3
24-07-04 22:00,2.5
24-07-04 21:00,1.9
24-07-04 20:00,3.1
24-07-04 19:00,4.0
24-07-04 18:00,2.3
24-07-04 17:00,2.5
24-07-04 16:00,2.5
24-07-04 15:00,2.7
24-07-04 14:00,3.0
24-07-04 13:00,2.2
24-07-04 12:00,2.8
24-07-04 11:00,3.1
24-07-04 10:00,3.7
24-07-04 09:00,2.7
24-07-04 08:00,2.9
24-07-04 07:00,2.1
24-07-04 06:00,2.1
24-07-04 05:00,2.0
24-07-04 04:00,2.2
24-07-04 03:00,2.2
24-07-04 02:00,2.2
24-07-04 01:00,2.5
24-07-04 00:00,1.3
23-07-04 23:00,1.0
23-07-04 22:00,1.0
23-07-04 21:00,3.0
23-07-04 20:00,3.0
23-07-04 19:00,1.0
23-07-04 18:00,1.0
23-07-04 17:00,1.0
23-07-04 16:00,1.0
23-07-04 15:00,1.0
23-07-04 14:00,2.5
23-07-04 13:00,1.8
23-07-04 12:00,1.2
23-07-04 11:00,1.0
23-07-04 10:00,1.8
23-07-04 09:00,4.9
23-07-04 08:00,28.6
23-07-04 07:00,35.7
23-07-04 06:00,14.2
23-07-04 05:00,1.0
23-07-04 04:00,1.0
23-07-04 03:00,1.0
23-07-04 02:00,1.0
23-07-04 01:00,1.0
23-07-04 00:00,1.0
22-07-04 23:00,1.0
22-07-04 22:00,1.0
22-07-04 21:00,1.0
22-07-04 20:00,1.0
22-07-04 19:00,1.0
22-07-04 18:00,1.0
22-07-04 17:00,1.0
22-07-04 16:00,1.0
22-07-04 15:00,1.0
22-07-04 14:00,1.0
22-07-04 13:00,1.0
22-07-04 12:00,1.0
22-07-04 11:00,1.0
22-07-04 10:00,1.0
22-07-04 09:00,1.2
22-07-04 08:00,1.1
22-07-04 07:00,1.0
22-07-04 06:00,1.0
22-07-04 05:00,1.0
22-07-04 04:00,1.0
22-07-04 03:00,1.0
22-07-04 02:00,1.0
22-07-04 01:00,1.0
22-07-04 00:00,1.0
21-07-04 23:00,1.0
21-07-04 22:00,1.0
21-07-04 21:00,1.0
21-07-04 20:00,1.0
21-07-04 19:00,1.0
21-07-04 18:00,1.0
21-07-04 17:00,1.0
21-07-04 16:00,1.0
21-07-04 15:00,1.3
21-07-04 14:00,1.6
21-07-04 13:00,1.2
21-07-04 12:00,1.0
21-07-04 11:00,1.0
21-07-04 10:00,1.0
21-07-04 09:00,1.0
21-07-04 08:00,1.0
21-07-04 07:00,1.0
21-07-04 06:00,1.0
21-07-04 05:00,1.0
21-07-04 04:00,1.0
21-07-04 03:00,1.0
21-07-04 02:00,1.0
21-07-04 01:00,1.0
21-07-04 00:00,1.0
20-07-04 23:00,1.0
20-07-04 22:00,1.0
20-07-04 21:00,2.5
20-07-04 20:00,2.8
20-07-04 19:00,2.1
20-07-04 18:00,1.6
20-07-04 17:00,1.1
20-07-04 16:00,1.0
20-07-04 15:00,1.0
20-07-04 14:00,1.0
20-07-04 13:00,1.0
20-07-04 12:00,1.2
20-07-04 11:00,1.4
20-07-04 10:00,1.6
20-07-04 09:00,1.5
20-07-04 08:00,1.6
20-07-04 07:00,1.0
20-07-04 06:00,1.0
20-07-04 05:00,1.0
20-07-04 04:00,1.0
20-07-04 03:00,1.0
20-07-04 02:00,1.0
20-07-04 01:00,1.0
20-07-04 00:00,1.0
19-07-04 23:00,1.0
19-07-04 22:00,1.0
19-07-04 21:00,1.0
19-07-04 20:00,1.2
19-07-04 19:00,1.0
19-07-04 18:00,1.5
19-07-04 17:00,1.9
19-07-04 16:00,1.2
19-07-04 15:00,1.4
19-07-04 14:00,1.5
19-07-04 13:00,1.2
19-07-04 12:00,2.1
19-07-04 11:00,2.1
19-07-04 10:00,3.5
19-07-04 09:00,4.1
19-07-04 08:00,1.7
19-07-04 07:00,2.1
19-07-04 06:00,1.2
19-07-04 05:00,1.0
19-07-04 04:00,1.1
19-07-04 03:00,1.0
19-07-04 02:00,1.0
19-07-04 01:00,1.0
19-07-04 00:00,1.1
18-07-04 23:00,1.0
18-07-04 22:00,1.0
18-07-04 21:00,1.0
18-07-04 20:00,1.4
18-07-04 19:00,1.5
18-07-04 18:00,1.4
18-07-04 17:00,1.5
18-07-04 16:00,1.5
18-07-04 15:00,2.2
18-07-04 14:00,1.7
18-07-04 13:00,1.5
18-07-04 12:00,2.1
18-07-04 11:00,2.7
18-07-04 10:00,2.0
18-07-04 09:00,2.8
18-07-04 08:00,2.3
18-07-04 07:00,1.7
18-07-04 06:00,1.3
18-07-04 05:00,1.5
18-07-04 04:00,1.5
18-07-04 03:00,1.4
18-07-04 02:00,1.0
18-07-04 01:00,1.0
18-07-04 00:00,1.0
17-07-04 23:00,1.0
17-07-04 22:00,1.3
17-07-04 21:00,2.2
17-07-04 20:00,1.2
17-07-04 19:00,1.1
17-07-04 18:00,1.0
17-07-04 17:00,1.0
17-07-04 16:00,1.0
17-07-04 15:00,1.5
17-07-04 14:00,1.2
17-07-04 13:00,1.0
17-07-04 12:00,1.2
17-07-04 11:00,1.2
17-07-04 10:00,1.1
17-07-04 09:00,2.4
17-07-04 08:00,1.4
17-07-04 07:00,1.0
17-07-04 06:00,1.0
17-07-04 05:00,1.0
17-07-04 04:00,1.0
17-07-04 03:00,1.0
17-07-04 02:00,1.0
17-07-04 01:00,1.0
17-07-04 00:00,1.0
16-07-04 23:00,1.0
16-07-04 22:00,1.0
16-07-04 21:00,1.0
16-07-04 20:00,1.1
16-07-04 19:00,1.2
16-07-04 18:00,1.2
16-07-04 17:00,1.0
16-07-04 16:00,1.0
16-07-04 15:00,1.0
16-07-04 14:00,1.0
16-07-04 13:00,1.7
16-07-04 12:00,3.0
16-07-04 11:00,3.2
16-07-04 10:00,3.5
16-07-04 09:00,3.9
16-07-04 08:00,6.2
16-07-04 07:00,6.2
16-07-04 06:00,1.5
16-07-04 05:00,1.0
16-07-04 04:00,1.0
16-07-04 03:00,1.0
16-07-04 02:00,1.0
16-07-04 01:00,1.3
16-07-04 00:00,2.5
15-07-04 23:00,1.2
15-07-04 22:00,1.5
15-07-04 21:00,1.1
15-07-04 20:00,1.0
15-07-04 19:00,1.1
15-07-04 18:00,1.0
15-07-04 17:00,1.0
15-07-04 16:00,1.0
15-07-04 15:00,1.2
15-07-04 14:00,1.1
15-07-04 13:00,1.0
15-07-04 12:00,1.3
15-07-04 11:00,1.1
15-07-04 10:00,1.0
15-07-04 09:00,1.8
15-07-04 08:00,1.2
15-07-04 07:00,1.3
15-07-04 06:00,1.2
15-07-04 05:00,1.7
15-07-04 04:00,1.8
15-07-04 03:00,1.2
15-07-04 02:00,1.0
15-07-04 01:00,1.4
15-07-04 00:00,2.3
14-07-04 23:00,3.1
14-07-04 22:00,3.6
14-07-04 21:00,1.2
14-07-04 20:00,1.0
14-07-04 19:00,1.0
14-07-04 18:00,1.2
14-07-04 17:00,1.2
