Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
30-11-08,39
29-11-08,46
28-11-08,36
27-11-08,21
26-11-08,24
25-11-08,23
24-11-08,14
23-11-08,10
22-11-08,7
21-11-08,5
20-11-08,12
19-11-08,13
18-11-08,23
17-11-08,23
16-11-08,11
15-11-08,24
14-11-08,26
13-11-08,40
12-11-08,20
11-11-08,14
10-11-08,12
09-11-08,20
08-11-08,50
07-11-08,49
06-11-08,34
05-11-08,60
04-11-08,37
03-11-08,59
02-11-08,26
01-11-08,32

