Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
30-11-08,29
29-11-08,35
28-11-08,31
27-11-08,16
26-11-08,19
25-11-08,23
24-11-08,11
23-11-08,6
22-11-08,6
21-11-08,4
20-11-08,7
19-11-08,11
18-11-08,18
17-11-08,18
16-11-08,10
15-11-08,18
14-11-08,24
13-11-08,34
12-11-08,15
11-11-08,9
10-11-08,8
09-11-08,17
08-11-08,40
07-11-08,41
06-11-08,45
05-11-08,49
04-11-08,31
03-11-08,45
02-11-08,24
01-11-08,29

