Datum Zeit,Schwartenberg PM10
,µg/m³
28-02-06,23
27-02-06,10
26-02-06,17
25-02-06,18
24-02-06,23
23-02-06,15
22-02-06,9
21-02-06,14
20-02-06,23
19-02-06,6
18-02-06,10
17-02-06,5
16-02-06,7
15-02-06,34
14-02-06,46
13-02-06,16
12-02-06,15
11-02-06,12
10-02-06,3
09-02-06,5
08-02-06,5
07-02-06,8
06-02-06,29
05-02-06,13
04-02-06,9
03-02-06,10
02-02-06,19
01-02-06,6

