Datum Zeit,Collmberg SO2
,µg/m³
01-10-01 00:00,1.0
30-09-01 23:00,1.0
30-09-01 22:00,1.0
30-09-01 21:00,1.1
30-09-01 20:00,1.0
30-09-01 19:00,1.0
30-09-01 18:00,1.0
30-09-01 17:00,1.0
30-09-01 16:00,1.0
30-09-01 15:00,1.0
30-09-01 14:00,1.1
30-09-01 13:00,2.5
30-09-01 12:00,3.3
30-09-01 11:00,3.6
30-09-01 10:00,5.0
30-09-01 09:00,6.8
30-09-01 08:00,
30-09-01 07:00,4.8
30-09-01 06:00,4.5
30-09-01 05:00,2.9
30-09-01 04:00,1.8
30-09-01 03:00,2.0
30-09-01 02:00,3.6
30-09-01 01:00,3.8
30-09-01 00:00,4.2
29-09-01 23:00,5.4
29-09-01 22:00,5.3
29-09-01 21:00,2.5
29-09-01 20:00,2.1
29-09-01 19:00,2.1
29-09-01 18:00,2.5
29-09-01 17:00,1.5
29-09-01 16:00,1.4
29-09-01 15:00,2.3
29-09-01 14:00,4.3
29-09-01 13:00,3.3
29-09-01 12:00,3.8
29-09-01 11:00,2.5
29-09-01 10:00,1.1
29-09-01 09:00,1.3
29-09-01 08:00,
29-09-01 07:00,2.1
29-09-01 06:00,1.6
29-09-01 05:00,1.7
29-09-01 04:00,1.1
29-09-01 03:00,1.4
29-09-01 02:00,1.8
29-09-01 01:00,2.1
29-09-01 00:00,2.7
28-09-01 23:00,3.2
28-09-01 22:00,2.3
28-09-01 21:00,2.7
28-09-01 20:00,1.4
28-09-01 19:00,1.4
28-09-01 18:00,1.1
28-09-01 17:00,1.0
28-09-01 16:00,1.0
28-09-01 15:00,1.0
28-09-01 14:00,1.0
28-09-01 13:00,1.0
28-09-01 12:00,1.0
28-09-01 11:00,1.0
28-09-01 10:00,1.0
28-09-01 09:00,
28-09-01 08:00,2.6
28-09-01 07:00,2.8
28-09-01 06:00,1.7
28-09-01 05:00,1.3
28-09-01 04:00,1.4
28-09-01 03:00,1.2
28-09-01 02:00,1.1
28-09-01 01:00,1.0
28-09-01 00:00,1.0
27-09-01 23:00,1.4
27-09-01 22:00,1.3
27-09-01 21:00,1.1
27-09-01 20:00,1.2
27-09-01 19:00,1.0
27-09-01 18:00,1.0
27-09-01 17:00,1.0
27-09-01 16:00,1.0
27-09-01 15:00,1.0
27-09-01 14:00,1.0
27-09-01 13:00,1.0
27-09-01 12:00,1.1
27-09-01 11:00,1.4
27-09-01 10:00,1.3
27-09-01 09:00,
27-09-01 08:00,1.5
27-09-01 07:00,1.6
27-09-01 06:00,1.9
27-09-01 05:00,1.9
27-09-01 04:00,2.0
27-09-01 03:00,2.1
27-09-01 02:00,1.9
27-09-01 01:00,2.4
27-09-01 00:00,2.1
26-09-01 23:00,1.8
26-09-01 22:00,1.1
26-09-01 21:00,1.0
26-09-01 20:00,1.1
26-09-01 19:00,1.2
26-09-01 18:00,1.5
26-09-01 17:00,1.7
26-09-01 16:00,2.0
26-09-01 15:00,3.1
26-09-01 14:00,3.5
26-09-01 13:00,3.2
26-09-01 12:00,2.6
26-09-01 11:00,2.8
26-09-01 10:00,
26-09-01 09:00,2.3
26-09-01 08:00,2.1
26-09-01 07:00,1.6
26-09-01 06:00,1.5
26-09-01 05:00,1.4
26-09-01 04:00,1.2
26-09-01 03:00,1.1
26-09-01 02:00,1.1
26-09-01 01:00,1.0
26-09-01 00:00,1.0
25-09-01 23:00,1.0
25-09-01 22:00,1.2
25-09-01 21:00,1.0
25-09-01 20:00,1.0
25-09-01 19:00,1.0
25-09-01 18:00,1.4
25-09-01 17:00,1.3
25-09-01 16:00,1.1
25-09-01 15:00,1.4
25-09-01 14:00,1.4
25-09-01 13:00,1.0
25-09-01 12:00,1.0
25-09-01 11:00,1.0
25-09-01 10:00,
25-09-01 09:00,1.0
25-09-01 08:00,1.1
25-09-01 07:00,1.1
25-09-01 06:00,1.2
25-09-01 05:00,1.1
25-09-01 04:00,1.1
25-09-01 03:00,1.2
25-09-01 02:00,1.1
25-09-01 01:00,1.0
25-09-01 00:00,
24-09-01 23:00,1.1
24-09-01 22:00,1.0
24-09-01 21:00,1.0
24-09-01 20:00,1.0
24-09-01 19:00,1.2
24-09-01 18:00,1.8
24-09-01 17:00,1.8
24-09-01 16:00,2.9
24-09-01 15:00,4.8
24-09-01 14:00,4.5
24-09-01 13:00,4.2
24-09-01 12:00,4.0
24-09-01 11:00,4.5
24-09-01 10:00,4.6
24-09-01 09:00,5.3
24-09-01 08:00,5.3
24-09-01 07:00,6.7
24-09-01 06:00,8.0
24-09-01 05:00,8.2
24-09-01 04:00,7.1
24-09-01 03:00,5.8
24-09-01 02:00,4.4
24-09-01 01:00,
24-09-01 00:00,3.5
23-09-01 23:00,4.2
23-09-01 22:00,3.7
23-09-01 21:00,4.6
23-09-01 20:00,4.5
23-09-01 19:00,2.2
23-09-01 18:00,1.2
23-09-01 17:00,3.3
23-09-01 16:00,7.8
23-09-01 15:00,3.2
23-09-01 14:00,1.2
23-09-01 13:00,1.3
23-09-01 12:00,1.5
23-09-01 11:00,1.6
23-09-01 10:00,1.9
23-09-01 09:00,1.7
23-09-01 08:00,1.8
23-09-01 07:00,1.7
23-09-01 06:00,2.0
23-09-01 05:00,2.0
23-09-01 04:00,2.0
23-09-01 03:00,1.9
23-09-01 02:00,2.1
23-09-01 01:00,
23-09-01 00:00,2.2
22-09-01 23:00,3.4
22-09-01 22:00,1.8
22-09-01 21:00,1.4
22-09-01 20:00,1.8
22-09-01 19:00,1.0
22-09-01 18:00,1.1
22-09-01 17:00,1.5
22-09-01 16:00,3.0
22-09-01 15:00,3.5
22-09-01 14:00,5.3
22-09-01 13:00,7.3
22-09-01 12:00,5.3
22-09-01 11:00,6.9
22-09-01 10:00,2.8
22-09-01 09:00,1.6
22-09-01 08:00,1.1
22-09-01 07:00,1.4
22-09-01 06:00,1.7
22-09-01 05:00,1.2
22-09-01 04:00,1.2
22-09-01 03:00,1.7
22-09-01 02:00,
22-09-01 01:00,2.8
22-09-01 00:00,3.1
21-09-01 23:00,1.7
21-09-01 22:00,1.3
21-09-01 21:00,1.0
21-09-01 20:00,1.0
21-09-01 19:00,1.0
21-09-01 18:00,1.0
21-09-01 17:00,1.0
21-09-01 16:00,1.0
21-09-01 15:00,1.0
21-09-01 14:00,1.0
21-09-01 13:00,1.0
21-09-01 12:00,1.0
21-09-01 11:00,1.0
21-09-01 10:00,1.1
21-09-01 09:00,1.1
21-09-01 08:00,1.0
21-09-01 07:00,1.0
21-09-01 06:00,1.0
21-09-01 05:00,1.0
21-09-01 04:00,1.0
21-09-01 03:00,1.0
21-09-01 02:00,
21-09-01 01:00,1.1
21-09-01 00:00,1.1
20-09-01 23:00,1.0
20-09-01 22:00,1.0
20-09-01 21:00,1.0
20-09-01 20:00,1.0
20-09-01 19:00,1.0
20-09-01 18:00,1.0
20-09-01 17:00,1.0
20-09-01 16:00,1.0
20-09-01 15:00,1.0
20-09-01 14:00,1.0
20-09-01 13:00,1.0
20-09-01 12:00,1.0
20-09-01 11:00,1.0
20-09-01 10:00,1.1
20-09-01 09:00,1.1
20-09-01 08:00,1.1
20-09-01 07:00,2.1
20-09-01 06:00,2.7
20-09-01 05:00,3.6
20-09-01 04:00,2.8
20-09-01 03:00,
20-09-01 02:00,2.4
20-09-01 01:00,3.9
20-09-01 00:00,4.8
19-09-01 23:00,5.6
19-09-01 22:00,3.4
19-09-01 21:00,3.2
19-09-01 20:00,3.3
19-09-01 19:00,3.3
19-09-01 18:00,2.4
19-09-01 17:00,5.1
19-09-01 16:00,3.7
19-09-01 15:00,3.7
19-09-01 14:00,2.0
19-09-01 13:00,2.5
19-09-01 12:00,3.4
19-09-01 11:00,3.5
19-09-01 10:00,2.9
19-09-01 09:00,3.3
19-09-01 08:00,3.3
19-09-01 07:00,4.0
19-09-01 06:00,5.9
19-09-01 05:00,4.8
19-09-01 04:00,2.5
19-09-01 03:00,
19-09-01 02:00,1.7
19-09-01 01:00,1.1
19-09-01 00:00,1.3
18-09-01 23:00,1.6
18-09-01 22:00,1.1
18-09-01 21:00,1.2
18-09-01 20:00,1.4
18-09-01 19:00,1.7
18-09-01 18:00,2.9
18-09-01 17:00,4.8
18-09-01 16:00,3.4
18-09-01 15:00,2.1
18-09-01 14:00,1.1
18-09-01 13:00,1.2
18-09-01 12:00,1.0
18-09-01 11:00,1.0
18-09-01 10:00,1.0
18-09-01 09:00,1.0
18-09-01 08:00,1.0
18-09-01 07:00,1.0
18-09-01 06:00,1.0
18-09-01 05:00,1.1
18-09-01 04:00,
18-09-01 03:00,1.1
18-09-01 02:00,1.2
18-09-01 01:00,1.3
18-09-01 00:00,3.2
17-09-01 23:00,2.2
17-09-01 22:00,2.9
17-09-01 21:00,5.1
17-09-01 20:00,2.4
17-09-01 19:00,2.8
17-09-01 18:00,4.1
17-09-01 17:00,5.3
17-09-01 16:00,4.0
17-09-01 15:00,3.2
17-09-01 14:00,3.6
17-09-01 13:00,7.4
17-09-01 12:00,6.4
17-09-01 11:00,3.6
17-09-01 10:00,2.4
17-09-01 09:00,2.0
17-09-01 08:00,1.7
17-09-01 07:00,1.2
17-09-01 06:00,1.1
17-09-01 05:00,1.2
17-09-01 04:00,
17-09-01 03:00,2.1
17-09-01 02:00,2.3
17-09-01 01:00,1.5
17-09-01 00:00,1.8
16-09-01 23:00,1.3
16-09-01 22:00,1.1
16-09-01 21:00,1.2
