Datum Zeit,Glauchau SO2
,µg/m³
01-10-01 00:00,1.0
30-09-01 23:00,1.0
30-09-01 22:00,1.0
30-09-01 21:00,1.2
30-09-01 20:00,1.0
30-09-01 19:00,1.0
30-09-01 18:00,1.0
30-09-01 17:00,1.0
30-09-01 16:00,1.1
30-09-01 15:00,1.0
30-09-01 14:00,1.0
30-09-01 13:00,1.5
30-09-01 12:00,1.4
30-09-01 11:00,1.9
30-09-01 10:00,2.2
30-09-01 09:00,1.4
30-09-01 08:00,
30-09-01 07:00,1.0
30-09-01 06:00,1.0
30-09-01 05:00,1.0
30-09-01 04:00,1.1
30-09-01 03:00,1.7
30-09-01 02:00,1.9
30-09-01 01:00,1.7
30-09-01 00:00,2.4
29-09-01 23:00,2.8
29-09-01 22:00,2.9
29-09-01 21:00,3.4
29-09-01 20:00,3.9
29-09-01 19:00,2.7
29-09-01 18:00,1.4
29-09-01 17:00,1.6
29-09-01 16:00,1.5
29-09-01 15:00,2.5
29-09-01 14:00,2.3
29-09-01 13:00,2.9
29-09-01 12:00,2.6
29-09-01 11:00,4.3
29-09-01 10:00,2.8
29-09-01 09:00,2.4
29-09-01 08:00,
29-09-01 07:00,1.5
29-09-01 06:00,1.7
29-09-01 05:00,1.1
29-09-01 04:00,1.2
29-09-01 03:00,1.8
29-09-01 02:00,1.7
29-09-01 01:00,1.3
29-09-01 00:00,1.0
28-09-01 23:00,1.5
28-09-01 22:00,1.8
28-09-01 21:00,1.3
28-09-01 20:00,1.3
28-09-01 19:00,1.4
28-09-01 18:00,1.5
28-09-01 17:00,1.8
28-09-01 16:00,1.1
28-09-01 15:00,1.0
28-09-01 14:00,1.6
28-09-01 13:00,2.0
28-09-01 12:00,2.1
28-09-01 11:00,1.3
28-09-01 10:00,1.5
28-09-01 09:00,
28-09-01 08:00,1.2
28-09-01 07:00,1.6
28-09-01 06:00,1.3
28-09-01 05:00,1.1
28-09-01 04:00,1.0
28-09-01 03:00,1.1
28-09-01 02:00,1.0
28-09-01 01:00,1.4
28-09-01 00:00,1.7
27-09-01 23:00,1.7
27-09-01 22:00,1.8
27-09-01 21:00,2.0
27-09-01 20:00,1.8
27-09-01 19:00,2.1
27-09-01 18:00,2.6
27-09-01 17:00,2.5
27-09-01 16:00,2.6
27-09-01 15:00,2.4
27-09-01 14:00,3.0
27-09-01 13:00,3.3
27-09-01 12:00,3.5
27-09-01 11:00,3.5
27-09-01 10:00,3.6
27-09-01 09:00,
27-09-01 08:00,5.2
27-09-01 07:00,3.9
27-09-01 06:00,2.4
27-09-01 05:00,1.6
27-09-01 04:00,1.7
27-09-01 03:00,1.9
27-09-01 02:00,1.7
27-09-01 01:00,1.3
27-09-01 00:00,1.3
26-09-01 23:00,1.3
26-09-01 22:00,1.6
26-09-01 21:00,2.1
26-09-01 20:00,2.5
26-09-01 19:00,2.9
26-09-01 18:00,2.8
26-09-01 17:00,3.8
26-09-01 16:00,5.2
26-09-01 15:00,5.7
26-09-01 14:00,6.4
26-09-01 13:00,7.2
26-09-01 12:00,3.0
26-09-01 11:00,2.2
26-09-01 10:00,
26-09-01 09:00,2.0
26-09-01 08:00,2.4
26-09-01 07:00,1.5
26-09-01 06:00,1.5
26-09-01 05:00,1.6
26-09-01 04:00,1.3
26-09-01 03:00,1.7
26-09-01 02:00,2.0
26-09-01 01:00,2.2
26-09-01 00:00,2.8
25-09-01 23:00,2.7
25-09-01 22:00,3.0
25-09-01 21:00,3.2
25-09-01 20:00,3.5
25-09-01 19:00,4.3
25-09-01 18:00,4.4
25-09-01 17:00,4.2
25-09-01 16:00,4.8
25-09-01 15:00,7.3
25-09-01 14:00,8.4
25-09-01 13:00,7.2
25-09-01 12:00,5.1
25-09-01 11:00,7.1
25-09-01 10:00,
25-09-01 09:00,7.3
25-09-01 08:00,3.3
25-09-01 07:00,2.1
25-09-01 06:00,1.4
25-09-01 05:00,1.2
25-09-01 04:00,1.0
25-09-01 03:00,1.0
25-09-01 02:00,
25-09-01 01:00,1.4
25-09-01 00:00,1.6
24-09-01 23:00,1.8
24-09-01 22:00,2.0
24-09-01 21:00,2.2
24-09-01 20:00,2.9
24-09-01 19:00,3.1
24-09-01 18:00,3.9
24-09-01 17:00,4.1
24-09-01 16:00,4.7
24-09-01 15:00,4.3
24-09-01 14:00,4.7
24-09-01 13:00,5.4
24-09-01 12:00,4.4
24-09-01 11:00,2.5
24-09-01 10:00,2.7
24-09-01 09:00,2.4
24-09-01 08:00,2.3
24-09-01 07:00,1.8
24-09-01 06:00,2.1
24-09-01 05:00,2.3
24-09-01 04:00,2.8
24-09-01 03:00,2.0
24-09-01 02:00,
24-09-01 01:00,1.2
24-09-01 00:00,1.2
23-09-01 23:00,2.1
23-09-01 22:00,2.8
23-09-01 21:00,3.3
23-09-01 20:00,4.3
23-09-01 19:00,6.0
23-09-01 18:00,5.4
23-09-01 17:00,6.5
23-09-01 16:00,7.8
23-09-01 15:00,4.4
23-09-01 14:00,1.0
23-09-01 13:00,2.3
23-09-01 12:00,2.1
23-09-01 11:00,2.8
23-09-01 10:00,2.5
23-09-01 09:00,1.8
23-09-01 08:00,1.0
23-09-01 07:00,1.0
23-09-01 06:00,1.0
23-09-01 05:00,1.0
23-09-01 04:00,1.0
23-09-01 03:00,1.0
23-09-01 02:00,
23-09-01 01:00,1.0
23-09-01 00:00,1.0
22-09-01 23:00,1.0
22-09-01 22:00,1.0
22-09-01 21:00,1.0
22-09-01 20:00,1.0
22-09-01 19:00,1.0
22-09-01 18:00,1.0
22-09-01 17:00,1.0
22-09-01 16:00,1.0
22-09-01 15:00,1.0
22-09-01 14:00,1.0
22-09-01 13:00,1.0
22-09-01 12:00,1.0
22-09-01 11:00,1.0
22-09-01 10:00,1.0
22-09-01 09:00,1.0
22-09-01 08:00,1.0
22-09-01 07:00,1.0
22-09-01 06:00,1.0
22-09-01 05:00,1.0
22-09-01 04:00,1.0
22-09-01 03:00,1.0
22-09-01 02:00,
22-09-01 01:00,1.0
22-09-01 00:00,1.0
21-09-01 23:00,1.0
21-09-01 22:00,1.0
21-09-01 21:00,1.1
21-09-01 20:00,1.1
21-09-01 19:00,1.0
21-09-01 18:00,1.0
21-09-01 17:00,1.0
21-09-01 16:00,1.3
21-09-01 15:00,1.6
21-09-01 14:00,1.6
21-09-01 13:00,1.8
21-09-01 12:00,1.0
21-09-01 11:00,1.2
21-09-01 10:00,1.6
21-09-01 09:00,1.0
21-09-01 08:00,1.0
21-09-01 07:00,1.0
21-09-01 06:00,1.0
21-09-01 05:00,1.0
21-09-01 04:00,1.0
21-09-01 03:00,
21-09-01 02:00,1.0
21-09-01 01:00,1.0
21-09-01 00:00,1.0
20-09-01 23:00,1.0
20-09-01 22:00,1.2
20-09-01 21:00,1.3
20-09-01 20:00,1.1
20-09-01 19:00,1.3
20-09-01 18:00,1.6
20-09-01 17:00,2.0
20-09-01 16:00,1.9
20-09-01 15:00,1.7
20-09-01 14:00,1.3
20-09-01 13:00,1.3
20-09-01 12:00,1.9
20-09-01 11:00,2.1
20-09-01 10:00,2.3
20-09-01 09:00,1.9
20-09-01 08:00,2.1
20-09-01 07:00,1.7
20-09-01 06:00,1.6
20-09-01 05:00,1.8
20-09-01 04:00,2.8
20-09-01 03:00,
20-09-01 02:00,4.9
20-09-01 01:00,8.8
20-09-01 00:00,4.4
19-09-01 23:00,4.1
19-09-01 22:00,7.5
19-09-01 21:00,11.3
19-09-01 20:00,12.9
19-09-01 19:00,7.4
19-09-01 18:00,11.3
19-09-01 17:00,7.8
19-09-01 16:00,3.1
19-09-01 15:00,1.9
19-09-01 14:00,2.2
19-09-01 13:00,2.9
19-09-01 12:00,2.9
19-09-01 11:00,4.1
19-09-01 10:00,11.3
19-09-01 09:00,6.9
19-09-01 08:00,4.8
19-09-01 07:00,4.3
19-09-01 06:00,2.6
19-09-01 05:00,1.7
19-09-01 04:00,
19-09-01 03:00,1.7
19-09-01 02:00,1.6
19-09-01 01:00,3.1
19-09-01 00:00,3.4
18-09-01 23:00,3.4
18-09-01 22:00,4.0
18-09-01 21:00,3.8
18-09-01 20:00,4.3
18-09-01 19:00,4.3
18-09-01 18:00,4.6
18-09-01 17:00,5.4
18-09-01 16:00,5.5
18-09-01 15:00,4.7
18-09-01 14:00,5.0
18-09-01 13:00,6.3
18-09-01 12:00,7.4
18-09-01 11:00,7.7
18-09-01 10:00,7.5
18-09-01 09:00,7.0
18-09-01 08:00,5.6
18-09-01 07:00,4.6
18-09-01 06:00,3.5
18-09-01 05:00,3.4
18-09-01 04:00,
18-09-01 03:00,2.6
18-09-01 02:00,2.7
18-09-01 01:00,1.7
18-09-01 00:00,1.1
17-09-01 23:00,1.3
17-09-01 22:00,2.1
17-09-01 21:00,1.8
17-09-01 20:00,1.4
17-09-01 19:00,1.3
17-09-01 18:00,1.6
17-09-01 17:00,1.1
17-09-01 16:00,1.6
17-09-01 15:00,1.8
17-09-01 14:00,2.0
17-09-01 13:00,2.4
17-09-01 12:00,2.7
17-09-01 11:00,2.7
17-09-01 10:00,2.3
17-09-01 09:00,2.2
17-09-01 08:00,1.9
17-09-01 07:00,1.8
17-09-01 06:00,1.3
17-09-01 05:00,
17-09-01 04:00,1.0
17-09-01 03:00,1.0
17-09-01 02:00,1.0
17-09-01 01:00,1.0
17-09-01 00:00,1.0
16-09-01 23:00,1.3
16-09-01 22:00,1.0
16-09-01 21:00,1.2
