Datum Zeit,Schwartenberg PM2.5
,µg/m³
30-09-01,
29-09-01,16.15
28-09-01,
27-09-01,10.63
26-09-01,
25-09-01,2.92
24-09-01,
23-09-01,10.61
22-09-01,
21-09-01,3.71
20-09-01,
19-09-01,10.53
18-09-01,
17-09-01,6.47
16-09-01,
15-09-01,5.97
14-09-01,
13-09-01,4.11
12-09-01,
11-09-01,3.56
10-09-01,
09-09-01,0.94
08-09-01,
07-09-01,4.83
06-09-01,
05-09-01,2.07
04-09-01,
03-09-01,7.08
02-09-01,
01-09-01,10.43

