Datum Zeit,Leipzig-Mitte WINDRI
,GRAD
01-02-19 00:00,87
31-01-19 23:00,95
31-01-19 22:00,92
31-01-19 21:00,91
31-01-19 20:00,91
31-01-19 19:00,87
31-01-19 18:00,86
31-01-19 17:00,99
31-01-19 16:00,95
31-01-19 15:00,121
31-01-19 14:00,251
31-01-19 13:00,218
31-01-19 12:00,253
31-01-19 11:00,254
31-01-19 10:00,192
31-01-19 09:00,152
31-01-19 08:00,209
31-01-19 07:00,213
31-01-19 06:00,224
31-01-19 05:00,203
31-01-19 04:00,194
31-01-19 03:00,213
31-01-19 02:00,251
31-01-19 01:00,196
31-01-19 00:00,202
30-01-19 23:00,161
30-01-19 22:00,108
30-01-19 21:00,99
30-01-19 20:00,93
30-01-19 19:00,89
30-01-19 18:00,95
30-01-19 17:00,94
30-01-19 16:00,89
30-01-19 15:00,95
30-01-19 14:00,98
30-01-19 13:00,96
30-01-19 12:00,92
30-01-19 11:00,85
30-01-19 10:00,85
30-01-19 09:00,86
30-01-19 08:00,87
30-01-19 07:00,85
30-01-19 06:00,87
30-01-19 05:00,87
30-01-19 04:00,89
30-01-19 03:00,89
30-01-19 02:00,80
30-01-19 01:00,85
30-01-19 00:00,82
29-01-19 23:00,82
29-01-19 22:00,86
29-01-19 21:00,190
29-01-19 20:00,142
29-01-19 19:00,174
29-01-19 18:00,251
29-01-19 17:00,262
29-01-19 16:00,268
29-01-19 15:00,263
29-01-19 14:00,264
29-01-19 13:00,265
29-01-19 12:00,265
29-01-19 11:00,265
29-01-19 10:00,267
29-01-19 09:00,264
29-01-19 08:00,262
29-01-19 07:00,260
29-01-19 06:00,260
29-01-19 05:00,261
29-01-19 04:00,262
29-01-19 03:00,261
29-01-19 02:00,266
29-01-19 01:00,265
29-01-19 00:00,267
28-01-19 23:00,261
28-01-19 22:00,260
28-01-19 21:00,260
28-01-19 20:00,266
28-01-19 19:00,271
28-01-19 18:00,272
28-01-19 17:00,272
28-01-19 16:00,269
28-01-19 15:00,269
28-01-19 14:00,263
28-01-19 13:00,236
28-01-19 12:00,249
28-01-19 11:00,220
28-01-19 10:00,219
28-01-19 09:00,198
28-01-19 08:00,247
28-01-19 07:00,233
28-01-19 06:00,266
28-01-19 05:00,264
28-01-19 04:00,263
28-01-19 03:00,262
28-01-19 02:00,265
28-01-19 01:00,244
28-01-19 00:00,202
27-01-19 23:00,200
27-01-19 22:00,202
27-01-19 21:00,216
27-01-19 20:00,225
27-01-19 19:00,194
27-01-19 18:00,211
27-01-19 17:00,258
27-01-19 16:00,203
27-01-19 15:00,240
27-01-19 14:00,234
27-01-19 13:00,231
27-01-19 12:00,242
27-01-19 11:00,257
27-01-19 10:00,257
27-01-19 09:00,244
27-01-19 08:00,242
27-01-19 07:00,246
27-01-19 06:00,217
27-01-19 05:00,233
27-01-19 04:00,222
27-01-19 03:00,209
27-01-19 02:00,196
27-01-19 01:00,207
27-01-19 00:00,264
26-01-19 23:00,261
26-01-19 22:00,262
26-01-19 21:00,265
26-01-19 20:00,266
26-01-19 19:00,263
26-01-19 18:00,263
26-01-19 17:00,263
26-01-19 16:00,262
26-01-19 15:00,261
26-01-19 14:00,262
26-01-19 13:00,270
26-01-19 12:00,270
26-01-19 11:00,272
26-01-19 10:00,267
26-01-19 09:00,266
26-01-19 08:00,264
26-01-19 07:00,266
26-01-19 06:00,269
26-01-19 05:00,274
26-01-19 04:00,272
26-01-19 03:00,272
26-01-19 02:00,259
26-01-19 01:00,261
26-01-19 00:00,265
25-01-19 23:00,270
25-01-19 22:00,268
25-01-19 21:00,265
25-01-19 20:00,267
25-01-19 19:00,272
25-01-19 18:00,272
25-01-19 17:00,267
25-01-19 16:00,270
25-01-19 15:00,272
25-01-19 14:00,273
25-01-19 13:00,277
25-01-19 12:00,277
25-01-19 11:00,271
25-01-19 10:00,272
25-01-19 09:00,275
25-01-19 08:00,15
25-01-19 07:00,45
25-01-19 06:00,46
25-01-19 05:00,50
25-01-19 04:00,49
25-01-19 03:00,52
25-01-19 02:00,48
25-01-19 01:00,47
25-01-19 00:00,62
24-01-19 23:00,48
24-01-19 22:00,40
24-01-19 21:00,42
24-01-19 20:00,55
24-01-19 19:00,68
24-01-19 18:00,42
24-01-19 17:00,65
24-01-19 16:00,92
24-01-19 15:00,53
24-01-19 14:00,95
24-01-19 13:00,89
24-01-19 12:00,91
24-01-19 11:00,76
24-01-19 10:00,89
24-01-19 09:00,88
24-01-19 08:00,94
24-01-19 07:00,89
24-01-19 06:00,82
24-01-19 05:00,50
24-01-19 04:00,45
24-01-19 03:00,48
24-01-19 02:00,45
24-01-19 01:00,52
24-01-19 00:00,89
23-01-19 23:00,90
23-01-19 22:00,89
23-01-19 21:00,90
23-01-19 20:00,92
23-01-19 19:00,92
23-01-19 18:00,90
23-01-19 17:00,83
23-01-19 16:00,91
23-01-19 15:00,93
23-01-19 14:00,91
23-01-19 13:00,92
23-01-19 12:00,92
23-01-19 11:00,92
23-01-19 10:00,92
23-01-19 09:00,87
23-01-19 08:00,66
23-01-19 07:00,92
23-01-19 06:00,60
23-01-19 05:00,45
23-01-19 04:00,51
23-01-19 03:00,72
23-01-19 02:00,92
23-01-19 01:00,93
23-01-19 00:00,88
22-01-19 23:00,93
22-01-19 22:00,113
22-01-19 21:00,149
22-01-19 20:00,206
22-01-19 19:00,230
22-01-19 18:00,119
22-01-19 17:00,98
22-01-19 16:00,99
22-01-19 15:00,97
22-01-19 14:00,98
22-01-19 13:00,103
22-01-19 12:00,101
