Datum Zeit,Schwartenberg WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,134
31-01-19 22:00,134
31-01-19 21:00,135
31-01-19 20:00,135
31-01-19 19:00,135
31-01-19 18:00,133
31-01-19 17:00,134
31-01-19 16:00,141
31-01-19 15:00,144
31-01-19 14:00,147
31-01-19 13:00,144
31-01-19 12:00,154
31-01-19 11:00,161
31-01-19 10:00,160
31-01-19 09:00,159
31-01-19 08:00,167
31-01-19 07:00,154
31-01-19 06:00,158
31-01-19 05:00,154
31-01-19 04:00,153
31-01-19 03:00,156
31-01-19 02:00,154
31-01-19 01:00,152
31-01-19 00:00,150
30-01-19 23:00,150
30-01-19 22:00,143
30-01-19 21:00,142
30-01-19 20:00,137
30-01-19 19:00,132
30-01-19 18:00,132
30-01-19 17:00,135
30-01-19 16:00,136
30-01-19 15:00,139
30-01-19 14:00,136
30-01-19 13:00,136
30-01-19 12:00,138
30-01-19 11:00,139
30-01-19 10:00,133
30-01-19 09:00,135
30-01-19 08:00,135
30-01-19 07:00,134
30-01-19 06:00,135
30-01-19 05:00,138
30-01-19 04:00,136
30-01-19 03:00,136
30-01-19 02:00,133
30-01-19 01:00,133
30-01-19 00:00,134
29-01-19 23:00,132
29-01-19 22:00,132
29-01-19 21:00,143
29-01-19 20:00,153
29-01-19 19:00,192
29-01-19 18:00,182
29-01-19 17:00,274
29-01-19 16:00,290
29-01-19 15:00,283
29-01-19 14:00,277
29-01-19 13:00,277
29-01-19 12:00,280
29-01-19 11:00,285
29-01-19 10:00,287
29-01-19 09:00,298
29-01-19 08:00,302
29-01-19 07:00,299
29-01-19 06:00,300
29-01-19 05:00,286
29-01-19 04:00,287
29-01-19 03:00,287
29-01-19 02:00,283
29-01-19 01:00,282
29-01-19 00:00,286
28-01-19 23:00,271
28-01-19 22:00,255
28-01-19 21:00,243
28-01-19 20:00,207
28-01-19 19:00,183
28-01-19 18:00,189
28-01-19 17:00,187
28-01-19 16:00,195
28-01-19 15:00,188
28-01-19 14:00,195
28-01-19 13:00,196
28-01-19 12:00,200
28-01-19 11:00,193
28-01-19 10:00,206
28-01-19 09:00,235
28-01-19 08:00,241
28-01-19 07:00,258
28-01-19 06:00,282
28-01-19 05:00,273
28-01-19 04:00,246
28-01-19 03:00,181
28-01-19 02:00,172
28-01-19 01:00,175
28-01-19 00:00,170
27-01-19 23:00,172
27-01-19 22:00,174
27-01-19 21:00,173
27-01-19 20:00,169
27-01-19 19:00,170
27-01-19 18:00,177
27-01-19 17:00,191
27-01-19 16:00,188
27-01-19 15:00,190
27-01-19 14:00,153
27-01-19 13:00,169
27-01-19 12:00,173
27-01-19 11:00,183
27-01-19 10:00,177
27-01-19 09:00,180
27-01-19 08:00,192
27-01-19 07:00,182
27-01-19 06:00,183
27-01-19 05:00,176
27-01-19 04:00,194
27-01-19 03:00,210
27-01-19 02:00,217
27-01-19 01:00,234
27-01-19 00:00,273
26-01-19 23:00,265
26-01-19 22:00,263
26-01-19 21:00,261
26-01-19 20:00,273
26-01-19 19:00,283
26-01-19 18:00,286
26-01-19 17:00,288
26-01-19 16:00,290
26-01-19 15:00,290
26-01-19 14:00,287
26-01-19 13:00,283
26-01-19 12:00,279
26-01-19 11:00,278
26-01-19 10:00,281
26-01-19 09:00,284
26-01-19 08:00,278
26-01-19 07:00,271
26-01-19 06:00,265
26-01-19 05:00,232
26-01-19 04:00,205
26-01-19 03:00,194
26-01-19 02:00,213
26-01-19 01:00,239
26-01-19 00:00,262
25-01-19 23:00,259
25-01-19 22:00,247
25-01-19 21:00,243
25-01-19 20:00,256
25-01-19 19:00,238
25-01-19 18:00,238
25-01-19 17:00,248
25-01-19 16:00,286
25-01-19 15:00,277
25-01-19 14:00,301
25-01-19 13:00,295
25-01-19 12:00,294
25-01-19 11:00,289
25-01-19 10:00,297
25-01-19 09:00,295
25-01-19 08:00,302
25-01-19 07:00,309
25-01-19 06:00,300
25-01-19 05:00,300
25-01-19 04:00,299
25-01-19 03:00,299
25-01-19 02:00,297
25-01-19 01:00,294
25-01-19 00:00,298
24-01-19 23:00,306
24-01-19 22:00,300
24-01-19 21:00,327
24-01-19 20:00,31
24-01-19 19:00,20
24-01-19 18:00,13
24-01-19 17:00,9
