Datum Zeit,Carlsfeld WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,222
31-01-19 04:00,229
31-01-19 03:00,238
31-01-19 02:00,246
31-01-19 01:00,241
31-01-19 00:00,223
30-01-19 23:00,219
30-01-19 22:00,213
30-01-19 21:00,199
30-01-19 20:00,175
30-01-19 19:00,158
30-01-19 18:00,154
30-01-19 17:00,185
30-01-19 16:00,180
30-01-19 15:00,166
30-01-19 14:00,186
30-01-19 13:00,182
30-01-19 12:00,170
30-01-19 11:00,158
30-01-19 10:00,161
30-01-19 09:00,160
30-01-19 08:00,156
30-01-19 07:00,156
30-01-19 06:00,159
30-01-19 05:00,157
30-01-19 04:00,158
30-01-19 03:00,156
30-01-19 02:00,157
30-01-19 01:00,156
30-01-19 00:00,160
29-01-19 23:00,157
29-01-19 22:00,181
29-01-19 21:00,182
29-01-19 20:00,205
29-01-19 19:00,223
29-01-19 18:00,357
29-01-19 17:00,252
29-01-19 16:00,261
29-01-19 15:00,268
29-01-19 14:00,273
29-01-19 13:00,275
29-01-19 12:00,267
29-01-19 11:00,279
29-01-19 10:00,278
29-01-19 09:00,290
29-01-19 08:00,311
29-01-19 07:00,321
29-01-19 06:00,319
29-01-19 05:00,328
29-01-19 04:00,307
29-01-19 03:00,311
29-01-19 02:00,288
29-01-19 01:00,300
29-01-19 00:00,300
28-01-19 23:00,301
28-01-19 22:00,275
28-01-19 21:00,265
28-01-19 20:00,258
28-01-19 19:00,254
28-01-19 18:00,243
28-01-19 17:00,245
28-01-19 16:00,243
28-01-19 15:00,236
28-01-19 14:00,232
28-01-19 13:00,235
28-01-19 12:00,242
28-01-19 11:00,236
28-01-19 10:00,243
28-01-19 09:00,250
28-01-19 08:00,253
28-01-19 07:00,259
28-01-19 06:00,265
28-01-19 05:00,268
28-01-19 04:00,273
28-01-19 03:00,278
28-01-19 02:00,254
28-01-19 01:00,248
28-01-19 00:00,248
27-01-19 23:00,252
27-01-19 22:00,232
27-01-19 21:00,235
27-01-19 20:00,231
27-01-19 19:00,233
27-01-19 18:00,230
27-01-19 17:00,228
27-01-19 16:00,234
27-01-19 15:00,230
27-01-19 14:00,230
27-01-19 13:00,222
27-01-19 12:00,226
27-01-19 11:00,221
27-01-19 10:00,221
27-01-19 09:00,231
27-01-19 08:00,235
27-01-19 07:00,226
27-01-19 06:00,240
27-01-19 05:00,237
27-01-19 04:00,247
27-01-19 03:00,247
27-01-19 02:00,250
27-01-19 01:00,249
27-01-19 00:00,252
26-01-19 23:00,251
26-01-19 22:00,253
26-01-19 21:00,259
26-01-19 20:00,265
26-01-19 19:00,270
26-01-19 18:00,268
26-01-19 17:00,277
26-01-19 16:00,283
26-01-19 15:00,278
26-01-19 14:00,277
26-01-19 13:00,274
26-01-19 12:00,267
26-01-19 11:00,267
26-01-19 10:00,272
26-01-19 09:00,276
26-01-19 08:00,278
26-01-19 07:00,268
26-01-19 06:00,260
26-01-19 05:00,254
26-01-19 04:00,259
26-01-19 03:00,253
26-01-19 02:00,250
26-01-19 01:00,251
26-01-19 00:00,252
25-01-19 23:00,253
25-01-19 22:00,253
25-01-19 21:00,261
25-01-19 20:00,247
25-01-19 19:00,250
25-01-19 18:00,253
25-01-19 17:00,251
25-01-19 16:00,249
25-01-19 15:00,254
25-01-19 14:00,262
25-01-19 13:00,260
25-01-19 12:00,286
25-01-19 11:00,276
25-01-19 10:00,284
25-01-19 09:00,287
25-01-19 08:00,302
25-01-19 07:00,302
25-01-19 06:00,308
25-01-19 05:00,289
25-01-19 04:00,308
25-01-19 03:00,299
25-01-19 02:00,296
25-01-19 01:00,294
25-01-19 00:00,293
24-01-19 23:00,301
24-01-19 22:00,251
24-01-19 21:00,228
24-01-19 20:00,97
24-01-19 19:00,67
24-01-19 18:00,52
24-01-19 17:00,63
24-01-19 16:00,58
24-01-19 15:00,55
