Datum Zeit,Collmberg WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,155
31-01-19 22:00,151
31-01-19 21:00,158
31-01-19 20:00,161
31-01-19 19:00,159
31-01-19 18:00,149
31-01-19 17:00,144
31-01-19 16:00,151
31-01-19 15:00,162
31-01-19 14:00,176
31-01-19 13:00,184
31-01-19 12:00,187
31-01-19 11:00,193
31-01-19 10:00,190
31-01-19 09:00,198
31-01-19 08:00,189
31-01-19 07:00,182
31-01-19 06:00,180
31-01-19 05:00,181
31-01-19 04:00,178
31-01-19 03:00,182
31-01-19 02:00,181
31-01-19 01:00,177
31-01-19 00:00,178
30-01-19 23:00,175
30-01-19 22:00,174
30-01-19 21:00,170
30-01-19 20:00,169
30-01-19 19:00,167
30-01-19 18:00,161
30-01-19 17:00,154
30-01-19 16:00,148
30-01-19 15:00,146
30-01-19 14:00,146
30-01-19 13:00,151
30-01-19 12:00,147
30-01-19 11:00,146
30-01-19 10:00,136
30-01-19 09:00,132
30-01-19 08:00,136
30-01-19 07:00,139
30-01-19 06:00,142
30-01-19 05:00,153
30-01-19 04:00,160
30-01-19 03:00,157
30-01-19 02:00,158
30-01-19 01:00,164
30-01-19 00:00,165
29-01-19 23:00,164
29-01-19 22:00,179
29-01-19 21:00,188
29-01-19 20:00,189
29-01-19 19:00,191
29-01-19 18:00,195
29-01-19 17:00,205
29-01-19 16:00,227
29-01-19 15:00,237
29-01-19 14:00,235
29-01-19 13:00,246
29-01-19 12:00,245
29-01-19 11:00,251
29-01-19 10:00,268
29-01-19 09:00,267
29-01-19 08:00,263
29-01-19 07:00,279
29-01-19 06:00,291
29-01-19 05:00,300
29-01-19 04:00,298
29-01-19 03:00,296
29-01-19 02:00,296
29-01-19 01:00,295
29-01-19 00:00,282
28-01-19 23:00,275
28-01-19 22:00,275
28-01-19 21:00,258
28-01-19 20:00,213
28-01-19 19:00,199
28-01-19 18:00,198
28-01-19 17:00,193
28-01-19 16:00,190
28-01-19 15:00,191
28-01-19 14:00,191
28-01-19 13:00,189
28-01-19 12:00,190
28-01-19 11:00,196
28-01-19 10:00,198
28-01-19 09:00,195
28-01-19 08:00,197
28-01-19 07:00,206
28-01-19 06:00,211
28-01-19 05:00,242
28-01-19 04:00,283
28-01-19 03:00,224
28-01-19 02:00,197
28-01-19 01:00,196
28-01-19 00:00,188
27-01-19 23:00,186
27-01-19 22:00,188
27-01-19 21:00,192
27-01-19 20:00,189
27-01-19 19:00,185
27-01-19 18:00,185
27-01-19 17:00,189
27-01-19 16:00,189
27-01-19 15:00,189
27-01-19 14:00,194
27-01-19 13:00,191
27-01-19 12:00,194
27-01-19 11:00,188
27-01-19 10:00,190
27-01-19 09:00,191
27-01-19 08:00,189
27-01-19 07:00,192
27-01-19 06:00,195
27-01-19 05:00,191
27-01-19 04:00,193
27-01-19 03:00,197
27-01-19 02:00,200
27-01-19 01:00,203
27-01-19 00:00,201
26-01-19 23:00,204
26-01-19 22:00,206
26-01-19 21:00,216
26-01-19 20:00,226
26-01-19 19:00,236
26-01-19 18:00,236
26-01-19 17:00,241
26-01-19 16:00,243
26-01-19 15:00,227
26-01-19 14:00,220
26-01-19 13:00,215
26-01-19 12:00,214
26-01-19 11:00,217
26-01-19 10:00,224
26-01-19 09:00,226
26-01-19 08:00,229
26-01-19 07:00,223
26-01-19 06:00,210
26-01-19 05:00,206
26-01-19 04:00,207
26-01-19 03:00,195
26-01-19 02:00,190
26-01-19 01:00,196
26-01-19 00:00,207
25-01-19 23:00,210
25-01-19 22:00,211
25-01-19 21:00,203
25-01-19 20:00,208
25-01-19 19:00,205
25-01-19 18:00,200
25-01-19 17:00,223
25-01-19 16:00,212
25-01-19 15:00,221
25-01-19 14:00,205
25-01-19 13:00,213
25-01-19 12:00,202
25-01-19 11:00,211
25-01-19 10:00,215
25-01-19 09:00,209
25-01-19 08:00,275
25-01-19 07:00,12
25-01-19 06:00,16
25-01-19 05:00,27
25-01-19 04:00,39
25-01-19 03:00,46
25-01-19 02:00,43
25-01-19 01:00,56
25-01-19 00:00,45
24-01-19 23:00,42
24-01-19 22:00,53
24-01-19 21:00,48
24-01-19 20:00,43
24-01-19 19:00,33
24-01-19 18:00,34
24-01-19 17:00,40
