Datum Zeit,Carlsfeld FEUCHT
,PROZ
01-02-19 00:00,
31-01-19 23:00,90.9
31-01-19 22:00,90.8
31-01-19 21:00,91.0
31-01-19 20:00,91.6
31-01-19 19:00,89.0
31-01-19 18:00,89.1
31-01-19 17:00,85.6
31-01-19 16:00,81.9
31-01-19 15:00,81.9
31-01-19 14:00,78.5
31-01-19 13:00,78.9
31-01-19 12:00,81.5
31-01-19 11:00,83.3
31-01-19 10:00,86.0
31-01-19 09:00,89.5
31-01-19 08:00,91.0
31-01-19 07:00,91.0
31-01-19 06:00,89.5
31-01-19 05:00,89.3
31-01-19 04:00,89.1
31-01-19 03:00,90.1
31-01-19 02:00,91.5
31-01-19 01:00,92.0
31-01-19 00:00,91.7
30-01-19 23:00,91.9
30-01-19 22:00,91.0
30-01-19 21:00,90.7
30-01-19 20:00,91.8
30-01-19 19:00,91.9
30-01-19 18:00,91.5
30-01-19 17:00,89.1
30-01-19 16:00,88.6
30-01-19 15:00,86.5
30-01-19 14:00,83.7
30-01-19 13:00,84.3
30-01-19 12:00,84.2
30-01-19 11:00,86.3
30-01-19 10:00,86.1
30-01-19 09:00,87.4
30-01-19 08:00,87.1
30-01-19 07:00,82.9
30-01-19 06:00,81.5
30-01-19 05:00,83.5
30-01-19 04:00,86.1
30-01-19 03:00,90.5
30-01-19 02:00,94.1
30-01-19 01:00,94.2
30-01-19 00:00,94.1
29-01-19 23:00,93.0
29-01-19 22:00,93.8
29-01-19 21:00,93.4
29-01-19 20:00,92.3
29-01-19 19:00,92.2
29-01-19 18:00,92.5
29-01-19 17:00,92.6
29-01-19 16:00,88.0
29-01-19 15:00,88.9
29-01-19 14:00,89.6
29-01-19 13:00,90.3
29-01-19 12:00,90.3
29-01-19 11:00,90.9
29-01-19 10:00,90.8
29-01-19 09:00,92.8
29-01-19 08:00,93.1
29-01-19 07:00,93.8
29-01-19 06:00,93.7
29-01-19 05:00,92.6
29-01-19 04:00,92.9
29-01-19 03:00,93.2
29-01-19 02:00,93.9
29-01-19 01:00,94.3
29-01-19 00:00,96.8
28-01-19 23:00,97.2
28-01-19 22:00,95.0
28-01-19 21:00,94.8
28-01-19 20:00,94.5
28-01-19 19:00,93.3
28-01-19 18:00,93.6
28-01-19 17:00,93.2
28-01-19 16:00,93.4
28-01-19 15:00,92.9
28-01-19 14:00,93.0
28-01-19 13:00,92.6
28-01-19 12:00,92.5
28-01-19 11:00,92.9
28-01-19 10:00,92.9
28-01-19 09:00,93.0
28-01-19 08:00,92.8
28-01-19 07:00,91.3
28-01-19 06:00,92.1
28-01-19 05:00,94.1
28-01-19 04:00,96.2
28-01-19 03:00,96.9
28-01-19 02:00,98.3
28-01-19 01:00,98.2
28-01-19 00:00,97.5
27-01-19 23:00,96.5
27-01-19 22:00,97.0
27-01-19 21:00,97.7
27-01-19 20:00,98.6
27-01-19 19:00,98.8
27-01-19 18:00,97.9
27-01-19 17:00,98.0
27-01-19 16:00,98.5
27-01-19 15:00,99.0
27-01-19 14:00,98.3
27-01-19 13:00,97.6
27-01-19 12:00,97.1
27-01-19 11:00,96.9
27-01-19 10:00,97.0
27-01-19 09:00,98.5
27-01-19 08:00,98.8
27-01-19 07:00,98.5
27-01-19 06:00,98.5
27-01-19 05:00,98.7
27-01-19 04:00,98.0
27-01-19 03:00,97.4
27-01-19 02:00,98.0
27-01-19 01:00,98.0
27-01-19 00:00,98.5
26-01-19 23:00,99.2
26-01-19 22:00,99.4
26-01-19 21:00,99.1
26-01-19 20:00,99.0
26-01-19 19:00,99.5
26-01-19 18:00,98.1
26-01-19 17:00,97.1
26-01-19 16:00,97.4
26-01-19 15:00,97.1
26-01-19 14:00,97.0
26-01-19 13:00,97.2
26-01-19 12:00,94.4
26-01-19 11:00,94.0
26-01-19 10:00,94.2
26-01-19 09:00,93.6
26-01-19 08:00,93.0
26-01-19 07:00,92.1
26-01-19 06:00,91.7
26-01-19 05:00,90.8
26-01-19 04:00,91.1
26-01-19 03:00,91.9
26-01-19 02:00,92.0
26-01-19 01:00,92.1
26-01-19 00:00,93.7
25-01-19 23:00,94.0
25-01-19 22:00,91.0
25-01-19 21:00,89.4
25-01-19 20:00,89.7
25-01-19 19:00,89.2
25-01-19 18:00,89.8
25-01-19 17:00,89.7
25-01-19 16:00,90.9
25-01-19 15:00,91.0
25-01-19 14:00,90.9
25-01-19 13:00,90.8
25-01-19 12:00,91.7
25-01-19 11:00,92.6
25-01-19 10:00,92.9
25-01-19 09:00,93.2
25-01-19 08:00,93.9
25-01-19 07:00,93.7
25-01-19 06:00,93.7
25-01-19 05:00,93.9
25-01-19 04:00,93.2
25-01-19 03:00,92.6
25-01-19 02:00,92.0
25-01-19 01:00,92.9
25-01-19 00:00,92.8
24-01-19 23:00,92.3
24-01-19 22:00,93.4
24-01-19 21:00,93.9
24-01-19 20:00,94.8
24-01-19 19:00,94.6
24-01-19 18:00,93.7
24-01-19 17:00,93.1
24-01-19 16:00,91.6
24-01-19 15:00,89.5
24-01-19 14:00,87.8
24-01-19 13:00,89.5
24-01-19 12:00,90.5
24-01-19 11:00,91.8
24-01-19 10:00,92.9
24-01-19 09:00,92.8
24-01-19 08:00,93.2
24-01-19 07:00,93.0
