Datum Zeit,Borna WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,
31-01-19 04:00,
31-01-19 03:00,
31-01-19 02:00,
31-01-19 01:00,
31-01-19 00:00,
30-01-19 23:00,193
30-01-19 22:00,183
30-01-19 21:00,172
30-01-19 20:00,156
30-01-19 19:00,135
30-01-19 18:00,135
30-01-19 17:00,126
30-01-19 16:00,110
30-01-19 15:00,108
30-01-19 14:00,117
30-01-19 13:00,109
30-01-19 12:00,
30-01-19 11:00,111
30-01-19 10:00,86
30-01-19 09:00,79
30-01-19 08:00,80
30-01-19 07:00,73
30-01-19 06:00,73
30-01-19 05:00,92
30-01-19 04:00,128
30-01-19 03:00,128
30-01-19 02:00,126
30-01-19 01:00,111
30-01-19 00:00,139
29-01-19 23:00,127
29-01-19 22:00,134
29-01-19 21:00,138
29-01-19 20:00,149
29-01-19 19:00,146
29-01-19 18:00,153
29-01-19 17:00,202
29-01-19 16:00,239
29-01-19 15:00,255
29-01-19 14:00,258
29-01-19 13:00,256
29-01-19 12:00,249
29-01-19 11:00,247
29-01-19 10:00,258
29-01-19 09:00,254
29-01-19 08:00,251
29-01-19 07:00,246
29-01-19 06:00,262
29-01-19 05:00,264
29-01-19 04:00,280
29-01-19 03:00,272
29-01-19 02:00,278
29-01-19 01:00,280
29-01-19 00:00,268
28-01-19 23:00,264
28-01-19 22:00,264
28-01-19 21:00,256
28-01-19 20:00,241
28-01-19 19:00,217
28-01-19 18:00,210
28-01-19 17:00,211
28-01-19 16:00,213
28-01-19 15:00,206
28-01-19 14:00,208
28-01-19 13:00,207
28-01-19 12:00,203
28-01-19 11:00,206
28-01-19 10:00,205
28-01-19 09:00,199
28-01-19 08:00,209
28-01-19 07:00,201
28-01-19 06:00,205
28-01-19 05:00,231
28-01-19 04:00,257
28-01-19 03:00,253
28-01-19 02:00,229
28-01-19 01:00,204
28-01-19 00:00,202
27-01-19 23:00,204
27-01-19 22:00,207
27-01-19 21:00,213
27-01-19 20:00,201
27-01-19 19:00,203
27-01-19 18:00,198
27-01-19 17:00,201
27-01-19 16:00,202
27-01-19 15:00,204
27-01-19 14:00,206
27-01-19 13:00,199
27-01-19 12:00,205
27-01-19 11:00,202
27-01-19 10:00,200
27-01-19 09:00,200
27-01-19 08:00,204
27-01-19 07:00,203
27-01-19 06:00,204
27-01-19 05:00,204
27-01-19 04:00,202
27-01-19 03:00,200
27-01-19 02:00,201
27-01-19 01:00,204
27-01-19 00:00,204
26-01-19 23:00,207
26-01-19 22:00,200
26-01-19 21:00,203
26-01-19 20:00,203
26-01-19 19:00,213
26-01-19 18:00,213
26-01-19 17:00,242
26-01-19 16:00,237
26-01-19 15:00,203
26-01-19 14:00,215
26-01-19 13:00,213
26-01-19 12:00,201
26-01-19 11:00,216
26-01-19 10:00,218
26-01-19 09:00,232
26-01-19 08:00,224
26-01-19 07:00,219
26-01-19 06:00,214
26-01-19 05:00,208
26-01-19 04:00,212
26-01-19 03:00,212
26-01-19 02:00,208
26-01-19 01:00,200
26-01-19 00:00,200
25-01-19 23:00,209
25-01-19 22:00,206
25-01-19 21:00,206
25-01-19 20:00,203
25-01-19 19:00,216
25-01-19 18:00,215
25-01-19 17:00,221
25-01-19 16:00,201
25-01-19 15:00,207
25-01-19 14:00,210
25-01-19 13:00,208
25-01-19 12:00,202
25-01-19 11:00,197
25-01-19 10:00,216
25-01-19 09:00,294
25-01-19 08:00,253
25-01-19 07:00,135
25-01-19 06:00,36
25-01-19 05:00,11
25-01-19 04:00,335
25-01-19 03:00,4
25-01-19 02:00,5
25-01-19 01:00,9
25-01-19 00:00,4
24-01-19 23:00,13
24-01-19 22:00,27
24-01-19 21:00,32
24-01-19 20:00,47
24-01-19 19:00,47
24-01-19 18:00,44
24-01-19 17:00,47
24-01-19 16:00,52
24-01-19 15:00,55
24-01-19 14:00,52
