Datum Zeit,Zinnwald WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,
31-01-19 04:00,
31-01-19 03:00,
31-01-19 02:00,
31-01-19 01:00,
31-01-19 00:00,
30-01-19 23:00,
30-01-19 22:00,
30-01-19 21:00,
30-01-19 20:00,
30-01-19 19:00,
30-01-19 18:00,
30-01-19 17:00,163
30-01-19 16:00,162
30-01-19 15:00,163
30-01-19 14:00,157
30-01-19 13:00,162
30-01-19 12:00,164
30-01-19 11:00,159
30-01-19 10:00,156
30-01-19 09:00,156
30-01-19 08:00,155
30-01-19 07:00,156
30-01-19 06:00,159
30-01-19 05:00,160
30-01-19 04:00,162
30-01-19 03:00,162
30-01-19 02:00,159
30-01-19 01:00,153
30-01-19 00:00,158
29-01-19 23:00,169
29-01-19 22:00,169
29-01-19 21:00,176
29-01-19 20:00,191
29-01-19 19:00,226
29-01-19 18:00,237
29-01-19 17:00,242
29-01-19 16:00,273
29-01-19 15:00,277
29-01-19 14:00,286
29-01-19 13:00,282
29-01-19 12:00,279
29-01-19 11:00,297
29-01-19 10:00,297
29-01-19 09:00,308
29-01-19 08:00,312
29-01-19 07:00,305
29-01-19 06:00,298
29-01-19 05:00,287
29-01-19 04:00,299
29-01-19 03:00,296
29-01-19 02:00,285
29-01-19 01:00,281
29-01-19 00:00,282
28-01-19 23:00,271
28-01-19 22:00,258
28-01-19 21:00,222
28-01-19 20:00,206
28-01-19 19:00,204
28-01-19 18:00,203
28-01-19 17:00,208
28-01-19 16:00,207
28-01-19 15:00,202
28-01-19 14:00,208
28-01-19 13:00,205
28-01-19 12:00,198
28-01-19 11:00,201
28-01-19 10:00,234
28-01-19 09:00,240
28-01-19 08:00,338
28-01-19 07:00,272
28-01-19 06:00,273
28-01-19 05:00,269
28-01-19 04:00,216
28-01-19 03:00,202
28-01-19 02:00,193
28-01-19 01:00,193
28-01-19 00:00,191
27-01-19 23:00,193
27-01-19 22:00,198
27-01-19 21:00,198
27-01-19 20:00,192
27-01-19 19:00,200
27-01-19 18:00,196
27-01-19 17:00,200
27-01-19 16:00,193
27-01-19 15:00,192
27-01-19 14:00,192
27-01-19 13:00,192
27-01-19 12:00,194
27-01-19 11:00,191
27-01-19 10:00,191
27-01-19 09:00,190
27-01-19 08:00,192
27-01-19 07:00,193
27-01-19 06:00,200
27-01-19 05:00,199
27-01-19 04:00,204
27-01-19 03:00,209
27-01-19 02:00,228
27-01-19 01:00,227
27-01-19 00:00,260
26-01-19 23:00,276
26-01-19 22:00,269
26-01-19 21:00,266
26-01-19 20:00,274
26-01-19 19:00,286
26-01-19 18:00,290
26-01-19 17:00,291
26-01-19 16:00,291
26-01-19 15:00,290
26-01-19 14:00,282
26-01-19 13:00,273
26-01-19 12:00,272
26-01-19 11:00,277
26-01-19 10:00,287
26-01-19 09:00,288
26-01-19 08:00,279
26-01-19 07:00,267
26-01-19 06:00,249
26-01-19 05:00,220
26-01-19 04:00,203
26-01-19 03:00,202
26-01-19 02:00,211
26-01-19 01:00,241
26-01-19 00:00,264
25-01-19 23:00,260
25-01-19 22:00,247
25-01-19 21:00,244
25-01-19 20:00,237
25-01-19 19:00,229
25-01-19 18:00,224
25-01-19 17:00,244
25-01-19 16:00,265
25-01-19 15:00,273
25-01-19 14:00,263
25-01-19 13:00,281
25-01-19 12:00,293
25-01-19 11:00,297
25-01-19 10:00,312
25-01-19 09:00,319
25-01-19 08:00,312
25-01-19 07:00,306
25-01-19 06:00,323
25-01-19 05:00,305
25-01-19 04:00,294
25-01-19 03:00,291
25-01-19 02:00,284
25-01-19 01:00,286
25-01-19 00:00,285
24-01-19 23:00,285
24-01-19 22:00,296
24-01-19 21:00,8
24-01-19 20:00,11
24-01-19 19:00,8
24-01-19 18:00,11
24-01-19 17:00,29
24-01-19 16:00,22
24-01-19 15:00,42
24-01-19 14:00,43
