Datum Zeit,Niesky WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,158
31-01-19 16:00,165
31-01-19 15:00,180
31-01-19 14:00,183
31-01-19 13:00,163
31-01-19 12:00,146
31-01-19 11:00,153
31-01-19 10:00,185
31-01-19 09:00,166
31-01-19 08:00,194
31-01-19 07:00,180
31-01-19 06:00,179
31-01-19 05:00,182
31-01-19 04:00,197
31-01-19 03:00,196
31-01-19 02:00,197
31-01-19 01:00,191
31-01-19 00:00,169
30-01-19 23:00,163
30-01-19 22:00,152
30-01-19 21:00,136
30-01-19 20:00,96
30-01-19 19:00,108
30-01-19 18:00,112
30-01-19 17:00,115
30-01-19 16:00,114
30-01-19 15:00,111
30-01-19 14:00,108
30-01-19 13:00,115
30-01-19 12:00,106
30-01-19 11:00,117
30-01-19 10:00,111
30-01-19 09:00,105
30-01-19 08:00,127
30-01-19 07:00,134
30-01-19 06:00,113
30-01-19 05:00,133
30-01-19 04:00,127
30-01-19 03:00,120
30-01-19 02:00,115
30-01-19 01:00,132
30-01-19 00:00,132
29-01-19 23:00,130
29-01-19 22:00,125
29-01-19 21:00,137
29-01-19 20:00,172
29-01-19 19:00,201
29-01-19 18:00,230
29-01-19 17:00,245
29-01-19 16:00,257
29-01-19 15:00,267
29-01-19 14:00,263
29-01-19 13:00,248
29-01-19 12:00,257
29-01-19 11:00,272
29-01-19 10:00,278
29-01-19 09:00,272
29-01-19 08:00,263
29-01-19 07:00,255
29-01-19 06:00,256
29-01-19 05:00,256
29-01-19 04:00,262
29-01-19 03:00,257
29-01-19 02:00,254
29-01-19 01:00,248
29-01-19 00:00,242
28-01-19 23:00,222
28-01-19 22:00,198
28-01-19 21:00,188
28-01-19 20:00,182
28-01-19 19:00,175
28-01-19 18:00,180
28-01-19 17:00,171
28-01-19 16:00,196
28-01-19 15:00,204
28-01-19 14:00,202
28-01-19 13:00,202
28-01-19 12:00,205
28-01-19 11:00,195
28-01-19 10:00,175
28-01-19 09:00,185
28-01-19 08:00,258
28-01-19 07:00,259
28-01-19 06:00,240
28-01-19 05:00,200
28-01-19 04:00,194
28-01-19 03:00,186
28-01-19 02:00,191
28-01-19 01:00,193
28-01-19 00:00,192
27-01-19 23:00,193
27-01-19 22:00,191
27-01-19 21:00,181
27-01-19 20:00,181
27-01-19 19:00,188
27-01-19 18:00,178
27-01-19 17:00,181
27-01-19 16:00,189
27-01-19 15:00,198
27-01-19 14:00,198
27-01-19 13:00,200
27-01-19 12:00,196
27-01-19 11:00,187
27-01-19 10:00,183
27-01-19 09:00,186
27-01-19 08:00,190
27-01-19 07:00,187
27-01-19 06:00,191
27-01-19 05:00,191
27-01-19 04:00,191
27-01-19 03:00,200
27-01-19 02:00,193
27-01-19 01:00,236
27-01-19 00:00,250
26-01-19 23:00,247
26-01-19 22:00,246
26-01-19 21:00,247
26-01-19 20:00,232
26-01-19 19:00,183
26-01-19 18:00,152
26-01-19 17:00,211
26-01-19 16:00,249
26-01-19 15:00,252
26-01-19 14:00,258
26-01-19 13:00,260
26-01-19 12:00,258
26-01-19 11:00,254
26-01-19 10:00,245
26-01-19 09:00,226
26-01-19 08:00,203
26-01-19 07:00,194
26-01-19 06:00,191
26-01-19 05:00,187
26-01-19 04:00,181
26-01-19 03:00,190
26-01-19 02:00,192
26-01-19 01:00,195
26-01-19 00:00,203
25-01-19 23:00,223
25-01-19 22:00,220
25-01-19 21:00,212
25-01-19 20:00,198
25-01-19 19:00,197
25-01-19 18:00,189
25-01-19 17:00,246
25-01-19 16:00,279
25-01-19 15:00,285
25-01-19 14:00,293
25-01-19 13:00,304
25-01-19 12:00,308
25-01-19 11:00,292
25-01-19 10:00,299
25-01-19 09:00,310
25-01-19 08:00,314
25-01-19 07:00,308
25-01-19 06:00,308
25-01-19 05:00,323
25-01-19 04:00,336
25-01-19 03:00,4
25-01-19 02:00,24
25-01-19 01:00,32
25-01-19 00:00,33
24-01-19 23:00,33
24-01-19 22:00,50
24-01-19 21:00,58
24-01-19 20:00,49
24-01-19 19:00,44
24-01-19 18:00,49
24-01-19 17:00,87
24-01-19 16:00,77
