Datum Zeit,Schkeuditz FEUCHT
,PROZ
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,66.0
31-01-19 10:00,69.0
31-01-19 09:00,74.6
31-01-19 08:00,77.1
31-01-19 07:00,78.8
31-01-19 06:00,79.3
31-01-19 05:00,79.5
31-01-19 04:00,77.0
31-01-19 03:00,75.9
31-01-19 02:00,74.0
31-01-19 01:00,73.5
31-01-19 00:00,72.2
30-01-19 23:00,71.0
30-01-19 22:00,70.5
30-01-19 21:00,69.8
30-01-19 20:00,69.9
30-01-19 19:00,71.5
30-01-19 18:00,72.1
30-01-19 17:00,70.2
30-01-19 16:00,67.7
30-01-19 15:00,65.8
30-01-19 14:00,63.3
30-01-19 13:00,65.7
30-01-19 12:00,70.8
30-01-19 11:00,76.0
30-01-19 10:00,80.5
30-01-19 09:00,84.9
30-01-19 08:00,86.6
30-01-19 07:00,86.5
30-01-19 06:00,88.4
30-01-19 05:00,88.6
30-01-19 04:00,88.8
30-01-19 03:00,88.7
30-01-19 02:00,90.1
30-01-19 01:00,91.7
30-01-19 00:00,91.9
29-01-19 23:00,91.3
29-01-19 22:00,90.8
29-01-19 21:00,89.7
29-01-19 20:00,87.9
29-01-19 19:00,83.0
29-01-19 18:00,76.8
29-01-19 17:00,72.6
29-01-19 16:00,72.5
29-01-19 15:00,74.8
29-01-19 14:00,75.9
29-01-19 13:00,78.5
29-01-19 12:00,81.4
29-01-19 11:00,82.1
29-01-19 10:00,83.4
29-01-19 09:00,86.0
29-01-19 08:00,85.7
29-01-19 07:00,85.8
29-01-19 06:00,84.3
29-01-19 05:00,92.2
29-01-19 04:00,97.5
29-01-19 03:00,95.1
29-01-19 02:00,86.6
29-01-19 01:00,87.7
29-01-19 00:00,91.2
28-01-19 23:00,95.6
28-01-19 22:00,95.4
28-01-19 21:00,94.9
28-01-19 20:00,94.5
28-01-19 19:00,94.1
28-01-19 18:00,91.0
28-01-19 17:00,88.7
28-01-19 16:00,87.0
28-01-19 15:00,81.4
28-01-19 14:00,68.7
28-01-19 13:00,69.8
28-01-19 12:00,70.0
28-01-19 11:00,77.1
28-01-19 10:00,80.0
28-01-19 09:00,82.9
28-01-19 08:00,84.8
28-01-19 07:00,83.6
28-01-19 06:00,86.2
28-01-19 05:00,88.9
28-01-19 04:00,92.7
28-01-19 03:00,94.7
28-01-19 02:00,87.9
28-01-19 01:00,84.9
28-01-19 00:00,84.7
27-01-19 23:00,84.2
27-01-19 22:00,84.7
27-01-19 21:00,83.8
27-01-19 20:00,82.7
27-01-19 19:00,79.7
27-01-19 18:00,78.5
27-01-19 17:00,75.1
27-01-19 16:00,75.7
27-01-19 15:00,75.6
27-01-19 14:00,76.0
27-01-19 13:00,78.1
27-01-19 12:00,81.6
27-01-19 11:00,86.0
27-01-19 10:00,84.4
27-01-19 09:00,84.0
27-01-19 08:00,84.5
27-01-19 07:00,84.9
27-01-19 06:00,85.5
27-01-19 05:00,86.4
27-01-19 04:00,87.2
27-01-19 03:00,86.7
27-01-19 02:00,87.1
27-01-19 01:00,87.2
27-01-19 00:00,86.2
26-01-19 23:00,88.0
26-01-19 22:00,86.0
26-01-19 21:00,87.8
26-01-19 20:00,92.0
26-01-19 19:00,95.0
26-01-19 18:00,95.1
26-01-19 17:00,94.6
26-01-19 16:00,95.0
26-01-19 15:00,95.1
26-01-19 14:00,95.2
26-01-19 13:00,96.8
26-01-19 12:00,96.5
26-01-19 11:00,96.2
26-01-19 10:00,95.7
26-01-19 09:00,95.3
26-01-19 08:00,94.7
26-01-19 07:00,97.2
26-01-19 06:00,98.5
26-01-19 05:00,99.0
26-01-19 04:00,98.0
26-01-19 03:00,91.8
26-01-19 02:00,87.9
26-01-19 01:00,85.3
26-01-19 00:00,78.9
25-01-19 23:00,76.7
25-01-19 22:00,77.0
25-01-19 21:00,77.3
25-01-19 20:00,78.8
25-01-19 19:00,77.8
25-01-19 18:00,77.4
25-01-19 17:00,77.6
25-01-19 16:00,79.4
25-01-19 15:00,83.3
25-01-19 14:00,80.8
25-01-19 13:00,79.6
25-01-19 12:00,82.8
25-01-19 11:00,87.9
25-01-19 10:00,87.5
25-01-19 09:00,87.2
25-01-19 08:00,86.6
25-01-19 07:00,87.9
25-01-19 06:00,87.6
25-01-19 05:00,88.1
25-01-19 04:00,87.2
25-01-19 03:00,87.0
25-01-19 02:00,85.7
25-01-19 01:00,84.8
25-01-19 00:00,83.9
24-01-19 23:00,82.9
24-01-19 22:00,82.3
24-01-19 21:00,82.4
24-01-19 20:00,82.5
24-01-19 19:00,82.4
24-01-19 18:00,83.7
24-01-19 17:00,81.4
24-01-19 16:00,80.7
24-01-19 15:00,81.5
24-01-19 14:00,81.2
24-01-19 13:00,81.9
24-01-19 12:00,81.9
24-01-19 11:00,82.2
24-01-19 10:00,80.3
24-01-19 09:00,82.3
24-01-19 08:00,83.1
24-01-19 07:00,84.6
24-01-19 06:00,87.0
24-01-19 05:00,86.8
