Datum Zeit,Leipzig-Mitte FEUCHT
,PROZ
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,
31-01-19 04:00,
31-01-19 03:00,
31-01-19 02:00,
31-01-19 01:00,
31-01-19 00:00,
30-01-19 23:00,
30-01-19 22:00,
30-01-19 21:00,
30-01-19 20:00,
30-01-19 19:00,
30-01-19 18:00,
30-01-19 17:00,68.4
30-01-19 16:00,65.9
30-01-19 15:00,64.4
30-01-19 14:00,60.0
30-01-19 13:00,63.3
30-01-19 12:00,67.8
30-01-19 11:00,73.9
30-01-19 10:00,80.0
30-01-19 09:00,84.1
30-01-19 08:00,85.4
30-01-19 07:00,85.1
30-01-19 06:00,85.9
30-01-19 05:00,86.2
30-01-19 04:00,85.3
30-01-19 03:00,85.6
30-01-19 02:00,83.9
30-01-19 01:00,83.5
30-01-19 00:00,84.0
29-01-19 23:00,85.2
29-01-19 22:00,85.1
29-01-19 21:00,83.6
29-01-19 20:00,83.1
29-01-19 19:00,79.6
29-01-19 18:00,73.5
29-01-19 17:00,74.5
29-01-19 16:00,74.9
29-01-19 15:00,74.7
29-01-19 14:00,76.6
29-01-19 13:00,78.7
29-01-19 12:00,81.2
29-01-19 11:00,82.0
29-01-19 10:00,84.7
29-01-19 09:00,87.0
29-01-19 08:00,88.3
29-01-19 07:00,90.1
29-01-19 06:00,93.4
29-01-19 05:00,97.7
29-01-19 04:00,98.5
29-01-19 03:00,94.7
29-01-19 02:00,86.0
29-01-19 01:00,87.6
29-01-19 00:00,93.6
28-01-19 23:00,94.1
28-01-19 22:00,93.8
28-01-19 21:00,92.2
28-01-19 20:00,91.3
28-01-19 19:00,91.1
28-01-19 18:00,85.6
28-01-19 17:00,83.0
28-01-19 16:00,83.0
28-01-19 15:00,75.8
28-01-19 14:00,65.8
28-01-19 13:00,66.6
28-01-19 12:00,69.5
28-01-19 11:00,73.7
28-01-19 10:00,76.9
28-01-19 09:00,80.4
28-01-19 08:00,81.5
28-01-19 07:00,83.4
28-01-19 06:00,84.9
28-01-19 05:00,86.4
28-01-19 04:00,90.5
28-01-19 03:00,92.1
28-01-19 02:00,84.8
28-01-19 01:00,81.2
28-01-19 00:00,80.5
27-01-19 23:00,80.1
27-01-19 22:00,80.9
27-01-19 21:00,80.7
27-01-19 20:00,80.0
27-01-19 19:00,77.5
27-01-19 18:00,75.0
27-01-19 17:00,73.9
27-01-19 16:00,72.8
27-01-19 15:00,71.9
27-01-19 14:00,70.9
27-01-19 13:00,74.9
27-01-19 12:00,79.9
27-01-19 11:00,82.0
27-01-19 10:00,80.9
27-01-19 09:00,81.4
27-01-19 08:00,81.4
27-01-19 07:00,81.9
27-01-19 06:00,82.4
27-01-19 05:00,82.7
27-01-19 04:00,83.1
27-01-19 03:00,83.2
27-01-19 02:00,83.4
27-01-19 01:00,84.0
27-01-19 00:00,84.6
26-01-19 23:00,85.2
26-01-19 22:00,85.9
26-01-19 21:00,85.9
26-01-19 20:00,89.2
26-01-19 19:00,91.5
26-01-19 18:00,92.6
26-01-19 17:00,92.4
26-01-19 16:00,93.0
26-01-19 15:00,92.7
26-01-19 14:00,93.4
26-01-19 13:00,94.2
26-01-19 12:00,94.5
26-01-19 11:00,94.5
26-01-19 10:00,94.8
26-01-19 09:00,96.4
26-01-19 08:00,97.1
26-01-19 07:00,98.3
26-01-19 06:00,98.3
26-01-19 05:00,98.2
26-01-19 04:00,97.2
26-01-19 03:00,87.2
26-01-19 02:00,83.3
26-01-19 01:00,79.5
26-01-19 00:00,73.8
25-01-19 23:00,72.3
25-01-19 22:00,71.6
25-01-19 21:00,70.9
25-01-19 20:00,74.8
25-01-19 19:00,76.6
25-01-19 18:00,76.2
25-01-19 17:00,73.7
25-01-19 16:00,75.4
25-01-19 15:00,78.7
25-01-19 14:00,77.5
25-01-19 13:00,75.8
25-01-19 12:00,79.0
25-01-19 11:00,81.1
25-01-19 10:00,83.7
25-01-19 09:00,86.2
25-01-19 08:00,85.7
25-01-19 07:00,86.2
25-01-19 06:00,86.5
25-01-19 05:00,86.5
25-01-19 04:00,86.1
25-01-19 03:00,86.3
25-01-19 02:00,85.4
25-01-19 01:00,84.3
25-01-19 00:00,83.2
24-01-19 23:00,81.7
24-01-19 22:00,80.4
24-01-19 21:00,80.2
24-01-19 20:00,79.3
24-01-19 19:00,79.4
24-01-19 18:00,79.1
24-01-19 17:00,76.3
24-01-19 16:00,76.8
24-01-19 15:00,77.5
24-01-19 14:00,77.4
24-01-19 13:00,78.3
24-01-19 12:00,78.7
24-01-19 11:00,78.4
24-01-19 10:00,77.1
24-01-19 09:00,78.1
24-01-19 08:00,79.4
24-01-19 07:00,80.7
24-01-19 06:00,82.7
24-01-19 05:00,84.7
24-01-19 04:00,83.9
24-01-19 03:00,83.8
24-01-19 02:00,82.0
24-01-19 01:00,79.1
