Datum Zeit,Plauen-Sued WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,192
31-01-19 04:00,199
31-01-19 03:00,189
31-01-19 02:00,190
31-01-19 01:00,189
31-01-19 00:00,190
30-01-19 23:00,191
30-01-19 22:00,170
30-01-19 21:00,171
30-01-19 20:00,170
30-01-19 19:00,171
30-01-19 18:00,170
30-01-19 17:00,174
30-01-19 16:00,174
30-01-19 15:00,184
30-01-19 14:00,175
30-01-19 13:00,175
30-01-19 12:00,173
30-01-19 11:00,167
30-01-19 10:00,173
30-01-19 09:00,182
30-01-19 08:00,184
30-01-19 07:00,160
30-01-19 06:00,320
30-01-19 05:00,232
30-01-19 04:00,264
30-01-19 03:00,285
30-01-19 02:00,296
30-01-19 01:00,287
30-01-19 00:00,284
29-01-19 23:00,258
29-01-19 22:00,174
29-01-19 21:00,255
29-01-19 20:00,302
29-01-19 19:00,178
29-01-19 18:00,165
29-01-19 17:00,189
29-01-19 16:00,212
29-01-19 15:00,216
29-01-19 14:00,211
29-01-19 13:00,220
29-01-19 12:00,215
29-01-19 11:00,210
29-01-19 10:00,199
29-01-19 09:00,185
29-01-19 08:00,185
29-01-19 07:00,273
29-01-19 06:00,281
29-01-19 05:00,293
29-01-19 04:00,293
29-01-19 03:00,285
29-01-19 02:00,272
29-01-19 01:00,267
29-01-19 00:00,286
28-01-19 23:00,288
28-01-19 22:00,262
28-01-19 21:00,214
28-01-19 20:00,214
28-01-19 19:00,202
28-01-19 18:00,196
28-01-19 17:00,192
28-01-19 16:00,191
28-01-19 15:00,193
28-01-19 14:00,191
28-01-19 13:00,190
28-01-19 12:00,193
28-01-19 11:00,193
28-01-19 10:00,190
28-01-19 09:00,200
28-01-19 08:00,209
28-01-19 07:00,204
28-01-19 06:00,198
28-01-19 05:00,212
28-01-19 04:00,211
28-01-19 03:00,198
28-01-19 02:00,217
28-01-19 01:00,189
28-01-19 00:00,187
27-01-19 23:00,177
27-01-19 22:00,179
27-01-19 21:00,183
27-01-19 20:00,182
27-01-19 19:00,181
27-01-19 18:00,181
27-01-19 17:00,177
27-01-19 16:00,186
27-01-19 15:00,190
27-01-19 14:00,180
27-01-19 13:00,179
27-01-19 12:00,189
27-01-19 11:00,191
27-01-19 10:00,184
27-01-19 09:00,184
27-01-19 08:00,187
27-01-19 07:00,196
27-01-19 06:00,193
27-01-19 05:00,188
27-01-19 04:00,177
27-01-19 03:00,179
27-01-19 02:00,180
27-01-19 01:00,189
27-01-19 00:00,196
26-01-19 23:00,204
26-01-19 22:00,205
26-01-19 21:00,204
26-01-19 20:00,210
26-01-19 19:00,209
26-01-19 18:00,208
26-01-19 17:00,204
26-01-19 16:00,203
26-01-19 15:00,209
26-01-19 14:00,212
26-01-19 13:00,212
26-01-19 12:00,212
26-01-19 11:00,205
26-01-19 10:00,207
26-01-19 09:00,207
26-01-19 08:00,206
26-01-19 07:00,205
26-01-19 06:00,214
26-01-19 05:00,201
26-01-19 04:00,201
26-01-19 03:00,195
26-01-19 02:00,194
26-01-19 01:00,196
26-01-19 00:00,194
25-01-19 23:00,185
25-01-19 22:00,184
25-01-19 21:00,189
25-01-19 20:00,193
25-01-19 19:00,198
25-01-19 18:00,208
25-01-19 17:00,210
25-01-19 16:00,218
25-01-19 15:00,212
25-01-19 14:00,223
25-01-19 13:00,219
25-01-19 12:00,230
25-01-19 11:00,273
25-01-19 10:00,179
25-01-19 09:00,208
25-01-19 08:00,4
25-01-19 07:00,41
25-01-19 06:00,20
25-01-19 05:00,15
25-01-19 04:00,359
25-01-19 03:00,288
25-01-19 02:00,347
25-01-19 01:00,43
25-01-19 00:00,50
24-01-19 23:00,42
24-01-19 22:00,68
24-01-19 21:00,290
24-01-19 20:00,346
24-01-19 19:00,35
24-01-19 18:00,32
24-01-19 17:00,34
24-01-19 16:00,30
24-01-19 15:00,12
