Datum Zeit,Annaberg-Buchholz WINDRI
,GRAD
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,195
31-01-19 04:00,195
31-01-19 03:00,195
31-01-19 02:00,194
31-01-19 01:00,193
31-01-19 00:00,192
30-01-19 23:00,192
30-01-19 22:00,195
30-01-19 21:00,191
30-01-19 20:00,197
30-01-19 19:00,204
30-01-19 18:00,204
30-01-19 17:00,200
30-01-19 16:00,198
30-01-19 15:00,191
30-01-19 14:00,195
30-01-19 13:00,197
30-01-19 12:00,199
30-01-19 11:00,198
30-01-19 10:00,208
30-01-19 09:00,203
30-01-19 08:00,199
30-01-19 07:00,183
30-01-19 06:00,183
30-01-19 05:00,196
30-01-19 04:00,196
30-01-19 03:00,197
30-01-19 02:00,200
30-01-19 01:00,187
30-01-19 00:00,174
29-01-19 23:00,173
29-01-19 22:00,178
29-01-19 21:00,179
29-01-19 20:00,176
29-01-19 19:00,185
29-01-19 18:00,185
29-01-19 17:00,198
29-01-19 16:00,202
29-01-19 15:00,200
29-01-19 14:00,195
29-01-19 13:00,196
29-01-19 12:00,191
29-01-19 11:00,191
29-01-19 10:00,191
29-01-19 09:00,176
29-01-19 08:00,15
29-01-19 07:00,34
29-01-19 06:00,24
29-01-19 05:00,32
29-01-19 04:00,22
29-01-19 03:00,8
29-01-19 02:00,62
29-01-19 01:00,353
29-01-19 00:00,354
28-01-19 23:00,28
28-01-19 22:00,176
28-01-19 21:00,189
28-01-19 20:00,194
28-01-19 19:00,189
28-01-19 18:00,197
28-01-19 17:00,197
28-01-19 16:00,195
28-01-19 15:00,198
28-01-19 14:00,201
28-01-19 13:00,200
28-01-19 12:00,201
28-01-19 11:00,200
28-01-19 10:00,193
28-01-19 09:00,194
28-01-19 08:00,190
28-01-19 07:00,187
28-01-19 06:00,186
28-01-19 05:00,144
28-01-19 04:00,106
28-01-19 03:00,215
28-01-19 02:00,192
28-01-19 01:00,193
28-01-19 00:00,193
27-01-19 23:00,190
27-01-19 22:00,190
27-01-19 21:00,196
27-01-19 20:00,191
27-01-19 19:00,196
27-01-19 18:00,192
27-01-19 17:00,192
27-01-19 16:00,194
27-01-19 15:00,194
27-01-19 14:00,200
27-01-19 13:00,199
27-01-19 12:00,196
27-01-19 11:00,195
27-01-19 10:00,189
27-01-19 09:00,188
27-01-19 08:00,187
27-01-19 07:00,192
27-01-19 06:00,190
27-01-19 05:00,191
27-01-19 04:00,190
27-01-19 03:00,192
27-01-19 02:00,182
27-01-19 01:00,187
27-01-19 00:00,188
26-01-19 23:00,195
26-01-19 22:00,186
26-01-19 21:00,187
26-01-19 20:00,179
26-01-19 19:00,181
26-01-19 18:00,174
26-01-19 17:00,180
26-01-19 16:00,190
26-01-19 15:00,183
26-01-19 14:00,186
26-01-19 13:00,181
26-01-19 12:00,174
26-01-19 11:00,185
26-01-19 10:00,188
26-01-19 09:00,186
26-01-19 08:00,190
26-01-19 07:00,187
26-01-19 06:00,192
26-01-19 05:00,196
26-01-19 04:00,198
26-01-19 03:00,202
26-01-19 02:00,195
26-01-19 01:00,194
26-01-19 00:00,188
25-01-19 23:00,190
25-01-19 22:00,188
25-01-19 21:00,182
25-01-19 20:00,180
25-01-19 19:00,194
25-01-19 18:00,194
25-01-19 17:00,207
25-01-19 16:00,188
25-01-19 15:00,156
25-01-19 14:00,197
25-01-19 13:00,211
25-01-19 12:00,289
25-01-19 11:00,335
25-01-19 10:00,329
25-01-19 09:00,345
25-01-19 08:00,316
25-01-19 07:00,22
25-01-19 06:00,33
25-01-19 05:00,5
25-01-19 04:00,358
25-01-19 03:00,259
25-01-19 02:00,218
25-01-19 01:00,272
25-01-19 00:00,339
24-01-19 23:00,20
24-01-19 22:00,356
24-01-19 21:00,331
24-01-19 20:00,359
24-01-19 19:00,24
24-01-19 18:00,25
24-01-19 17:00,20
24-01-19 16:00,22
