Datum Zeit,Dresden-Winckelmannstr. WINDRI
,GRAD
01-02-19 00:00,166
31-01-19 23:00,166
31-01-19 22:00,184
31-01-19 21:00,195
31-01-19 20:00,165
31-01-19 19:00,181
31-01-19 18:00,172
31-01-19 17:00,168
31-01-19 16:00,159
31-01-19 15:00,111
31-01-19 14:00,101
31-01-19 13:00,139
31-01-19 12:00,125
31-01-19 11:00,113
31-01-19 10:00,144
31-01-19 09:00,169
31-01-19 08:00,169
31-01-19 07:00,159
31-01-19 06:00,149
31-01-19 05:00,171
31-01-19 04:00,152
31-01-19 03:00,145
31-01-19 02:00,156
31-01-19 01:00,98
31-01-19 00:00,137
30-01-19 23:00,166
30-01-19 22:00,164
30-01-19 21:00,176
30-01-19 20:00,174
30-01-19 19:00,176
30-01-19 18:00,179
30-01-19 17:00,167
30-01-19 16:00,167
30-01-19 15:00,167
30-01-19 14:00,164
30-01-19 13:00,168
30-01-19 12:00,162
30-01-19 11:00,145
30-01-19 10:00,133
30-01-19 09:00,166
30-01-19 08:00,181
30-01-19 07:00,188
30-01-19 06:00,191
30-01-19 05:00,184
30-01-19 04:00,187
30-01-19 03:00,183
30-01-19 02:00,173
30-01-19 01:00,165
30-01-19 00:00,171
29-01-19 23:00,170
29-01-19 22:00,174
29-01-19 21:00,143
29-01-19 20:00,151
29-01-19 19:00,145
29-01-19 18:00,102
29-01-19 17:00,209
29-01-19 16:00,247
29-01-19 15:00,231
29-01-19 14:00,226
29-01-19 13:00,233
29-01-19 12:00,228
29-01-19 11:00,234
29-01-19 10:00,246
29-01-19 09:00,236
29-01-19 08:00,264
29-01-19 07:00,255
29-01-19 06:00,269
29-01-19 05:00,269
29-01-19 04:00,267
29-01-19 03:00,283
29-01-19 02:00,282
29-01-19 01:00,262
29-01-19 00:00,246
28-01-19 23:00,236
28-01-19 22:00,242
28-01-19 21:00,208
28-01-19 20:00,221
28-01-19 19:00,182
28-01-19 18:00,165
28-01-19 17:00,173
28-01-19 16:00,189
28-01-19 15:00,191
28-01-19 14:00,191
28-01-19 13:00,176
28-01-19 12:00,191
28-01-19 11:00,207
28-01-19 10:00,213
28-01-19 09:00,207
28-01-19 08:00,208
28-01-19 07:00,222
28-01-19 06:00,233
28-01-19 05:00,232
28-01-19 04:00,222
28-01-19 03:00,148
28-01-19 02:00,155
28-01-19 01:00,121
28-01-19 00:00,153
27-01-19 23:00,173
27-01-19 22:00,146
27-01-19 21:00,121
27-01-19 20:00,142
27-01-19 19:00,143
27-01-19 18:00,179
27-01-19 17:00,186
27-01-19 16:00,184
27-01-19 15:00,168
27-01-19 14:00,179
27-01-19 13:00,186
27-01-19 12:00,183
27-01-19 11:00,172
27-01-19 10:00,152
27-01-19 09:00,163
27-01-19 08:00,140
27-01-19 07:00,137
27-01-19 06:00,145
27-01-19 05:00,102
27-01-19 04:00,155
27-01-19 03:00,186
27-01-19 02:00,186
27-01-19 01:00,143
27-01-19 00:00,350
26-01-19 23:00,223
26-01-19 22:00,215
26-01-19 21:00,225
26-01-19 20:00,231
