Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
31-10-01,18
30-10-01,24
29-10-01,13
28-10-01,10
27-10-01,20
26-10-01,39
25-10-01,22
24-10-01,32
23-10-01,38
22-10-01,
21-10-01,22
20-10-01,51
19-10-01,70
18-10-01,67
17-10-01,53
16-10-01,75
15-10-01,69
14-10-01,63
13-10-01,33
12-10-01,39
11-10-01,24
10-10-01,22
09-10-01,17
08-10-01,35
07-10-01,21
06-10-01,32
05-10-01,35
04-10-01,24
03-10-01,21
02-10-01,21
01-10-01,18

