Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-01-14,42.16
30-01-14,43.15
29-01-14,52.50
28-01-14,26.23
27-01-14,23.34
26-01-14,54.95
25-01-14,66.07
24-01-14,36.53
23-01-14,50.84
22-01-14,34.01
21-01-14,11.65
20-01-14,12.01
19-01-14,22.34
18-01-14,10.45
17-01-14,16.24
16-01-14,13.66
15-01-14,17.03
14-01-14,18.60
13-01-14,17.29
12-01-14,7.92
11-01-14,7.73
10-01-14,6.01
09-01-14,9.23
08-01-14,9.27
07-01-14,8.90
06-01-14,7.47
05-01-14,7.73
04-01-14,9.04
03-01-14,9.07
02-01-14,14.58
01-01-14,32.61

