Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-14,30.71
30-01-14,43.54
29-01-14,55.81
28-01-14,45.07
27-01-14,43.88
26-01-14,50.63
25-01-14,51.44
24-01-14,43.96
23-01-14,36.12
22-01-14,39.71
21-01-14,14.84
20-01-14,12.05
19-01-14,24.38
18-01-14,19.07
17-01-14,34.04
16-01-14,21.31
15-01-14,21.28
14-01-14,34.89
13-01-14,19.40
12-01-14,6.08
11-01-14,5.41
10-01-14,4.56
09-01-14,9.75
08-01-14,10.48
07-01-14,11.03
06-01-14,9.00
05-01-14,12.72
04-01-14,14.15
03-01-14,21.90
02-01-14,27.42
01-01-14,24.61

