Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-01-14,30.14
30-01-14,44.95
29-01-14,55.54
28-01-14,44.91
27-01-14,41.34
26-01-14,49.78
25-01-14,52.96
24-01-14,44.71
23-01-14,35.17
22-01-14,39.57
21-01-14,15.12
20-01-14,14.58
19-01-14,23.18
18-01-14,17.47
17-01-14,33.44
16-01-14,20.91
15-01-14,24.09
14-01-14,36.63
13-01-14,19.34
12-01-14,6.03
11-01-14,5.92
10-01-14,6.19
09-01-14,12.08
08-01-14,12.60
07-01-14,12.60
06-01-14,9.24
05-01-14,12.77
04-01-14,13.76
03-01-14,21.00
02-01-14,25.33
01-01-14,24.22

