Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-14,68.50
30-01-14,50.72
29-01-14,46.67
28-01-14,24.64
27-01-14,13.84
26-01-14,49.30
25-01-14,58.05
24-01-14,47.37
23-01-14,39.14
22-01-14,36.40
21-01-14,13.24
20-01-14,18.21
19-01-14,26.35
18-01-14,12.91
17-01-14,10.24
16-01-14,13.86
15-01-14,18.88
14-01-14,22.04
13-01-14,15.36
12-01-14,6.69
11-01-14,5.88
10-01-14,4.44
09-01-14,6.35
08-01-14,5.81
07-01-14,5.95
06-01-14,4.30
05-01-14,7.58
04-01-14,6.94
03-01-14,6.67
02-01-14,11.47
01-01-14,36.94

