Datum Zeit,Schkeuditz O3
,µg/m³
01-02-14 00:00,19
31-01-14 23:00,4
31-01-14 22:00,6
31-01-14 21:00,4
31-01-14 20:00,5
31-01-14 19:00,4
31-01-14 18:00,3
31-01-14 17:00,6
31-01-14 16:00,14
31-01-14 15:00,26
31-01-14 14:00,30
31-01-14 13:00,25
31-01-14 12:00,16
31-01-14 11:00,10
31-01-14 10:00,6
31-01-14 09:00,5
31-01-14 08:00,4
31-01-14 07:00,4
31-01-14 06:00,6
31-01-14 05:00,10
31-01-14 04:00,13
31-01-14 03:00,16
31-01-14 02:00,20
31-01-14 01:00,26
31-01-14 00:00,37
30-01-14 23:00,37
30-01-14 22:00,35
30-01-14 21:00,30
30-01-14 20:00,33
30-01-14 19:00,33
30-01-14 18:00,24
30-01-14 17:00,44
30-01-14 16:00,63
30-01-14 15:00,56
30-01-14 14:00,48
30-01-14 13:00,43
30-01-14 12:00,31
30-01-14 11:00,18
30-01-14 10:00,12
30-01-14 09:00,11
30-01-14 08:00,10
30-01-14 07:00,15
30-01-14 06:00,14
30-01-14 05:00,12
30-01-14 04:00,12
30-01-14 03:00,13
30-01-14 02:00,17
30-01-14 01:00,18
30-01-14 00:00,19
29-01-14 23:00,21
29-01-14 22:00,22
29-01-14 21:00,21
29-01-14 20:00,19
29-01-14 19:00,21
29-01-14 18:00,20
29-01-14 17:00,23
29-01-14 16:00,29
29-01-14 15:00,32
29-01-14 14:00,32
29-01-14 13:00,29
29-01-14 12:00,28
29-01-14 11:00,25
29-01-14 10:00,23
29-01-14 09:00,22
29-01-14 08:00,20
29-01-14 07:00,24
29-01-14 06:00,27
29-01-14 05:00,30
29-01-14 04:00,31
29-01-14 03:00,29
29-01-14 02:00,28
29-01-14 01:00,25
29-01-14 00:00,20
28-01-14 23:00,19
28-01-14 22:00,20
28-01-14 21:00,27
28-01-14 20:00,49
28-01-14 19:00,41
28-01-14 18:00,35
28-01-14 17:00,24
28-01-14 16:00,19
28-01-14 15:00,17
28-01-14 14:00,36
28-01-14 13:00,43
28-01-14 12:00,39
28-01-14 11:00,26
28-01-14 10:00,27
28-01-14 09:00,14
28-01-14 08:00,24
28-01-14 07:00,30
28-01-14 06:00,32
28-01-14 05:00,24
28-01-14 04:00,22
28-01-14 03:00,24
28-01-14 02:00,28
28-01-14 01:00,32
28-01-14 00:00,30
27-01-14 23:00,13
27-01-14 22:00,7
27-01-14 21:00,5
27-01-14 20:00,4
27-01-14 19:00,6
27-01-14 18:00,23
27-01-14 17:00,45
27-01-14 16:00,54
27-01-14 15:00,50
27-01-14 14:00,51
27-01-14 13:00,42
27-01-14 12:00,37
27-01-14 11:00,26
27-01-14 10:00,32
27-01-14 09:00,39
27-01-14 08:00,41
27-01-14 07:00,43
27-01-14 06:00,44
27-01-14 05:00,40
27-01-14 04:00,29
27-01-14 03:00,33
27-01-14 02:00,29
27-01-14 01:00,10
27-01-14 00:00,6
26-01-14 23:00,11
26-01-14 22:00,19
26-01-14 21:00,23
26-01-14 20:00,25
26-01-14 19:00,35
26-01-14 18:00,37
26-01-14 17:00,41
26-01-14 16:00,47
26-01-14 15:00,48
26-01-14 14:00,50
26-01-14 13:00,49
26-01-14 12:00,49
26-01-14 11:00,46
26-01-14 10:00,42
26-01-14 09:00,39
26-01-14 08:00,40
26-01-14 07:00,39
26-01-14 06:00,37
26-01-14 05:00,41
26-01-14 04:00,43
26-01-14 03:00,40
26-01-14 02:00,33
26-01-14 01:00,30
26-01-14 00:00,28
25-01-14 23:00,38
25-01-14 22:00,36
25-01-14 21:00,32
25-01-14 20:00,32
25-01-14 19:00,28
25-01-14 18:00,36
25-01-14 17:00,36
25-01-14 16:00,41
25-01-14 15:00,46
25-01-14 14:00,44
25-01-14 13:00,41
25-01-14 12:00,36
25-01-14 11:00,31
25-01-14 10:00,28
25-01-14 09:00,26
25-01-14 08:00,25
25-01-14 07:00,25
25-01-14 06:00,26
25-01-14 05:00,27
25-01-14 04:00,28
25-01-14 03:00,27
25-01-14 02:00,28
25-01-14 01:00,30
25-01-14 00:00,28
24-01-14 23:00,26
24-01-14 22:00,25
24-01-14 21:00,31
24-01-14 20:00,35
24-01-14 19:00,40
24-01-14 18:00,34
24-01-14 17:00,39
24-01-14 16:00,39
24-01-14 15:00,38
24-01-14 14:00,38
24-01-14 13:00,34
24-01-14 12:00,29
24-01-14 11:00,23
24-01-14 10:00,20
24-01-14 09:00,18
24-01-14 08:00,16
24-01-14 07:00,16
24-01-14 06:00,16
24-01-14 05:00,15
24-01-14 04:00,14
24-01-14 03:00,15
24-01-14 02:00,14
24-01-14 01:00,14
24-01-14 00:00,13
23-01-14 23:00,13
23-01-14 22:00,13
23-01-14 21:00,13
23-01-14 20:00,11
23-01-14 19:00,13
23-01-14 18:00,10
23-01-14 17:00,11
23-01-14 16:00,16
23-01-14 15:00,18
23-01-14 14:00,19
23-01-14 13:00,19
23-01-14 12:00,18
23-01-14 11:00,16
23-01-14 10:00,13
23-01-14 09:00,10
23-01-14 08:00,11
23-01-14 07:00,15
23-01-14 06:00,14
23-01-14 05:00,13
23-01-14 04:00,14
23-01-14 03:00,12
23-01-14 02:00,12
23-01-14 01:00,12
23-01-14 00:00,12
22-01-14 23:00,13
22-01-14 22:00,14
22-01-14 21:00,15
22-01-14 20:00,13
22-01-14 19:00,12
22-01-14 18:00,9
22-01-14 17:00,11
22-01-14 16:00,14
22-01-14 15:00,16
22-01-14 14:00,17
22-01-14 13:00,15
22-01-14 12:00,13
22-01-14 11:00,12
22-01-14 10:00,8
22-01-14 09:00,3
22-01-14 08:00,2
22-01-14 07:00,2
22-01-14 06:00,2
22-01-14 05:00,2
22-01-14 04:00,2
22-01-14 03:00,3
22-01-14 02:00,3
22-01-14 01:00,2
22-01-14 00:00,2
21-01-14 23:00,2
21-01-14 22:00,2
21-01-14 21:00,2
21-01-14 20:00,2
21-01-14 19:00,2
21-01-14 18:00,3
21-01-14 17:00,3
21-01-14 16:00,5
21-01-14 15:00,5
21-01-14 14:00,6
21-01-14 13:00,4
21-01-14 12:00,4
21-01-14 11:00,4
21-01-14 10:00,5
21-01-14 09:00,6
21-01-14 08:00,4
21-01-14 07:00,4
21-01-14 06:00,5
21-01-14 05:00,7
21-01-14 04:00,8
21-01-14 03:00,8
21-01-14 02:00,9
21-01-14 01:00,7
21-01-14 00:00,8
20-01-14 23:00,9
20-01-14 22:00,9
20-01-14 21:00,10
20-01-14 20:00,10
20-01-14 19:00,10
20-01-14 18:00,10
20-01-14 17:00,10
20-01-14 16:00,10
20-01-14 15:00,12
20-01-14 14:00,11
20-01-14 13:00,11
20-01-14 12:00,11
20-01-14 11:00,9
20-01-14 10:00,9
20-01-14 09:00,8
20-01-14 08:00,9
20-01-14 07:00,9
20-01-14 06:00,9
20-01-14 05:00,10
20-01-14 04:00,10
20-01-14 03:00,11
20-01-14 02:00,11
20-01-14 01:00,11
20-01-14 00:00,12
19-01-14 23:00,12
19-01-14 22:00,13
19-01-14 21:00,14
19-01-14 20:00,15
19-01-14 19:00,15
19-01-14 18:00,16
19-01-14 17:00,17
19-01-14 16:00,17
19-01-14 15:00,17
19-01-14 14:00,16
19-01-14 13:00,16
19-01-14 12:00,13
19-01-14 11:00,14
19-01-14 10:00,17
19-01-14 09:00,20
19-01-14 08:00,19
19-01-14 07:00,21
19-01-14 06:00,21
19-01-14 05:00,21
19-01-14 04:00,24
19-01-14 03:00,27
19-01-14 02:00,28
19-01-14 01:00,39
19-01-14 00:00,41
18-01-14 23:00,40
18-01-14 22:00,40
18-01-14 21:00,37
18-01-14 20:00,30
18-01-14 19:00,27
18-01-14 18:00,22
18-01-14 17:00,14
18-01-14 16:00,26
18-01-14 15:00,30
18-01-14 14:00,31
18-01-14 13:00,32
18-01-14 12:00,29
18-01-14 11:00,16
18-01-14 10:00,16
18-01-14 09:00,17
18-01-14 08:00,18
18-01-14 07:00,30
18-01-14 06:00,37
18-01-14 05:00,31
18-01-14 04:00,24
18-01-14 03:00,22
18-01-14 02:00,20
18-01-14 01:00,16
18-01-14 00:00,14
17-01-14 23:00,22
17-01-14 22:00,24
17-01-14 21:00,20
17-01-14 20:00,21
17-01-14 19:00,23
17-01-14 18:00,27
17-01-14 17:00,27
17-01-14 16:00,27
17-01-14 15:00,27
17-01-14 14:00,27
17-01-14 13:00,30
17-01-14 12:00,27
17-01-14 11:00,29
17-01-14 10:00,20
17-01-14 09:00,20
17-01-14 08:00,26
17-01-14 07:00,30
17-01-14 06:00,30
17-01-14 05:00,22
17-01-14 04:00,22
17-01-14 03:00,26
17-01-14 02:00,26
17-01-14 01:00,23
17-01-14 00:00,20
16-01-14 23:00,21
16-01-14 22:00,24
16-01-14 21:00,26
16-01-14 20:00,25
16-01-14 19:00,21
16-01-14 18:00,24
16-01-14 17:00,20
16-01-14 16:00,19
16-01-14 15:00,19
16-01-14 14:00,22
16-01-14 13:00,21
16-01-14 12:00,21
16-01-14 11:00,21
16-01-14 10:00,18
16-01-14 09:00,13
16-01-14 08:00,20
16-01-14 07:00,25
16-01-14 06:00,31
16-01-14 05:00,32
16-01-14 04:00,29
16-01-14 03:00,30
16-01-14 02:00,34
16-01-14 01:00,32
16-01-14 00:00,38
15-01-14 23:00,42
15-01-14 22:00,44
15-01-14 21:00,37
15-01-14 20:00,21
15-01-14 19:00,9
15-01-14 18:00,2
15-01-14 17:00,9
15-01-14 16:00,16
15-01-14 15:00,18
15-01-14 14:00,23
15-01-14 13:00,21
15-01-14 12:00,18
15-01-14 11:00,6
15-01-14 10:00,2
15-01-14 09:00,2
15-01-14 08:00,1
15-01-14 07:00,1
15-01-14 06:00,1
15-01-14 05:00,1
15-01-14 04:00,1
15-01-14 03:00,2
15-01-14 02:00,4
15-01-14 01:00,3
15-01-14 00:00,2
14-01-14 23:00,2
14-01-14 22:00,4
14-01-14 21:00,11
14-01-14 20:00,10
14-01-14 19:00,3
14-01-14 18:00,3
14-01-14 17:00,6
14-01-14 16:00,6
14-01-14 15:00,6
14-01-14 14:00,6
14-01-14 13:00,5
14-01-14 12:00,4
14-01-14 11:00,3
14-01-14 10:00,3
14-01-14 09:00,2
14-01-14 08:00,1
14-01-14 07:00,2
14-01-14 06:00,2
14-01-14 05:00,2
14-01-14 04:00,2
14-01-14 03:00,2
14-01-14 02:00,2
14-01-14 01:00,2
14-01-14 00:00,2
13-01-14 23:00,2
13-01-14 22:00,2
13-01-14 21:00,2
13-01-14 20:00,2
13-01-14 19:00,2
13-01-14 18:00,2
13-01-14 17:00,2
13-01-14 16:00,10
13-01-14 15:00,14
13-01-14 14:00,18
13-01-14 13:00,17
13-01-14 12:00,20
13-01-14 11:00,20
13-01-14 10:00,26
13-01-14 09:00,26
13-01-14 08:00,25
13-01-14 07:00,9
13-01-14 06:00,17
13-01-14 05:00,16
13-01-14 04:00,22
13-01-14 03:00,23
13-01-14 02:00,20
13-01-14 01:00,18
13-01-14 00:00,17
12-01-14 23:00,14
12-01-14 22:00,15
12-01-14 21:00,23
12-01-14 20:00,29
12-01-14 19:00,37
12-01-14 18:00,43
12-01-14 17:00,57
12-01-14 16:00,64
12-01-14 15:00,64
12-01-14 14:00,63
12-01-14 13:00,62
12-01-14 12:00,59
12-01-14 11:00,54
12-01-14 10:00,52
12-01-14 09:00,52
12-01-14 08:00,55
12-01-14 07:00,56
12-01-14 06:00,57
12-01-14 05:00,59
12-01-14 04:00,60
12-01-14 03:00,62
12-01-14 02:00,64
12-01-14 01:00,64
12-01-14 00:00,63
11-01-14 23:00,67
11-01-14 22:00,68
11-01-14 21:00,63
11-01-14 20:00,54
11-01-14 19:00,56
11-01-14 18:00,51
11-01-14 17:00,51
11-01-14 16:00,45
11-01-14 15:00,46
11-01-14 14:00,45
11-01-14 13:00,45
11-01-14 12:00,45
11-01-14 11:00,37
11-01-14 10:00,36
11-01-14 09:00,33
11-01-14 08:00,35
11-01-14 07:00,35
11-01-14 06:00,39
11-01-14 05:00,37
11-01-14 04:00,32
11-01-14 03:00,39
11-01-14 02:00,39
11-01-14 01:00,38
11-01-14 00:00,39
10-01-14 23:00,37
10-01-14 22:00,28
10-01-14 21:00,32
10-01-14 20:00,39
10-01-14 19:00,41
10-01-14 18:00,45
10-01-14 17:00,51
10-01-14 16:00,57
10-01-14 15:00,61
10-01-14 14:00,59
10-01-14 13:00,52
10-01-14 12:00,52
10-01-14 11:00,52
10-01-14 10:00,49
10-01-14 09:00,50
10-01-14 08:00,52
10-01-14 07:00,53
10-01-14 06:00,56
10-01-14 05:00,57
10-01-14 04:00,60
10-01-14 03:00,63
10-01-14 02:00,59
10-01-14 01:00,56
10-01-14 00:00,54
09-01-14 23:00,65
09-01-14 22:00,73
09-01-14 21:00,75
09-01-14 20:00,71
09-01-14 19:00,37
09-01-14 18:00,35
09-01-14 17:00,34
