Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-01-14,28.89
30-01-14,41.13
29-01-14,43.85
28-01-14,28.02
27-01-14,29.74
26-01-14,37.32
25-01-14,57.89
24-01-14,28.49
23-01-14,33.68
22-01-14,21.91
21-01-14,5.17
20-01-14,12.61
19-01-14,15.20
18-01-14,9.46
17-01-14,15.43
16-01-14,16.06
15-01-14,14.50
14-01-14,20.91
13-01-14,22.41
12-01-14,11.99
11-01-14,9.42
10-01-14,4.26
09-01-14,7.81
08-01-14,9.52
07-01-14,9.43
06-01-14,7.08
05-01-14,8.21
04-01-14,12.01
03-01-14,8.64
02-01-14,14.71
01-01-14,37.93

